Row,Cluster
X1_106,3
X1_112,4
X1_072,4
X1_066,2
X1_099,4
X1_098,4
X1_067,4
X1_073,4
X1_113,4
X1_107,3
X1_111,4
X1_105,3
X1_139,4
X1_065,1
X1_071,1
X1_059,4
X1_058,1
X1_070,3
X1_064,4
X1_138,4
X1_104,4
X1_110,1
X1_128,4
X1_114,4
X1_100,4
X1_048,4
X1_060,4
X1_074,4
X1_075,4
X1_061,2
X1_049,1
X1_101,4
X1_115,3
X1_129,3
X1_103,4
X1_117,1
X1_077,4
X1_063,1
X1_088,4
X1_089,4
X1_062,4
X1_076,3
X1_116,4
X1_102,4
X1_011,2
X1_005,4
X1_039,3
X1_038,3
X1_004,1
X1_010,3
X1_006,4
X1_012,1
X1_013,1
X1_007,2
X1_003,1
X1_017,4
X1_016,3
X1_002,3
X1_028,4
X1_014,4
X1_000,4
X1_001,3
X1_015,5
X1_029,4
X1_030,3
X1_024,1
X1_018,4
X1_019,4
X1_025,4
X1_031,2
X1_027,3
X1_033,4
X1_032,4
X1_026,4
X1_022,1
X1_036,4
X1_037,3
X1_023,4
X1_009,2
X1_035,4
X1_021,4
X1_020,4
X1_034,4
X1_008,4
X1_127,4
X1_133,4
X1_053,1
X1_047,4
X1_090,4
X1_084,4
X1_085,4
X1_091,1
X1_046,4
X1_052,2
X1_132,1
X1_126,4
X1_130,4
X1_124,4
X1_118,3
X1_044,4
X1_050,4
X1_078,4
X1_087,4
X1_093,1
X1_092,1
X1_086,1
X1_079,3
X1_051,1
X1_045,1
X1_119,4
X1_125,4
X1_131,3
X1_109,3
X1_135,4
X1_121,4
X1_069,4
X1_041,4
X1_055,3
X1_082,4
X1_096,4
X1_097,4
X1_083,4
X1_054,4
X1_040,4
X1_068,4
X1_120,4
X1_134,4
X1_108,4
X1_122,3
X1_136,4
X1_056,3
X1_042,3
X1_095,4
X1_081,1
X1_080,4
X1_094,4
X1_043,4
X1_057,4
X1_137,4
X1_123,4
