,x,y,z,average3,average4,average5,average6,average7,average8,average9,average10,complete3,complete4,complete5,complete6,complete7,complete8,complete9,complete10,single3,single4,single5,single6,single7,single8,single9,single10,ward3,ward4,ward5,ward6,ward7,ward8,ward9,ward10
X1_106,-9.87633695062883,-5.850738380254863,13.606682852335569,0,1,4,4,4,4,4,4,2,0,1,1,1,1,1,1,0,0,0,2,2,2,2,2,1,3,3,1,0,7,7,7
X1_112,15.701504151035321,-1.2284191628386214,12.380046875250144,0,0,0,1,1,0,3,3,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_72,36.33855428907252,-0.1230836321800518,-5.869765796354062,0,0,1,0,6,6,2,0,0,2,0,0,5,2,0,9,0,0,0,0,0,0,0,0,0,1,1,0,6,2,2,0
X1_66,26.714548667746033,38.25147019128593,-13.926726237168078,2,2,2,2,2,2,0,6,0,1,4,4,4,4,4,4,0,0,0,0,0,1,1,1,0,0,2,2,2,0,8,8
X1_99,5.770205658778059,-6.101862093771585,-6.80952561672262,0,0,0,1,1,0,3,3,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_98,23.12836257110349,2.327131660823895,5.350128686755908,0,0,0,1,1,0,6,2,0,2,0,5,2,0,5,5,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,6
X1_67,15.016385392367349,-3.756327649715054,8.107487065694823,0,0,0,1,1,0,3,3,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_73,7.578422626713284,-5.0311203075977415,10.975670810061553,0,0,0,1,1,0,3,3,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_113,13.017029535009097,0.8516366079566531,13.368439294462544,0,0,0,1,1,0,3,3,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_107,0.7127913908447159,2.5898150015037746,16.152651271418645,0,0,0,5,5,5,5,5,2,0,2,2,0,5,2,2,0,0,0,0,0,0,0,0,2,2,0,5,5,5,5,5
X1_111,15.426960366914038,19.72506165430867,5.9841898224014844,0,0,1,0,6,6,2,0,0,2,0,5,2,0,8,8,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,4
X1_105,2.645739069062947,1.9548394239309739,17.78512355001484,0,0,0,5,5,5,5,5,2,0,2,2,0,5,2,2,0,0,0,0,0,0,0,0,2,2,0,5,5,5,5,5
X1_139,3.2052070347758015,-10.118032571561283,-0.1899011735213705,0,0,0,5,5,5,5,5,2,0,2,2,0,5,2,2,0,0,0,0,0,0,0,0,2,2,0,5,5,5,5,5
X1_65,15.719627534848236,-5.578865853452953,-25.00678099755922,0,0,1,0,6,6,2,0,0,2,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,2,2,0
X1_71,19.027562833267492,21.991958245759527,-29.65471777524726,0,0,1,0,0,1,1,1,0,2,0,0,6,6,6,6,0,0,0,0,0,1,1,1,0,0,2,2,2,0,3,3
X1_59,9.79560814624252,-4.411962753630403,4.553357915930221,0,0,0,1,1,0,3,3,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_58,19.656110464098766,28.848396626685393,-8.832141405597696,0,0,1,0,0,1,1,1,0,2,0,0,5,2,0,9,0,0,0,0,0,0,8,8,0,1,1,0,6,2,2,0
