,x,y,z,average3,average4,average5,average6,average7,average8,average9,average10,complete3,complete4,complete5,complete6,complete7,complete8,complete9,complete10,single3,single4,single5,single6,single7,single8,single9,single10,ward3,ward4,ward5,ward6,ward7,ward8,ward9,ward10
X1_106,-0.268465428145799,-0.744930206462722,0.011443512113822475,0,0,3,1,0,7,7,7,2,0,2,0,6,6,6,6,2,2,2,0,6,2,0,0,1,0,1,1,0,4,4,4
X1_112,2.7641131363296396,0.6863290081567999,-0.4565068289702708,0,1,0,3,1,0,3,1,0,2,0,5,2,2,0,9,2,2,2,0,6,2,0,0,0,3,3,3,1,0,8,8
X1_72,4.273581772269522,4.813844243960438,-1.8529234043871077,1,3,1,0,3,3,1,0,0,1,1,1,1,0,5,5,0,1,0,2,2,0,5,5,0,1,0,0,3,3,1,1
X1_66,2.3203410169165126,2.8413721753359553,-5.14834956715244,1,3,1,0,3,3,1,0,0,1,1,1,1,0,5,5,0,1,0,5,5,5,2,2,0,1,0,0,3,3,1,1
X1_99,-0.6810822706381295,-1.1279923577084614,1.1340001268149913,0,0,4,4,4,1,0,8,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,1,0,1,1,0,7,7,7
X1_98,3.517981127431212,3.2131839864676834,-2.049514417906548,0,1,0,2,2,2,2,2,0,2,0,2,0,4,4,1,2,2,2,0,0,1,1,1,0,1,0,0,6,6,6,2
X1_67,1.0854570842362865,-0.06206338335306855,1.0352728294507716,0,0,3,1,0,4,4,4,2,0,2,0,5,5,2,2,2,2,2,0,6,2,0,0,1,0,4,4,4,1,0,9
X1_73,1.0976055358216048,-0.466819602207755,0.20539621329690808,0,0,3,1,0,4,4,4,2,0,2,0,5,5,2,2,2,2,2,0,6,2,0,0,1,0,4,4,4,1,0,9
X1_113,2.4435793584749983,1.1729744891803822,-0.2930679500953744,0,1,0,3,1,0,3,1,0,2,0,5,2,2,0,9,2,2,2,0,6,2,0,0,0,3,3,3,1,0,8,8
X1_107,1.162273173483954,0.9502515930756397,-0.1553777143827432,0,0,3,1,0,4,4,4,2,0,2,0,5,5,2,2,2,2,2,0,6,2,0,0,1,0,4,4,4,1,0,9
X1_111,2.067650826073184,1.6971906262565528,-4.309661701242952,0,1,0,2,2,2,2,2,0,2,0,2,0,4,4,1,2,2,2,0,0,1,1,1,0,1,0,0,6,6,6,2
X1_105,1.744668518495127,1.76772294056417,-0.20846336631099277,0,1,0,3,1,0,3,1,0,2,0,5,2,2,0,9,2,2,2,0,6,2,0,0,0,3,3,3,1,0,8,8
X1_139,-0.43159453544006726,-1.3472528418846643,0.5756645730121952,0,0,4,4,4,1,0,8,2,0,2,0,6,6,6,6,2,2,2,0,6,2,0,0,1,0,1,1,0,7,7,7
X1_65,1.2857594519635076,-1.2222948586820912,0.4382985840723938,0,0,3,1,0,4,4,4,2,0,2,0,5,5,2,2,2,2,2,0,6,2,0,0,1,0,4,4,4,1,0,9
X1_71,2.0264202866676877,0.018069845841159667,0.6952155254966396,0,0,3,1,0,4,4,4,2,0,2,0,5,5,2,2,2,2,2,0,6,2,0,0,1,0,4,4,4,1,0,6
X1_59,0.1724558610015085,-0.054230569814482196,1.000524036497555,0,0,3,1,0,7,7,7,2,0,2,0,6,6,6,6,2,2,2,0,6,2,0,0,1,0,1,1,0,4,4,4
X1_58,1.3719656290292757,-0.0819327829980965,-2.5831637664299487,0,1,0,3,1,0,3,1,0,2,0,5,2,2,0,4,2,2,2,0,6,2,0,0,0,3,3,3,1,0,8,8
