,x,y,z,average2,average3,average4,average5,average6,complete2,complete3,complete4,complete5,complete6,single2,single3,single4,single5,single6,ward2,ward3,ward4,ward5,ward6
X1_106,-9.87633695062883,-5.850738380254863,13.606682852335565,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
X1_112,15.701504151035326,-1.22841916283863,12.380046875250136,0,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,2,2,0,3
X1_72,36.33855428907252,-0.12308363218005287,-5.869765796354075,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
X1_66,26.714548667746055,38.25147019128591,-13.926726237168067,0,2,2,2,2,0,0,1,4,4,0,0,0,0,0,0,0,0,2,2
X1_99,5.770205658778057,-6.101862093771584,-6.809525616722624,0,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,2,2,0,3
X1_98,23.128362571103494,2.3271316608238943,5.350128686755909,0,0,0,0,1,0,0,2,0,5,0,0,0,0,0,0,0,1,1,0
X1_67,15.016385392367356,-3.7563276497150526,8.10748706569481,0,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,2,2,0,3
X1_73,7.578422626713283,-5.031120307597735,10.97567081006155,0,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,2,2,0,3
X1_113,13.017029535009108,0.8516366079566452,13.368439294462554,0,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,2,2,0,3
X1_107,0.7127913908447194,2.5898150015037786,16.152651271418648,0,0,0,0,5,0,2,0,2,2,0,0,0,0,0,0,2,2,0,5
X1_111,15.426960366914026,19.72506165430868,5.984189822401485,0,0,0,1,0,0,0,2,0,5,0,0,0,0,0,0,0,1,1,0
X1_105,2.6457390690629543,1.9548394239309725,17.785123550014834,0,0,0,0,5,0,2,0,2,2,0,0,0,0,0,0,2,2,0,5
X1_139,3.2052070347758015,-10.118032571561294,-0.18990117352137145,0,0,0,0,5,0,2,0,2,2,0,0,0,0,0,0,2,2,0,5
X1_65,15.719627534848213,-5.578865853452938,-25.00678099755924,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
X1_71,19.027562833267474,21.991958245759523,-29.65471777524726,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2
X1_59,9.795608146242527,-4.41196275363041,4.553357915930219,0,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,2,2,0,3
X1_58,19.656110464098766,28.848396626685393,-8.832141405597701,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
X1_70,-6.643263529803215,-8.497369440335444,10.89354153222839,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
X1_64,9.72869946882916,-5.04773364289809,-3.8944320979905562,0,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,2,2,0,3
X1_138,9.862789260578076,-0.039592469040661396,5.806539594705863,0,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,2,2,0,3
X1_104,8.191954288564379,-0.07673118687557433,10.493551112685443,0,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,2,2,0,3
X1_110,14.67174018314784,7.132012967041493,-22.757296289438163,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
X1_128,-5.606971242173803,-2.6385008963664953,-11.047581567331559,0,0,0,0,5,0,2,0,2,2,0,0,0,0,0,0,2,2,0,5
X1_114,0.38688334518143136,-2.908287667613315,2.307089520218171,0,0,0,0,5,0,2,0,2,2,0,0,0,0,0,0,2,2,0,5
X1_100,6.983957874005859,-3.9042807545466416,0.5106940377508289,0,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,2,2,0,3
X1_48,18.401099399083094,24.342318875982308,-4.75466354294511,0,0,0,1,0,0,0,2,0,5,0,0,0,0,0,0,0,1,1,0
X1_60,16.21607150392966,-8.850758641344594,1.0937062241619375,0,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,2,2,0,3
X1_74,5.570322653211199,-0.6945721292326171,3.3374678978552343,0,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,2,2,0,3
X1_75,18.601377163346875,-8.54768880645329,-10.400313431676093,0,0,0,0,1,0,0,2,0,5,0,0,0,0,0,0,0,1,1,0
X1_61,35.486071877282804,23.309467702840323,-27.119129199441065,0,2,2,2,2,0,0,1,4,4,0,0,0,0,0,0,0,0,2,2
