,x,y,average2,average3,average4,average5,complete2,complete3,complete4,complete5,single2,single3,single4,single5,ward2,ward3,ward4,ward5
X1_106,-16.12909232611176,6.167486416946972,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
X1_112,5.6471585143645875,18.070107919400716,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_72,33.784960692578494,13.940193593314662,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0
X1_66,46.712228179105125,18.61636964354025,1,1,3,3,0,2,2,2,0,0,0,0,0,0,3,3
X1_99,6.867508119641969,-4.4826776129355625,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_98,16.626075979004042,15.822852046802844,0,0,0,1,0,1,0,4,0,0,0,0,0,0,2,0
X1_67,7.0944634651294916,13.35593362892474,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_73,-0.4507861285859538,12.02461411403766,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_113,3.4681866763209017,17.583853274195477,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_107,-7.896728222264775,14.616434649982274,0,0,0,4,1,0,1,1,0,0,0,0,0,2,0,4
X1_111,15.45898697279536,22.326352838632456,0,0,1,0,0,1,0,4,0,0,0,0,0,0,2,0
X1_105,-7.348690568928715,16.77343620905044,0,0,0,4,1,0,1,1,0,0,0,0,0,2,0,4
X1_139,1.622867165647787,-1.828895524500262,0,0,0,4,1,0,1,1,0,0,0,0,0,2,0,4
X1_65,24.472590557862393,-16.318971565766446,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0
X1_71,40.175764914104484,-14.955517563887225,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,3
X1_59,4.779782347078399,6.784498413866526,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_58,33.308169086343035,18.008390421805164,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0
X1_70,-12.227926774010742,5.367404949684858,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
X1_64,8.864685171670889,-0.37900126731378847,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_138,4.848712381945401,8.840761771466054,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_104,1.2242899581112237,11.959041580371647,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_110,26.190632716573457,-11.564425407215218,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0
X1_128,-0.1739387356957927,-13.128028146910307,0,0,0,4,1,0,1,1,0,0,0,0,0,2,0,4
X1_114,-1.718586976849696,1.3700673057533832,0,0,0,4,1,0,1,1,0,0,0,0,0,2,0,4
X1_100,4.567996727763637,2.452721282745543,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_48,26.326724180610388,19.085710954011997,0,0,1,0,0,1,0,4,0,0,0,0,0,0,2,0
X1_60,12.308373597530187,5.6428532299243015,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_74,2.4128060811086356,4.53538230471551,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_75,19.94619296498051,-1.700178446391158,0,0,0,1,0,1,0,4,0,0,0,0,0,0,2,0
X1_61,51.37543341346107,-0.8016266279789084,1,1,3,3,0,2,2,2,0,0,0,0,0,0,3,3
X1_49,37.77366159009557,1.17273664703351,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0
X1_101,10.842850288717132,18.549155172059496,0,0,0,1,0,1,0,4,0,0,0,0,0,0,2,0
X1_115,-9.562322283806804,15.20369292283512,0,0,0,4,1,0,1,1,0,0,0,0,0,2,0,4
X1_129,-18.783177159519422,-2.355510207512469,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
X1_103,25.19586919998074,8.371386866660156,0,0,1,0,0,1,0,4,0,0,0,0,0,0,2,0
X1_117,37.21163153222906,-6.1726128123801,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0
X1_77,30.383397460392917,-1.6359948496082186,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0
X1_63,26.594373890628223,-19.494033129946324,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0
X1_88,21.691666467151386,-5.588775083204899,0,0,0,1,0,1,0,4,0,0,0,0,0,0,2,0
X1_89,20.22512746305833,-4.2981010667925945,0,0,0,1,0,1,0,4,0,0,0,0,0,0,2,0
X1_62,6.0822102057484,20.794451641209093,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_76,-9.334528676853056,1.945179748833945,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
X1_116,3.8745363659268746,19.718993425424532,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_102,30.752488530773345,7.352660977697854,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0
X1_11,48.01404759963496,-3.404041045410706,1,1,3,3,0,2,2,2,0,0,0,0,0,0,3,3
X1_5,1.375903407926557,15.500831920798703,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_39,-9.963936500323314,12.09720569728252,0,0,0,4,1,0,1,1,0,0,0,0,0,2,0,4
X1_38,-16.873507074973762,6.6262951306925695,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
X1_4,20.643326686175417,-28.01398889425544,0,0,1,0,0,1,0,0,0,0,0,4,0,0,2,0
X1_10,-6.093059872666385,12.02251805473895,0,0,0,4,1,0,1,1,0,0,0,0,0,2,0,4
X1_6,16.8989366024347,13.210595428078058,0,0,0,1,0,1,0,4,0,0,0,0,0,0,2,0
X1_12,19.40491171003811,-27.027571211747908,0,0,1,0,0,1,0,0,0,0,0,4,0,0,2,0
X1_13,32.29590807906238,-19.813440805372657,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,3
X1_7,33.87683159303478,-35.91236411704402,1,1,3,3,0,2,2,2,1,1,3,3,0,0,3,3
X1_3,32.29691254768698,-19.875586692333357,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,3
X1_17,18.225508425425296,4.112666172892207,0,0,0,1,0,1,0,4,0,0,0,0,0,0,2,0
X1_16,-14.311546812654603,5.845943117231687,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
X1_2,-6.669195839871882,16.360572770268906,0,0,0,4,1,0,1,1,0,0,0,0,0,2,0,4
X1_28,11.186331439597963,-13.085108154181047,0,0,0,1,0,1,0,4,0,0,0,0,0,2,0,2
X1_14,10.933043301475033,12.72617007642442,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_0,7.988713798349347,6.646935263913146,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_1,-13.00578606242643,14.576280264863087,0,0,0,4,1,0,1,1,0,0,0,0,0,2,0,4
X1_29,18.603867056717647,-5.660611589930257,0,0,0,1,0,1,0,4,0,0,0,0,0,0,2,0
X1_30,-18.298765436296573,7.829593496363007,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
X1_24,36.58555061155956,-10.189363791451735,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0
X1_18,26.512701645377273,7.814648824517737,0,0,1,0,0,1,0,4,0,0,0,0,0,0,2,0
X1_19,9.495507939079868,-2.8075070079657096,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_25,8.331396697383733,1.951079315054328,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_31,43.4191655880308,-3.8534883490379386,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,3
X1_27,-14.329744370076375,5.809745549203041,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
X1_33,17.282141015120704,-12.354259082729627,0,0,0,1,0,1,0,4,0,0,0,0,0,0,2,0
X1_32,24.202718333550177,18.65830126696833,0,0,1,0,0,1,0,4,0,0,0,0,0,0,2,0
X1_26,10.586194941138592,2.463419903035002,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_22,33.1189525407635,-16.72898376454925,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,3
X1_36,12.323951537050688,11.557022615694462,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_37,-13.700870960606673,6.075770907791762,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
X1_23,14.124739242515716,-2.724419645332203,0,0,0,1,0,1,0,4,0,0,0,0,0,2,0,2
X1_9,54.774627173961846,8.393555567305873,1,1,3,3,0,2,2,2,0,2,2,2,0,0,3,3
X1_35,19.901166725337582,12.006914434177338,0,0,0,1,0,1,0,4,0,0,0,0,0,0,2,0
X1_21,20.862951171450337,4.18207660231823,0,0,0,1,0,1,0,4,0,0,0,0,0,0,2,0
X1_20,9.293461064157446,-7.430561107397024,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_34,11.375588199156502,8.520211613161646,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_8,-1.4092349217039015,20.13401637076322,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_127,6.30035689793483,13.871031699557326,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_133,10.802831764698972,4.701649721646516,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_53,31.92877181965377,-24.739722176125625,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,3
X1_47,28.460098521482948,-4.8732543348992765,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0
X1_90,22.270120687880816,19.216057471852928,0,0,1,0,0,1,0,4,0,0,0,0,0,0,2,0
X1_84,24.312776248594144,11.20442775160134,0,0,1,0,0,1,0,4,0,0,0,0,0,0,2,0
X1_85,-4.291954823911232,9.436562057575209,0,0,0,4,1,0,1,1,0,0,0,0,0,2,0,4
X1_91,35.95897745597934,8.245781263277003,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0
X1_46,23.21060805873658,12.646806280162727,0,0,1,0,0,1,0,4,0,0,0,0,0,0,2,0
X1_52,47.83249338071547,11.915649360476733,1,1,3,3,0,2,2,2,0,0,0,0,0,0,3,3
X1_132,43.64333615778429,-12.490255598524758,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,3
X1_126,12.268099522123263,13.602185480584398,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_130,16.247091208028348,-19.397268737924236,0,0,1,0,0,1,0,4,0,0,0,0,0,0,2,0
X1_124,7.666909350914772,4.333286022201361,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_118,-15.394954125495177,4.386308729894986,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
X1_44,25.62693589827947,14.317200338438287,0,0,1,0,0,1,0,4,0,0,0,0,0,0,2,0
X1_50,23.172962827358667,12.726386990745837,0,0,1,0,0,1,0,4,0,0,0,0,0,0,2,0
X1_78,11.08310816700739,-0.3561022016746116,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_87,18.353505864831718,-15.097222319592502,0,0,0,1,0,1,0,4,0,0,0,0,0,0,2,0
X1_93,18.96493985664905,-18.09652621010125,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0
X1_92,31.078691210362347,-10.197324909443916,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0
X1_86,39.64514967306655,-16.449442320481396,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,3
X1_79,-11.545994388253098,-6.204390099483517,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
X1_51,20.767310578918718,-22.07919141093772,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0
X1_45,24.602574138522314,-17.379062264395074,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0
X1_119,4.118166924951854,25.573548206085444,0,0,0,1,0,1,0,4,0,0,0,0,0,2,0,2
X1_125,0.023038279478807887,9.9631113854038,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_131,-7.803321184610838,11.589463645119615,0,0,0,4,1,0,1,1,0,0,0,0,0,2,0,4
X1_109,-10.47489113715569,12.206820374721595,0,0,0,4,1,0,1,1,0,0,0,0,0,2,0,4
X1_135,16.410989604167497,18.90284619208636,0,0,0,1,0,1,0,4,0,0,0,0,0,0,2,0
X1_121,0.34492126062067163,20.070741385211907,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_69,2.9642563440813188,14.210620648952526,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_41,13.896994448777322,19.548821240934913,0,0,0,1,0,1,0,4,0,0,0,0,0,0,2,0
X1_55,-18.838930505867896,6.022601138305831,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
X1_82,31.196275175810882,13.22003441886656,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0
X1_96,21.419055903201443,20.30296651082298,0,0,1,0,0,1,0,4,0,0,0,0,0,0,2,0
X1_97,27.022408091300765,2.274768630853549,0,0,1,0,0,1,0,4,0,0,0,0,0,0,2,0
X1_83,26.132982976598203,-0.6820535341766603,0,0,1,0,0,1,0,4,0,0,0,0,0,0,2,0
X1_54,5.83708313496464,5.715304843865294,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_40,31.931574311957373,2.2084533805263966,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0
X1_68,9.28960564473663,14.697695219871697,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_120,12.497679189513942,23.66573766188644,0,0,0,1,0,1,0,4,0,0,0,0,0,0,2,0
X1_134,-0.07985357954413437,-8.642355887275329,0,0,0,4,1,0,1,1,0,0,0,0,0,2,0,4
X1_108,21.66474316772662,-1.5509756194780226,0,0,0,1,0,1,0,4,0,0,0,0,0,0,2,0
X1_122,-12.087438880259844,14.93132229874226,0,0,0,4,1,0,1,1,0,0,0,0,0,2,0,4
X1_136,8.929945633649595,10.352119381529713,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_56,-12.617682123077016,13.035976853586225,0,0,0,4,1,0,1,1,0,0,0,0,0,2,0,4
X1_42,-6.084911218582678,8.104426395555333,0,0,0,4,1,0,1,1,0,0,0,0,0,2,0,4
X1_95,4.418267307366275,11.34048779242382,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_81,34.09626444169913,6.920573767148779,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0
X1_80,20.44842691662731,-4.873320602087907,0,0,0,1,0,1,0,4,0,0,0,0,0,0,2,0
X1_94,7.637342909306644,7.803511808909072,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,2
X1_43,26.39849682136362,4.638551546858147,0,0,1,0,0,1,0,4,0,0,0,0,0,0,2,0
X1_57,11.05725369208306,20.414071527391208,0,0,0,1,0,1,0,4,0,0,0,0,0,2,0,2
X1_137,19.19353979234032,-8.789521313966487,0,0,0,1,0,1,0,4,0,0,0,0,0,0,2,0
X1_123,16.31509778952246,6.175869008901803,0,0,0,1,0,1,0,4,0,0,0,0,0,2,0,2
Y1_304,-18.914592772607513,-6.6326491477170215,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_310,-18.51872359743611,-6.990799053663533,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_338,-19.967586958894724,-5.1081345599028385,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_106,-18.59462639615188,-5.2061086592065635,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_112,-17.80433416654557,-8.809168531968657,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_113,-19.89616656409823,-1.8004181242014716,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_107,-19.348191487607604,-7.70305507622102,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_339,-19.605578299421445,-6.164167284737102,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
