,x,y,z,average2,average3,average4,average5,average6,average7,average8,average9,average10,complete2,complete3,complete4,complete5,complete6,complete7,complete8,complete9,complete10,single2,single3,single4,single5,single6,single7,single8,single9,single10,ward2,ward3,ward4,ward5,ward6,ward7,ward8,ward9,ward10
X1_106,111.74246237112983,-61.98620071787081,100.99063040994076,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1
X1_112,116.21690844734782,-210.33665245297598,95.65965389797609,0,0,2,0,2,2,0,1,1,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,4
X1_72,74.87527169983272,-282.60837632501614,82.96987750265555,0,0,2,0,2,2,0,1,1,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,3,3
X1_66,323.56829704098203,59.28695879553064,-163.68432829337422,0,0,2,0,5,5,5,5,5,0,0,1,0,1,1,0,8,8,0,2,0,4,4,4,4,4,9,1,1,0,1,1,1,0,0,5
X1_99,-106.2901677092344,12.328363115786656,-59.18381591660092,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
X1_98,204.40155625691182,38.09605982125104,80.03425970732293,0,2,0,1,1,1,1,0,4,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1
X1_67,65.42053378528001,110.86651713929571,8.631696742348607,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
X1_73,63.68004665262093,79.49966619953807,75.43695515555777,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,2,2,0
X1_113,201.28340225127144,-201.22954547113943,65.64705531790119,0,0,2,0,2,2,0,1,1,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,3,3
X1_107,148.09866570152366,-34.823520264449414,50.68315540588926,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1
X1_111,270.3052563180622,-200.29067179366467,10.666443570690722,0,0,2,0,2,2,0,1,1,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,3,3
X1_105,98.09211538185055,103.40948496587934,140.08882844885386,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,2,2,0
X1_139,-74.94324758299089,1.9156047105195941,43.51527673841694,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
X1_65,-86.26149467443497,-159.90871001564219,-195.61329044043976,0,0,2,0,2,2,0,3,3,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,5
X1_71,-113.76648054164413,83.32737218767807,-146.10315839544302,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,6,6,6
X1_59,43.436595032650644,134.34630057161905,23.585698695060657,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
X1_58,259.794412577333,16.51112877469591,-67.42939846216979,0,2,0,1,1,1,1,0,4,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,5
