,x,y,z,average3,average4,average5,complete3,complete4,complete5,single3,single4,single5,ward3,ward4,ward5
X1_106,-29.366623952786025,-2.788787605499764,4.795886945781627,0,1,4,0,0,4,0,0,0,2,2,2
X1_112,-9.357732391024916,4.80763011042747,-12.848709076123663,0,2,0,0,0,0,0,0,0,1,0,4
X1_72,17.556215679774013,0.30168452065386353,-18.441312704722893,0,2,0,0,1,1,0,0,0,1,0,1
X1_66,26.699027476745897,27.402961557972777,9.82650821302379,2,0,2,2,2,2,0,0,0,0,1,0
X1_99,-6.371590647230142,-10.624391444352012,3.953717280621036,0,2,0,0,0,0,0,0,0,1,0,4
X1_98,0.8179780725669792,5.767707548832035,-12.263704730970117,0,2,0,0,0,0,0,0,0,1,0,4
X1_67,-7.878584111033296,1.4804894541381979,-10.372485186218224,0,2,0,0,0,0,0,0,0,1,0,4
X1_73,-15.60866547144935,-1.1426935506194298,-7.12808396825007,0,2,0,0,0,0,0,0,0,1,0,4
X1_113,-11.633905202170116,6.313785790104174,-10.42267605902754,0,2,0,0,0,0,0,0,0,1,0,4
X1_107,-22.221487907279528,6.148972292686926,-2.0129313708393486,0,1,4,0,0,4,0,0,0,2,2,2
X1_111,-1.3873156783245022,18.404827139298046,3.1200713955213972,0,2,0,0,0,0,0,0,0,1,0,1
X1_105,-21.96513525546262,6.6968872445287,-6.341691259298581,0,1,4,0,0,4,0,0,0,2,2,2
X1_139,-12.603131582763266,-11.604748863485256,-2.3846255448079776,0,2,0,0,0,0,0,0,0,1,0,4
X1_65,14.441398033259555,-17.043049171238472,5.81134216182874,2,0,1,0,1,1,0,0,0,0,1,0
X1_71,26.85276064581826,4.562444964831395,17.564711026115432,2,0,1,2,2,2,0,0,0,0,1,0
X1_59,-10.277837877094154,-3.7695397735388885,-0.6415254086041473,0,2,0,0,0,0,0,0,0,1,0,4
X1_58,16.437472088274152,21.44709203884195,5.802285888945498,2,0,1,2,2,2,0,0,0,0,1,0
X1_70,-26.203424790907672,-4.4101296048087235,4.069093174029017,0,1,4,0,0,4,0,0,0,2,2,2
X1_64,-4.247803103447965,-8.045515477814723,-1.9293589488889888,0,2,0,0,0,0,0,0,0,1,0,4
X1_138,-10.18817540410773,0.18259264644324052,-1.8214240642420716,0,2,0,0,0,0,0,0,0,1,0,4
X1_104,-13.610333125219292,3.0517568743429178,-5.838167848231307,0,2,0,0,0,0,0,0,0,1,0,4
X1_110,15.749457809407836,-4.1235968488517765,10.467071070697592,2,0,1,0,1,1,0,0,0,0,1,0
X1_128,-9.00461182202437,-13.382522265746106,14.202517130779876,0,2,0,0,0,0,0,0,0,1,0,1
X1_114,-15.48402077338775,-3.5500288730350533,6.254780965828184,0,2,0,0,0,0,0,0,0,1,0,4
X1_100,-9.683599747975009,-5.500420254535495,1.0100201819767145,0,2,0,0,0,0,0,0,0,1,0,4
X1_48,10.190118127155388,18.21966589795044,6.708208886709515,0,2,0,0,0,0,0,0,0,1,0,1
X1_60,-3.560541035383177,-7.094257375738632,-10.399802783225507,0,2,0,0,0,0,0,0,0,1,0,4
X1_74,-12.155149507728172,-2.2275507327217494,2.779620478980989,0,2,0,0,0,0,0,0,0,1,0,4
X1_75,6.553740668363145,-11.180228395112767,-7.835325270277105,0,2,0,0,0,0,0,0,0,1,0,1
X1_61,38.522615399414256,11.667079118879117,-1.8514217233227275,2,0,2,2,2,2,0,0,0,0,1,0
X1_49,25.246617606596747,7.3703940893902,-1.6607347041147884,2,0,1,0,1,1,0,0,0,0,1,0
X1_101,-5.417778621268085,11.768464617645204,-7.0960019117243505,0,2,0,0,0,0,0,0,0,1,0,4
X1_115,-23.323000363272616,7.646434909848289,0.7661598866158708,0,1,4,0,0,4,0,0,0,2,2,2
X1_129,-29.21501352246678,-7.987130134735612,13.351266990443483,0,1,4,0,0,4,0,0,0,2,2,2
X1_103,9.990143511656543,2.9044801191922414,-11.443688332435064,0,2,0,0,0,0,0,0,0,1,0,1
X1_117,27.90458038377951,-1.0108541791240178,-2.1709742144153146,2,0,1,0,1,1,0,0,0,0,1,0
X1_77,14.565928583319954,-10.488476090881315,-12.44530818117418,0,2,0,0,1,1,0,0,0,1,0,1
X1_63,18.381486628942888,-17.249830593637967,6.788131457973596,2,0,1,0,1,1,0,0,0,0,1,0
X1_88,7.417391725012976,-13.450385698771383,-4.006544661543341,0,2,0,0,0,0,0,0,0,1,0,1
X1_89,1.6476175195403486,0.39025550164220196,13.59253966465116,0,2,0,0,0,0,0,0,0,1,0,1
X1_62,-8.500360039146779,14.939689379446781,4.205057028410083,0,2,0,0,0,0,0,0,0,1,0,4
X1_76,-23.665567079867625,-7.8375203161588285,3.113596250912516,0,1,4,0,0,4,0,0,0,2,2,2
X1_116,-10.655906012359575,4.240434855763286,-14.84800863681136,0,2,0,0,0,0,0,0,0,1,0,4
X1_102,15.357349538682476,0.002913452118004434,-12.9967534245396,0,2,0,0,0,0,0,0,0,1,0,1
X1_11,32.1061113739505,14.567025304654424,10.15130216605989,2,0,2,2,2,2,0,0,0,0,1,0
X1_5,-13.319530161712136,-7.179286740154423,-10.557239067290153,0,2,0,0,0,0,0,0,0,1,0,4
X1_39,-24.777041351228675,-0.3275754734266339,-5.05934083423599,0,1,4,0,0,4,0,0,0,2,2,2
X1_38,-29.551741277654166,-1.0567332895063604,5.943783191478824,0,1,4,0,0,4,0,0,0,2,2,2
X1_4,16.27380275297769,-3.001638243791172,25.891351167910468,2,0,1,2,2,2,0,0,0,0,1,0
X1_10,-20.664718784357675,1.2379338129265147,-6.259835007674964,0,1,4,0,0,4,0,0,0,2,2,2
X1_6,1.4645653964739702,7.0029240716097165,-8.182365509249419,0,2,0,0,0,0,0,0,0,1,0,4
X1_12,14.597186961610328,-4.1651538448055785,25.190248363751184,2,0,1,2,2,2,0,0,0,0,1,0
X1_13,23.18209452876416,-8.158020595671804,15.170271783479405,2,0,1,2,2,2,0,0,0,0,1,0
X1_7,28.471690248891083,-10.291403835752597,30.979479756634813,2,0,2,2,2,2,2,2,2,0,1,0
X1_3,23.157120306827668,-8.043161057365452,15.343117750525384,2,0,1,2,2,2,0,0,0,0,1,0
X1_17,4.177019121265736,-3.9572196119847627,-7.8075910944395055,0,2,0,0,0,0,0,0,0,1,0,1
X1_16,-26.759797977035806,-3.853492964641976,7.611634237916227,0,1,4,0,0,4,0,0,0,2,2,2
X1_2,-21.06501635413027,7.348375146504921,-7.141395342579389,0,1,4,0,0,4,0,0,0,2,2,2
X1_28,-1.601308268681319,-18.58799201843207,3.736246004136519,0,2,0,0,0,0,0,0,0,1,0,1
X1_14,-4.319732680161763,7.926037944753779,-2.0886843132280664,0,2,0,0,0,0,0,0,0,1,0,4
X1_0,-7.495643131700359,-5.657535607833144,-7.873754012306793,0,2,0,0,0,0,0,0,0,1,0,4
X1_1,-27.044912990661736,5.965063735452068,-3.325830980490824,0,1,4,0,0,4,0,0,0,2,2,2
X1_15,67.036958281993,23.024714135926576,46.547990884556796,1,3,3,1,3,3,1,3,3,0,3,3
X1_29,2.6724992445127382,-15.175731412841401,-8.13867719610227,0,2,0,0,0,0,0,0,0,1,0,1
X1_30,-30.886685193369,2.2865855295667945,5.053754154236595,0,1,4,0,0,4,0,0,0,2,2,2
X1_24,20.5138797975338,-18.138164376744793,-11.719943297932053,2,0,1,0,1,1,0,0,4,0,1,0
X1_18,11.522792004195443,6.055925457723904,-1.4946404649170733,0,2,0,0,0,0,0,0,0,1,0,1
X1_19,-4.6384390300334,-10.684110620745463,0.8701606542066511,0,2,0,0,0,0,0,0,0,1,0,4
X1_25,-6.8179044993092575,-8.436922707894645,-3.53511296908054,0,2,0,0,0,0,0,0,0,1,0,4
X1_31,25.483742482697505,14.417404944427394,16.22339699167425,2,0,2,2,2,2,0,0,0,0,1,0
X1_27,-26.783468041914418,-3.923758482361046,7.584545650623576,0,1,4,0,0,4,0,0,0,2,2,2
X1_33,6.386959187845107,-17.5728653343248,0.42143127813210685,0,2,0,0,1,1,0,0,0,1,0,1
X1_32,7.634187722146243,17.573745340474225,-0.27561838355098506,0,2,0,0,0,0,0,0,0,1,0,1
X1_26,-7.2264911005607155,-11.687910673132992,-11.532896131874173,0,2,0,0,0,0,0,0,0,1,0,1
X1_22,21.136636818450576,-3.534441866843411,16.571159923193605,2,0,1,2,2,2,0,0,0,0,1,0
X1_36,-3.9159590798665977,6.105129171528307,2.4012350391026107,0,2,0,0,0,0,0,0,0,1,0,4
X1_37,-27.29697131387252,-3.134208260710576,4.752241367971268,0,1,4,0,0,4,0,0,0,2,2,2
X1_23,-1.35592413790171,-6.7483811247336964,7.033769548988085,0,2,0,0,0,0,0,0,0,1,0,4
X1_9,37.303504028613276,26.272482585462445,-0.014039406900999125,2,0,2,2,2,2,0,1,1,0,1,0
X1_35,5.166251743445887,7.052182664427806,-7.768574333525747,0,2,0,0,0,0,0,0,0,1,0,4
X1_21,4.871958812112048,-7.104635363896021,-12.370605263776296,0,2,0,0,0,0,0,0,0,1,0,1
X1_20,-4.247743310668783,-15.757277405534296,-4.996677277239238,0,2,0,0,0,0,0,0,0,1,0,1
X1_34,-5.392343871446393,-6.113748429894238,-11.179213553553884,0,2,0,0,0,0,0,0,0,1,0,4
X1_8,-14.06106281242715,12.28312456734446,7.338477577839423,0,2,0,0,0,0,0,0,0,1,0,4
X1_127,-8.570366243132167,0.03379851470108823,-10.526130790842434,0,2,0,0,0,0,0,0,0,1,0,4
X1_133,-3.2289625884745186,-2.1367689968153134,-4.072050383141419,0,2,0,0,0,0,0,0,0,1,0,4
X1_53,26.190266816163096,-15.96293308079965,11.754888486458665,2,0,1,2,2,2,0,0,0,0,1,0
X1_47,13.699556453281641,-13.4476983746132,-5.266293159089708,0,2,0,0,1,1,0,0,0,1,0,1
X1_90,5.257186199732189,18.123525844819248,3.350011147303859,0,2,0,0,0,0,0,0,0,1,0,1
X1_84,9.428230265381933,10.805094906557986,-0.8656653779022134,0,2,0,0,0,0,0,0,0,1,0,1
X1_85,-18.933216753914348,-9.659664979154634,-6.69598632436417,0,2,0,0,0,0,0,0,0,1,0,4
X1_91,20.812349887398934,7.357938615615207,-12.05167885246839,2,0,1,0,1,1,0,0,0,0,1,0
X1_46,7.886363928445341,12.46790603898891,2.5435542749176334,0,2,0,0,0,0,0,0,0,1,0,1
X1_52,30.774130677625454,22.15574415113001,-2.4748084373898376,2,0,2,2,2,2,0,0,0,0,1,0
X1_132,34.37653993825232,-0.6259924606265356,6.042428867070436,2,0,1,2,2,2,0,0,0,0,1,0
X1_126,-3.4801645480238586,10.484220422229667,7.015468890451465,0,2,0,0,0,0,0,0,0,1,0,4
X1_130,-0.8622607783490264,20.01231038199043,12.161054437923696,0,2,0,0,0,0,0,0,0,1,0,1
X1_124,-7.293226184217883,-5.288638355363598,-2.802143701437687,0,2,0,0,0,0,0,0,0,1,0,4
X1_118,-28.134052721908688,-5.938529334739779,6.0442461172112845,0,1,4,0,0,4,0,0,0,2,2,2
X1_44,10.610106840160261,12.539308648663056,-4.699895302533589,0,2,0,0,0,0,0,0,0,1,0,1
X1_50,7.8621914715285195,12.501121158880647,2.353516331387407,0,2,0,0,0,0,0,0,0,1,0,1
X1_78,-2.5344771907196355,-2.281591802571601,5.1380393129768605,0,2,0,0,0,0,0,0,0,1,0,4
X1_87,8.441978248691242,-15.557753598525132,8.705095353773823,0,2,0,0,1,1,0,0,0,1,0,1
X1_93,8.663152318581702,2.561848754459404,19.032368388048933,2,0,1,0,1,1,0,0,0,0,1,0
X1_92,21.908612571040877,0.5102167904185518,7.23510393059729,2,0,1,0,1,1,0,0,0,0,1,0
X1_86,31.761493235643307,-8.091084732415446,2.051347194647556,2,0,1,2,2,2,0,0,0,0,1,0
X1_79,-26.565836166861068,-12.094782000309271,5.706506352337314,0,1,4,0,0,4,0,0,0,2,2,2
X1_51,12.409355298629544,-17.33414314032882,14.240793874465478,2,0,1,0,1,1,0,0,0,0,1,0
X1_45,12.700408124679557,-21.40052112030122,-0.8015606845451284,2,0,1,0,1,1,0,0,0,0,1,0
X1_119,-8.644639393092593,-5.163799049677628,-21.613468171113897,0,2,0,0,0,0,0,0,0,1,0,1
X1_125,-15.154384752903079,-1.5538054009351778,-4.851728832278285,0,2,0,0,0,0,0,0,0,1,0,4
X1_131,-22.451282390276525,-0.8545093902051291,-5.710109075554973,0,1,4,0,0,4,0,0,0,2,2,2
X1_109,-24.536950033435403,3.4456951490245125,-1.732274205150975,0,1,4,0,0,4,0,0,0,2,2,2
X1_135,-0.1217010202113595,13.37604621017158,-6.997752105043088,0,2,0,0,0,0,0,0,0,1,0,4
X1_121,-14.744532605785805,6.393426422327395,-12.91629244651203,0,2,0,0,0,0,0,0,0,1,0,4
X1_69,-12.18537037318445,7.392761809590899,-2.937784401013318,0,2,0,0,0,0,0,0,0,1,0,4
