filename,X_m,Y_m
278,353.638,277.456
276,280.17,432.36
274,479.148,394.009
272,312.962,502.752
270,392.125,460.166
268,383.566,394.233
266,281.91,498.841
264,697.929,462.427
262,294.114,285.646
260,631.327,338.706
258,105.299,186.188
256,379.18,399.583
254,432.435,284.656
252,399.166,256.849
250,382.775,335.272
248,245.872,534.048
246,375.583,506.309
244,237.749,284.456
242,613.503,378.017
240,316.083,346.365
238,240.166,539.255
236,242.669,211.443
234,420.91,609.766
232,348.315,365.955
230,304.956,151.028
228,309.545,338.403
226,310.219,327.14
224,363.142,239.906
222,198.413,302.986
220,186.575,405.157
218,158.352,255.135
216,534.201,323.519
214,151.198,345.609
212,98.678,230.162
210,206.813,276.904
208,376.43,249.041
206,472.836,388.381
204,667.872,446.468
202,397.398,239.655
200,386.29,392.07
198,416.438,486.049
196,198.473,369.735
194,546.987,314.983
192,273.048,534.524
190,369.665,408.231
188,684.196,288.11
186,522.992,801.716
184,666.474,444.43
182,589.939,452.639
180,703.825,463.961
178,396.081,431.878
176,300.438,474.901
174,382.679,496.2
172,637.893,542.009
170,253.568,531.959
168,593.37,248.199
166,297.759,520.582
164,455.886,353.885
162,585.887,418.513
160,395.026,433.694
158,242.673,270.11
156,395.156,391.797
154,555.874,300.536
152,257.416,304.654
150,407.313,448.46
148,443.02,326.535
146,292.05,416.279
144,327.388,492.64
142,400.631,405.483
140,204.799,307.809
138,445.194,211.021
136,415.747,241.743
134,279.27,350.325
132,145.713,865.374
130,628.761,282.034
128,399.026,281.231
126,639.143,275.363
124,211.973,563.356
122,429.172,422.998
120,347.805,312.395
118,185.571,391.587
116,319.128,784.224
114,471.599,517.196
112,239.272,146.532
110,195.332,165.132
108,264.593,415.118
106,637.055,331.25
104,299.725,521.905
102,402.058,612.914
100,412.372,611.735
98,600.709,399.244
96,446.657,301.343
94,356.734,578.877
92,375.243,615.702
90,360.296,510.924
88,657.505,274.807
86,295.28,525.119
84,283.208,275.634
82,543.97,152.101
80,571.243,489.162
78,253.179,186.635
76,306.047,183.743
74,209.732,298.29
72,463.19,464.708
70,466.829,285.276
68,337.339,509.941
66,423.042,523.289
64,656.788,294.591
62,509.508,746.155
60,147.795,232.923
58,427.18,414.664
56,410.119,423.218
54,164.218,167.623
52,343.678,402.799
50,258.711,339.389
48,716.151,337.611
46,315.034,717.181
44,553.788,587.267
42,538.565,316.68
40,577.592,477.226
38,417.105,254.882
36,535.725,302.142
34,539.91,484.93
32,211.157,172.063
30,783.902,860.463
28,228.615,330.654
26,567.697,301.7
24,700.769,451.219
22,829.223,285.81
20,225.927,217.945
18,395.226,484.535
16,220.686,521.015
14,743.828,475.322
12,556.357,268.986
10,201.965,368.456
8,721.908,460.902
6,527.297,272.016
4,240.557,193.369
2,209.549,301.658
0,440.267,253.422
