,x,y,z,average3,average4,average5,complete3,complete4,complete5,single3,single4,single5,ward3,ward4,ward5
X1_106,-1.5348441343302683,1.4031618332203166,-0.4347126128432316,0,1,1,0,1,0,2,2,2,1,0,1
X1_112,0.616880138805631,-1.2394710096116717,-0.6339803710653106,0,0,4,0,0,4,2,2,2,2,2,2
X1_72,2.2387925117271656,-5.3218676067712885,-0.7570661340128789,2,2,0,1,3,1,0,0,0,0,1,0
X1_66,0.03484232548481539,-4.261298232650389,3.5088406112438086,2,2,0,1,3,1,0,0,0,0,1,0
X1_99,-1.2573148004022874,2.5576270295149053,-0.17356158975507469,0,1,1,0,1,0,2,2,2,1,0,1
X1_98,1.0574263003925077,-4.006695744504746,0.2992960103426425,0,0,2,0,0,3,2,2,2,0,1,0
X1_67,-0.5285233986434016,0.6910816575091513,-1.1936176299306054,0,1,1,0,1,0,2,2,2,1,0,4
X1_73,-0.049288415326783505,0.8527483758416242,-0.39162246267306944,0,1,1,0,1,0,2,2,2,1,0,4
X1_113,0.039434811294146,-1.3166719163104388,-0.6575690073491276,0,0,4,0,0,4,2,2,2,2,2,2
X1_107,-1.020576613995836,-0.12281316552932373,0.12640265822921054,0,1,1,0,1,0,2,2,2,1,0,4
X1_111,0.12748111106683183,-2.9054234378734907,3.0665373103374827,0,0,2,0,0,3,2,2,2,0,1,0
X1_105,-1.048758738444899,-1.21565067736447,-0.2788229736188172,0,0,4,0,1,0,2,2,2,2,2,2
X1_139,-0.944474430319551,2.3533184080386222,-0.45530241424652657,0,1,1,0,1,0,2,2,2,1,0,1
X1_65,0.5653591941610306,1.2119062141570365,-0.9283515017364735,0,1,1,0,1,0,2,2,2,1,0,4
X1_71,0.6637220433254709,0.8343019792926551,0.7837693070299756,0,1,1,0,1,0,2,2,2,1,0,4
X1_59,-1.1197160231503913,1.1541438390317569,-1.0874639790766514,0,1,1,0,1,0,2,2,2,1,0,1
X1_58,-0.02799202759701715,-0.4918354009398507,2.0736101827158233,0,0,4,0,0,4,2,2,2,2,2,2
X1_70,-1.915093240393503,2.2266798330424784,-0.3322258505119522,0,1,1,0,1,0,2,2,2,1,0,1
