,x,y,z,average3,average4,average5,complete3,complete4,complete5,single3,single4,single5,ward3,ward4,ward5
106,-295.0199683036892,-27.99935516136218,48.1955490343562,0,1,4,0,0,4,0,0,0,2,2,2
112,-94.0056477536164,48.29273171609789,-129.08156466181484,0,2,0,0,0,0,0,0,0,1,0,4
72,176.37468589240333,3.0297709867069296,-185.26486404487,0,2,0,0,1,1,0,0,0,1,0,1
66,268.2231786195221,275.3039606169444,98.70146195746003,2,0,2,2,2,2,0,0,0,0,1,0
99,-64.01316509167854,-106.73169089515422,39.72458401615176,0,2,0,0,0,0,0,0,0,1,0,4
98,8.215498908435114,57.9393425712467,-123.20278806824533,0,2,0,0,0,0,0,0,0,1,0,4
67,-79.1504204776288,14.865339220298827,-104.21225168395364,0,2,0,0,0,0,0,0,0,1,0,4
73,-156.8039346792719,-11.487156848162307,-71.60919035720002,0,2,0,0,0,0,0,0,0,1,0,4
113,-116.87380260065541,63.42687268984203,-104.70887108241583,0,2,0,0,0,0,0,0,0,1,0,4
107,-223.2459239146621,61.77028316606173,-20.229391453507525,0,1,4,0,0,4,0,0,0,2,2,2
111,-13.941977678895704,184.8995621316535,31.338013375594333,0,2,0,0,0,0,0,0,0,1,0,1
105,-220.67279212869983,67.23381666603032,-63.77600344499237,0,1,4,0,0,4,0,0,0,2,2,2
139,-126.61533807572314,-116.5833929378244,-23.94939030286215,0,2,0,0,0,0,0,0,0,1,0,4
65,145.0792608688655,-171.22013452998704,58.38307552926297,2,0,1,0,1,1,0,0,0,0,1,0
71,269.76860856407166,45.837780687835505,176.457390133976,2,0,1,2,2,2,0,0,0,0,1,0
59,-103.25339493484401,-37.86885646914647,-6.439254374260919,0,2,0,0,0,0,0,0,0,1,0,4
58,165.13553430208165,215.4613313754723,58.28780667382704,2,0,1,2,2,2,0,0,0,0,1,0
70,-263.24924407030045,-44.29795223837229,40.87518945390887,0,1,4,0,0,4,0,0,0,2,2,2
64,-42.678483934583376,-80.83138770215696,-19.384886287163518,0,2,0,0,0,0,0,0,0,1,0,4
138,-102.35334680428747,1.8357874715041946,-18.301355425157183,0,2,0,0,0,0,0,0,0,1,0,4
