,x,y,z,average3,average4,average5,complete3,complete4,complete5,single3,single4,single5,ward3,ward4,ward5
106,-302.0306475368818,5.4431863239742775,41.24111342230595,0,1,4,2,0,1,0,0,0,2,2,2
112,-93.54917286027222,44.133818020051,-130.72621739754516,0,2,0,2,0,0,0,0,0,1,0,4
72,176.4114876164277,-6.703710177222892,-184.80562180567614,0,2,0,0,2,2,0,0,0,1,0,1
66,269.8472520039146,276.2817784367534,90.13217420159897,2,0,2,0,1,4,0,0,0,0,1,0
99,-65.08668013423045,-105.63030350884966,43.7728349684887,0,2,0,2,0,0,0,0,0,1,0,4
98,8.453259606414084,52.4542100853629,-124.64282250164378,0,2,0,2,0,0,0,0,0,1,0,4
67,-78.58203584520085,10.6415010421935,-104.9138304850125,0,2,0,2,0,0,0,0,0,1,0,4
73,-156.44957596358648,-14.47705724804538,-71.30183692167148,0,2,0,2,0,0,0,0,0,1,0,4
113,-116.40334659341916,59.75179453330133,-106.27873396731478,0,2,0,2,0,0,0,0,0,1,0,4
107,-222.8181330418249,61.91919268342482,-21.324040424518387,0,1,4,2,0,1,0,0,0,2,2,2
111,-12.604011937586396,185.05950937825435,26.068838231306124,0,2,0,2,0,0,0,0,0,1,0,1
105,-218.8579097557466,71.45609698104765,-60.64977444425723,0,1,4,2,0,1,0,0,0,2,2,2
139,-127.28563517469186,-117.44877339181149,-21.224518232040193,0,2,0,2,0,0,0,0,0,1,0,4
65,143.06981495933343,-169.23839372247147,68.20701918468073,2,0,1,0,2,2,0,0,0,0,1,0
71,269.17462249065,48.957903766825595,177.22260411897363,2,0,1,0,2,2,0,0,0,0,1,0
59,-103.14929869603908,-37.71917122615726,0.9480704155571305,0,2,0,2,0,0,0,0,0,1,0,4
58,167.18600258705777,216.309654340905,48.83064021808803,2,0,1,0,2,2,0,0,0,0,1,0
70,-263.7099493983132,-42.353058988403745,41.33159931386604,0,1,4,2,0,1,0,0,0,2,2,2
64,-43.274391577432134,-82.20163236829991,-16.500372679999764,0,2,0,2,0,0,0,0,0,1,0,4
138,-101.91512826477084,0.39580177586447224,-17.802611938871888,0,2,0,2,0,0,0,0,0,1,0,4
104,-136.15899765339205,28.736106509931965,-59.79557455630702,0,2,0,2,0,0,0,0,0,1,0,4
110,178.0451494018275,-15.809972127701004,63.70049784285653,2,0,1,0,2,2,0,0,0,0,1,0
128,-92.40287626814757,-128.44010880147243,148.0413276641216,0,2,0,2,0,0,0,0,0,1,0,1
114,-156.17542094832,-33.33101346469443,63.86509408008254,0,2,0,2,0,0,0,0,0,1,0,4
100,-97.52870561037264,-55.9004155908117,12.0005928629301,0,2,0,2,0,0,0,0,0,1,0,4
