#FilamentSensor-0.2.2j
#cell_properties
%cell_identifier
-1
%center_x
851
%center_y
375
%area
456863.0
%aspect_ratio
1.813314
%long_half_axis
513.516691
%orientation
170.780138
%order_parameter
-3.98E-4
%new_orientation
36.025009
%new_order_parameter
0.046555
%area_interior
456863
%mean_brightness_interior
218.414666
%area_boundary
0.0
%mean_brightness_boundary
0.0
%excursion_ratio
0.175288
%number_filaments
859
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
1,749.0,460.5,1356.04237,0.0,3.457089,-0.001655,0.00358,false
2,1425.3,847.5,769.003035,90.0,3.561036,4.52E-4,4.52E-4,false
3,73.5,848.5,769.00065,89.925493,3.196447,0.0,0.0,false
4,782.1,1230.6,368.325862,0.622756,4.031844,-0.035188,0.035188,false
5,232.0,1231.0,312.0,0.0,2.955627,0.0,0.0,false
6,321.5,1180.8,180.079532,154.867045,4.245326,0.078099,0.078099,false
7,516.3,752.9,254.514262,147.766852,3.596285,-0.202091,0.202091,false
8,1010.2,1133.8,212.325583,45.0,3.94679,0.139748,0.139748,false
9,492.3,1144.5,177.414086,93.233612,3.722879,-0.037061,0.037061,false
10,1339.5,1230.5,167.002994,179.656916,3.321429,0.0,0.0,false
11,1299.4,1170.6,108.234679,11.205948,5.394827,0.06417,0.06417,false
12,1174.8,1178.5,125.559746,20.179459,4.282454,0.123406,0.123406,false
13,990.1,1165.3,174.706396,49.899092,3.643752,-0.030243,0.146563,false
14,540.5,1180.4,154.470587,133.135215,3.565955,0.204022,0.204022,false
15,1026.6,1176.0,133.906105,59.403991,3.762182,-0.027567,0.102485,false
16,1190.7,1203.5,116.441865,31.639782,4.121882,-0.053073,0.053073,false
17,1299.2,1186.3,127.290339,42.760524,4.662861,0.106787,0.106787,false
18,440.0,1180.8,111.30065,27.950969,4.834856,0.094262,0.094262,false
19,1065.0,1034.4,112.672157,54.881406,3.780541,0.251178,0.251178,false
20,785.9,834.5,154.33106,166.865978,2.94441,0.053666,0.053666,false
21,1173.6,1193.3,125.148265,24.102235,3.151181,-0.059752,0.059752,false
22,1087.1,1098.7,81.754711,72.897271,4.272651,-0.084255,0.084255,false
23,1057.0,1231.0,118.0,0.0,3.020346,0.0,0.0,false
24,1048.7,1019.7,103.365227,18.083445,3.595288,0.101824,0.101824,false
25,485.0,1185.0,94.191295,86.347777,3.794095,0.0,0.0,false
26,207.3,1129.3,80.484309,155.674425,4.858824,0.141257,0.141257,false
27,471.0,1199.0,66.272166,84.805571,5.166573,0.0,0.0,false
28,492.9,829.7,107.77006,19.617879,3.326446,0.160173,0.160173,false
29,513.4,1154.3,108.400588,112.293629,4.050943,0.115579,0.115579,false
30,1074.3,1056.1,93.39776,65.912548,3.688109,0.052826,0.205008,false
31,506.0,1159.0,100.659589,112.22503,3.368909,-0.013033,0.148504,false
32,1163.2,1210.4,94.835392,27.645975,3.220306,0.017635,0.017635,false
33,1199.0,1208.0,86.079548,33.13561,3.521235,-0.063791,0.063791,false
34,349.7,720.1,79.202919,27.216112,4.02963,0.289936,0.289936,false
35,214.8,707.0,123.633945,152.393322,3.005293,0.11526,0.11526,false
36,1094.0,1115.0,68.029405,65.695451,4.208122,0.0,0.0,false
37,372.4,1209.2,86.301652,144.462322,4.013515,0.109581,0.109581,false
38,469.6,1189.9,89.240038,70.346176,3.683453,0.069348,0.069348,false
39,514.5,1201.0,64.845971,107.037768,3.802296,0.0,0.0,false
40,1319.4,1191.4,64.333738,22.963773,4.11364,0.167541,0.167541,false
41,409.0,1200.0,54.037024,2.121096,4.380097,0.0,0.0,false
42,567.5,1221.3,63.022851,155.480357,3.592831,0.208007,0.208007,false
43,1222.8,1209.7,65.25348,46.245364,3.829477,0.138447,0.138447,false
44,423.7,884.7,74.502774,61.020292,3.320482,0.130046,0.130046,false
45,950.8,560.4,67.119037,17.354025,3.352523,-0.106155,0.106155,false
46,382.2,862.4,75.204234,115.201124,3.353409,0.056212,0.056212,false
47,1029.6,1042.6,51.371836,5.599339,3.886169,0.175207,0.175207,false
48,1103.5,1163.0,56.612719,72.525226,3.640824,0.0,0.0,false
49,534.5,1184.5,87.639688,130.815084,2.826298,0.18787,0.18787,false
50,933.8,663.2,104.512139,51.254033,2.452982,0.166688,0.166688,false
51,284.5,726.5,57.008771,164.744881,3.644725,0.0,0.0,false
52,934.0,1210.0,65.115282,42.510447,3.65322,0.0,0.0,false
53,468.5,1147.0,53.823787,54.833564,3.32993,0.0,0.0,false
54,408.5,940.5,63.10764,91.818303,3.251716,0.163565,0.163565,false
55,1299.5,919.0,68.622154,161.301017,2.653194,0.0,0.0,false
56,596.4,811.8,55.258282,3.12213,3.764603,0.170764,0.170764,false
57,302.4,762.0,81.904665,141.449535,2.840316,0.090291,0.090291,false
58,1086.0,1067.0,46.69047,80.134193,3.60237,0.0,0.0,false
59,628.6,681.7,63.134472,169.93931,3.301037,0.131872,0.131872,false
60,128.2,658.0,65.798044,146.79343,3.611962,-0.077601,0.077601,false
61,1116.3,1167.6,54.282794,73.909184,3.317617,0.1819,0.1819,false
62,1188.1,993.2,100.255609,57.264774,2.515655,0.16156,0.16156,false
63,710.0,779.1,62.090696,179.075955,3.026895,-0.096469,0.096469,false
64,199.0,685.5,67.119297,146.546691,3.093627,0.0,0.0,false
65,500.0,1086.0,34.234486,83.290163,5.157581,0.0,0.0,false
66,672.6,815.0,79.87137,168.407825,2.728709,0.112923,0.112923,false
67,790.6,773.1,76.660156,14.400021,2.821226,0.124632,0.124632,false
68,129.2,676.1,57.718458,154.323184,4.44704,-0.064914,0.064914,false
69,1031.5,1149.5,47.010637,66.16126,3.046976,0.0,0.0,false
70,923.9,1207.9,55.270975,43.531199,3.132842,0.128011,0.128011,false
71,1040.0,638.6,60.904076,75.735488,3.044509,0.064777,0.064777,false
72,861.0,860.5,65.059928,146.309932,3.155898,0.126951,0.126951,false
73,966.5,1209.0,47.296934,76.551385,3.928245,0.0,0.0,false
74,457.5,1187.4,70.949667,59.452428,2.774743,0.095076,0.095076,false
75,398.0,959.5,66.309879,113.085134,2.861336,0.0,0.0,false
76,1242.0,745.0,61.741396,24.904769,2.867161,0.0,0.0,false
77,1247.2,1216.8,50.556349,39.369317,3.723219,0.160813,0.160813,false
78,1033.7,540.6,55.115293,65.29757,3.078303,0.125396,0.125396,false
79,1031.8,1070.9,40.529573,98.530766,3.550729,0.195431,0.195431,false
80,996.0,1186.5,33.24154,164.291362,4.269949,0.0,0.0,false
81,1086.5,1035.0,51.195703,77.592581,2.917088,0.0,0.0,false
82,982.0,1212.5,40.804412,72.897271,3.967198,0.0,0.0,false
83,1121.5,1175.5,51.78803,79.99202,3.051102,0.0,0.0,false
84,1154.5,1230.2,39.052949,0.0,3.763903,0.155325,0.155325,false
85,1348.0,1139.5,38.483763,65.432829,4.131973,0.0,0.0,false
86,1057.6,998.9,67.59024,27.323891,2.97744,0.081848,0.081848,false
87,96.5,650.5,61.073726,129.685454,3.036421,0.0,0.0,false
88,962.3,1212.0,50.506303,50.630683,3.633596,0.115037,0.115037,false
89,1158.8,1164.1,32.345235,82.874984,4.025472,0.305016,0.305016,false
90,389.6,689.0,58.937584,49.820766,3.035649,0.073891,0.073891,false
91,562.5,588.0,49.648766,161.200115,2.917912,0.0,0.0,false
92,469.5,1230.0,35.22783,173.480198,4.085813,0.0,0.0,false
93,1387.5,945.0,58.00862,144.117863,2.857753,0.0,0.0,false
94,1099.5,1128.5,46.840154,73.886582,2.904897,0.0,0.0,false
95,1010.1,1174.2,36.9757,167.471192,3.803238,0.253082,0.253082,false
96,411.6,620.4,47.202687,94.864514,3.01106,0.098763,0.098763,false
97,1207.7,778.8,62.804401,65.480357,2.715642,-0.137954,0.137954,false
98,680.5,686.5,35.355339,81.869898,3.616652,0.0,0.0,false
99,1136.5,1168.5,31.016125,88.15239,4.137133,0.0,0.0,false
100,1190.5,826.0,54.451814,97.386043,2.737321,0.0,0.0,false
101,985.5,1216.0,32.388269,98.880659,3.95483,0.0,0.0,false
102,344.5,803.0,49.406477,125.942112,3.211146,0.0,0.0,false
103,1238.0,1207.5,38.275318,33.274888,3.378552,0.0,0.0,false
104,993.2,1203.6,35.588527,122.347443,3.940459,0.228447,0.228447,false
105,433.0,1023.0,51.92302,74.357754,2.985145,0.0,0.0,false
106,1013.3,540.9,39.991444,31.70143,3.829903,0.118415,0.118415,false
107,452.8,1212.4,43.266616,68.198591,2.694508,0.329354,0.329354,false
108,499.5,1156.0,34.132096,95.042451,3.376245,0.0,0.0,false
109,1169.7,1062.0,44.18758,90.0,2.890494,0.24303,0.24303,false
110,1124.4,1198.1,52.183402,12.171458,2.77871,-0.045028,0.045028,false
111,156.0,685.0,34.0,0.0,4.093939,0.0,0.0,false
112,558.7,601.2,48.301191,140.042451,2.794392,0.111316,0.111316,false
113,1361.8,1160.2,44.714169,42.273689,3.328249,-0.200666,0.200666,false
114,1229.5,951.0,48.466483,21.801409,2.857795,0.0,0.0,false
115,511.5,1217.5,31.016125,91.84761,3.32705,0.0,0.0,false
116,738.5,1209.0,39.408121,54.293309,4.135376,0.0,0.0,false
117,905.5,578.5,39.115214,175.601295,2.595484,0.0,0.0,false
118,421.0,1222.5,35.510562,147.652557,3.496386,0.0,0.0,false
119,437.0,1025.0,40.049969,2.862405,3.33865,0.0,0.0,false
120,1133.5,1068.0,46.097722,93.731397,3.100518,0.0,0.0,false
121,1045.0,667.3,46.256609,72.349876,2.857573,0.153116,0.153116,false
122,1040.0,1083.5,35.057142,90.0,3.406933,-0.186732,0.186732,false
123,1096.0,1034.0,46.043458,87.510447,2.743706,0.0,0.0,false
124,404.5,1019.5,52.325902,153.924644,2.638084,0.0,0.0,false
125,1135.6,1206.4,37.788244,32.005383,2.782976,0.166255,0.166255,false
126,504.0,1216.5,31.064449,93.691386,3.175867,0.0,0.0,false
127,423.0,532.0,47.074409,12.264774,2.933419,0.0,0.0,false
128,1071.5,980.0,37.054015,176.905942,3.126258,0.0,0.0,false
129,419.5,609.0,38.013156,116.565051,2.841949,0.0,0.0,false
130,429.0,532.0,54.405882,36.027373,3.029317,0.0,0.0,false
131,403.0,1220.0,42.801869,142.594643,2.497672,0.0,0.0,false
132,1104.5,682.5,41.109743,88.602819,3.060525,0.206382,0.206382,false
133,434.2,638.0,34.064311,90.0,3.433354,-0.216244,0.216244,false
134,279.0,669.5,34.481879,73.141601,3.077604,0.0,0.0,false
135,695.5,1047.5,31.016125,88.15239,3.911331,0.0,0.0,false
136,1136.6,1119.6,31.477494,99.162347,3.570521,-0.258283,0.258283,false
137,1064.5,1011.5,31.400637,9.162347,3.307286,0.0,0.0,false
138,109.0,646.5,46.097722,176.268603,3.211485,0.0,0.0,false
139,213.5,709.0,33.54102,169.695154,3.323975,0.0,0.0,false
140,1058.0,1200.0,48.083261,163.072487,2.77046,0.0,0.0,false
141,411.5,1014.0,50.249378,84.289407,2.089068,0.0,0.0,false
142,731.0,1205.5,54.81788,128.33334,2.747395,0.0,0.0,false
143,131.1,1073.4,61.144823,87.184443,2.036953,0.090401,0.090401,false
144,1235.2,904.2,52.87552,170.180699,2.11199,0.137758,0.137758,false
145,737.5,1204.5,39.824616,28.495639,3.317466,0.0,0.0,false
146,1327.0,1210.5,52.201533,36.430858,2.591389,0.0,0.0,false
147,421.0,1027.0,32.062439,86.423666,3.042459,0.0,0.0,false
148,403.1,1106.8,62.199929,1.84761,1.86942,-0.138786,0.138786,false
149,978.4,768.0,41.104973,177.207298,2.967937,0.146187,0.146187,false
150,247.1,780.7,48.823712,115.51387,2.027366,0.146605,0.146605,false
151,887.7,864.8,51.743907,135.784825,2.55238,0.151038,0.151038,false
152,1199.5,832.5,35.128336,94.899092,3.089922,0.0,0.0,false
153,666.5,1176.5,45.099889,93.814075,2.19365,0.0,0.0,false
154,580.0,493.0,42.047592,92.726311,2.794283,0.0,0.0,false
155,307.0,939.0,46.173586,85.030259,2.127262,0.0,0.0,false
156,565.5,1088.0,36.345564,82.092837,3.03625,0.0,0.0,false
157,749.6,1195.6,36.924859,157.619865,2.911507,0.285632,0.285632,false
158,404.6,1208.1,47.417843,172.724995,3.103042,0.094745,0.094745,false
159,887.0,706.0,52.839379,29.475889,2.015597,0.0,0.0,false
160,1374.0,1183.5,31.32092,163.300756,3.170114,0.0,0.0,false
161,547.6,1216.8,31.105032,104.931417,3.50093,0.249213,0.249213,false
162,1147.0,683.0,43.081318,21.801409,2.718078,0.0,0.0,false
163,169.5,558.0,42.107007,85.914383,1.936089,0.0,0.0,false
164,1100.0,1147.0,34.0,61.927513,2.5675,0.0,0.0,false
165,243.0,715.5,30.149627,5.710593,3.103371,0.0,0.0,false
166,884.6,912.1,40.808313,65.323137,2.843879,0.193563,0.193563,false
167,131.5,494.0,47.67599,170.340107,1.97848,0.0,0.0,false
168,416.5,1011.0,35.510562,9.727579,2.899976,0.0,0.0,false
169,92.0,1107.5,41.048752,92.792702,1.928804,0.0,0.0,false
170,393.5,916.0,36.124784,85.236358,2.901826,0.0,0.0,false
171,1059.5,1000.0,31.064449,176.308614,3.157486,0.0,0.0,false
172,537.0,1051.0,44.045431,129.47246,2.68307,0.0,0.0,false
173,400.0,552.0,53.141321,109.798876,1.950366,0.0,0.0,false
174,188.0,1001.0,60.166436,15.422161,1.783874,0.0,0.0,false
175,525.5,1044.4,33.160502,75.963757,3.112835,0.357214,0.357214,false
176,244.6,938.9,49.673702,165.963757,1.943429,0.207451,0.207451,false
177,120.4,1039.6,55.53171,7.253195,2.027519,-0.136036,0.136036,false
178,423.0,981.5,30.805844,166.865978,2.845388,0.0,0.0,false
179,170.0,1190.0,50.358713,83.157227,1.844757,0.0,0.0,false
180,1377.9,550.2,44.510562,7.765166,2.072203,-0.218545,0.218545,false
181,516.0,1093.5,57.801384,149.886267,2.839826,0.0,0.0,false
182,533.0,527.5,48.052055,77.988522,1.960699,0.0,0.0,false
183,101.2,1212.7,43.027257,12.094757,2.116176,0.156281,0.156281,false
184,1293.0,703.5,39.204592,52.253195,2.653479,0.0,0.0,false
185,672.3,501.0,41.83804,21.037511,1.907939,0.167991,0.167991,false
186,1247.0,952.0,39.293765,165.256437,2.003288,0.0,0.0,false
187,1254.7,683.4,43.910153,27.149682,2.031568,0.249678,0.249678,false
188,1211.0,700.0,30.594117,11.309932,2.933457,0.0,0.0,false
189,180.5,665.5,45.276926,30.529706,1.906839,0.0,0.0,false
190,216.5,762.0,56.0803,121.138972,1.758905,0.0,0.0,false
191,200.0,940.0,53.851648,74.931512,1.790216,0.0,0.0,false
192,673.5,502.5,43.931765,138.691386,3.055112,0.0,0.0,false
193,331.8,635.2,43.215143,76.607502,1.982486,0.117542,0.117542,false
194,188.7,905.3,46.217395,155.65891,1.995907,0.213465,0.213465,false
195,985.7,1006.4,42.154505,71.995838,1.888158,0.184067,0.184067,false
196,653.2,1127.0,34.253779,96.709837,2.875069,0.157758,0.157758,false
197,376.0,586.6,67.494543,44.396909,1.631814,0.165782,0.165782,false
198,1352.5,563.5,43.931765,138.691386,2.758182,0.0,0.0,false
199,669.5,1198.5,39.319207,172.69424,2.044469,0.0,0.0,false
200,629.8,1153.2,46.264735,38.853374,2.100289,0.151331,0.151331,false
201,210.5,938.0,49.74227,115.016893,1.960407,0.138279,0.138279,false
202,511.5,1129.7,44.00066,114.227745,1.829924,0.206167,0.206167,false
203,284.3,1093.9,48.467909,97.125016,2.003393,0.149837,0.149837,false
204,444.5,531.5,37.013511,88.451842,1.956588,0.0,0.0,false
205,180.0,987.0,50.990195,78.690068,1.971019,0.0,0.0,false
206,1154.5,1027.5,34.205263,74.744881,2.695949,0.0,0.0,false
207,114.5,864.5,37.121422,85.364537,1.926833,0.0,0.0,false
208,195.1,1114.4,63.257262,150.592811,1.708931,0.126122,0.126122,false
209,942.5,1227.3,59.553886,172.278174,4.498014,-0.053394,0.053394,false
210,1106.0,1032.4,45.721974,118.810794,1.831381,0.140267,0.140267,false
211,125.0,882.0,35.44009,106.38954,2.594917,0.0,0.0,false
212,1255.5,481.5,33.136083,174.805571,3.142085,0.0,0.0,false
213,1083.5,682.5,31.780497,77.275644,2.452217,0.0,0.0,false
214,111.5,630.5,43.289722,173.367485,1.881889,0.0,0.0,false
215,302.0,895.0,40.496913,159.775141,2.013431,0.0,0.0,false
216,1016.7,1116.4,58.738083,53.32565,1.621171,0.139281,0.139281,false
217,121.0,1209.0,38.209946,83.990994,2.047335,0.0,0.0,false
218,1307.0,514.5,42.296572,6.788975,1.910059,0.0,0.0,false
219,171.0,542.5,37.854986,102.200469,1.912914,0.0,0.0,false
220,1035.0,616.0,33.105891,64.983107,2.551694,0.0,0.0,false
221,1049.2,1194.4,34.281274,20.556045,3.030338,0.427769,0.427769,false
222,565.0,478.4,36.099425,176.82017,1.972958,-0.209232,0.209232,false
223,255.0,592.5,42.011903,1.363928,2.063765,0.0,0.0,false
224,195.5,490.5,51.244512,174.400661,1.934925,0.0,0.0,false
225,115.0,761.5,35.057096,86.729512,2.072234,0.0,0.0,false
226,109.0,644.0,43.266615,56.309932,1.873686,0.0,0.0,false
227,764.0,1211.0,31.048349,165.068583,3.008327,0.0,0.0,false
228,183.5,614.0,39.204592,5.856014,1.955103,0.0,0.0,false
229,409.5,575.0,40.311289,156.614779,1.950807,0.0,0.0,false
