#FilamentSensor-0.2.2j
#cell_properties
%cell_identifier
-1
%center_x
412
%center_y
301
%area
162504.0
%aspect_ratio
1.775607
%long_half_axis
303.061323
%orientation
4.352215
%order_parameter
0.450803
%new_orientation
14.227282
%new_order_parameter
0.478979
%area_interior
170878
%mean_brightness_interior
165.072946
%area_boundary
-8374.0
%mean_brightness_boundary
0.0
%excursion_ratio
0.116557
%number_filaments
227
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
1,651.7,728.7,263.354911,13.24052,3.987851,0.082472,0.121735,false
2,720.9,752.0,213.576166,5.145458,3.893283,0.097561,0.097561,false
3,765.3,737.1,213.897115,177.286591,4.005096,0.127286,0.127286,false
4,392.6,861.4,226.493861,57.859993,4.353077,-0.020505,0.104872,false
5,607.6,676.0,155.307883,17.730528,4.501779,0.071053,0.155442,false
6,663.2,891.9,127.59595,158.86576,4.396922,-0.013603,0.013603,false
7,566.6,874.4,129.372167,104.788678,4.237882,0.021726,0.068497,false
8,857.9,693.6,109.652,166.218403,5.433498,0.112447,0.112447,false
9,712.7,863.7,136.761535,11.061182,4.155677,0.183615,0.183615,false
10,650.6,909.6,133.184194,7.823711,4.296034,0.131783,0.131783,false
11,568.3,990.9,114.25566,21.614779,3.801122,-0.073538,0.073538,false
12,825.5,795.0,121.082717,133.994914,4.404044,0.049366,0.049366,false
13,562.3,732.3,139.532939,4.524768,3.463604,0.031285,0.031285,false
14,807.4,646.6,105.048216,61.959847,4.724385,0.162808,0.162808,false
15,464.4,1049.7,119.902114,43.305353,3.981204,0.05602,0.133099,false
16,965.8,678.8,115.156522,57.414293,4.72766,0.024489,0.024489,false
17,780.8,828.4,117.099729,72.03086,3.52178,0.169636,0.169636,false
18,422.5,881.8,89.385732,173.516926,4.657783,0.228412,0.228412,false
19,949.9,689.6,111.826672,38.740964,4.024814,0.212905,0.212905,false
20,586.2,760.8,134.610823,20.456314,2.956729,0.007816,0.139586,false
21,820.2,917.7,121.384439,39.986886,3.640844,-0.008857,0.008857,false
22,894.7,794.9,106.872331,159.695526,3.417249,-0.072887,0.072887,false
23,780.3,990.5,85.595561,3.366461,4.172556,0.158365,0.158365,false
24,909.7,813.4,94.472437,157.520566,3.727461,0.104379,0.104379,false
25,559.3,785.0,99.895398,79.592289,4.095482,0.07583,0.147881,false
26,1040.5,798.9,97.607597,9.462322,3.539778,0.127305,0.127305,false
27,647.5,933.0,85.232192,179.325963,4.469087,-0.128774,0.128774,false
28,855.6,910.7,99.129354,28.379243,3.387954,0.09411,0.09411,false
29,655.8,714.7,65.188073,162.121303,5.675768,0.068833,0.068833,false
30,415.7,862.5,74.733371,5.403791,4.691284,0.206157,0.206157,false
31,798.7,722.7,121.793975,176.689058,2.820372,0.122545,0.122545,false
32,591.2,813.7,82.516612,67.166346,3.770685,-0.057774,0.057774,false
33,900.5,952.5,67.18642,179.144903,5.299023,0.127758,0.127758,false
34,523.0,878.0,66.272002,0.868051,4.762578,0.190367,0.190367,false
35,967.6,887.0,69.885289,9.057888,4.541484,0.035589,0.035589,false
36,849.0,702.8,103.998926,166.633069,3.119064,0.074843,0.074843,false
37,602.8,1063.9,89.911,54.536636,3.926284,0.135219,0.135219,false
38,751.6,886.5,77.8341,35.537678,4.342674,0.16201,0.16201,false
39,712.4,997.1,99.555513,171.869898,3.092289,0.184259,0.184259,false
40,490.0,909.0,74.108029,3.094058,3.934443,0.0,0.0,false
41,459.2,912.1,73.839216,157.619865,3.832713,0.140274,0.140274,false
42,502.8,944.5,77.342676,148.781597,3.931823,0.106367,0.106367,false
43,630.0,978.0,51.92302,164.357754,5.418584,0.0,0.0,false
44,812.9,882.2,97.6013,68.962489,3.105966,-0.04603,0.102525,false
45,649.1,929.5,70.423859,24.376469,3.907484,0.110204,0.110204,false
46,581.4,752.7,109.829893,65.556045,2.800268,-0.182618,0.182618,false
47,866.1,962.3,64.432274,177.316225,4.106433,0.189035,0.189035,false
48,833.9,893.4,80.915137,21.801409,3.771207,0.087454,0.087454,false
