#FilamentSensor-0.2.2j
#cell_properties
%cell_identifier
-1
%center_x
234
%center_y
202
%area
72200.0
%aspect_ratio
1.066836
%long_half_axis
156.582237
%orientation
86.284018
%order_parameter
4.91E-4
%new_orientation
130.765658
%new_order_parameter
0.027114
%area_interior
72200
%mean_brightness_interior
157.803324
%area_boundary
0.0
%mean_brightness_boundary
0.0
%excursion_ratio
0.09608
%number_filaments
110
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
1,600.1,864.7,145.427414,114.083196,4.946565,0.074006,0.220551,false
2,706.1,963.6,169.026763,147.449997,4.260552,0.100697,0.148228,false
3,826.7,851.3,194.430183,50.430051,3.990639,0.246273,0.246273,false
4,622.3,702.1,95.42321,35.537678,5.776875,0.195698,0.195698,false
5,693.3,759.0,120.370358,89.045159,3.846589,0.10048,0.10048,false
6,743.8,693.6,111.166156,169.602666,3.569408,0.096173,0.096173,false
7,885.0,804.2,100.183526,2.29061,3.919756,-0.080009,0.080009,false
8,668.5,892.2,103.395849,175.006256,3.122873,0.009257,0.009257,false
9,578.5,767.0,67.357256,71.834043,4.886399,0.0,0.0,false
10,824.6,713.5,83.351727,3.447387,4.481569,0.048209,0.199439,false
11,850.5,742.8,81.771267,75.113733,4.36592,-0.036557,0.036557,false
12,680.9,863.0,82.679597,169.508523,3.756089,0.118579,0.118579,false
13,666.8,884.7,96.688703,174.053137,2.953059,-0.080628,0.080628,false
14,731.0,680.3,80.880368,160.441748,3.790522,-0.10616,0.10616,false
15,635.6,863.0,84.364679,85.236358,3.268265,0.070699,0.070699,false
16,799.8,777.6,67.313372,155.344101,3.762568,0.137633,0.137633,false
17,901.9,796.4,68.452267,164.744881,4.023804,-0.088469,0.088469,false
18,783.6,953.1,79.746599,111.39981,3.974039,0.117688,0.117688,false
19,690.0,684.4,56.540465,76.70143,4.951872,0.066532,0.066532,false
20,775.2,937.0,88.534243,99.782407,3.341571,0.10368,0.10368,false
21,778.0,1011.5,42.579338,9.462322,5.874891,0.0,0.0,false
22,739.9,744.7,60.146271,79.438989,4.024403,0.131084,0.131084,false
23,675.3,712.5,55.151273,90.0,4.228691,0.157071,0.157071,false
24,713.9,779.2,86.095391,35.537678,2.992923,0.055056,0.055056,false
