#FilamentSensor-0.2.2j
#cell_properties
%cell_identifier
-1
%center_x
606
%center_y
537
%area
306829.0
%aspect_ratio
1.203349
%long_half_axis
342.822301
%orientation
126.944589
%order_parameter
-0.160654
%new_orientation
24.564619
%new_order_parameter
0.176918
%area_interior
306829
%mean_brightness_interior
213.236476
%area_boundary
0.0
%mean_brightness_boundary
0.0
%excursion_ratio
0.235867
%number_filaments
422
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
1,1272.5,845.0,894.000559,89.935911,3.698601,0.0,0.0,false
2,858.0,400.6,822.007335,0.0,3.489218,-0.001023,0.001023,false
3,1032.3,1136.7,525.347809,35.038324,3.968722,0.08543,0.105988,false
4,437.5,1290.5,427.051075,0.268362,3.70884,0.01305,0.01305,false
5,226.5,1069.0,438.001142,89.869188,3.569241,0.0,0.0,false
6,628.8,917.5,606.513528,173.703865,2.638009,0.115652,0.115652,false
7,226.5,612.5,429.001165,89.866444,3.121499,0.0,0.0,false
8,1122.0,1290.3,292.009585,0.0,3.907287,0.003761,0.003761,false
9,919.2,1219.7,244.317944,11.170978,4.279519,0.127453,0.127453,false
10,896.7,1271.4,263.610375,6.556946,4.117427,-0.014025,0.118521,false
11,859.3,1255.9,216.614409,13.392498,3.688539,-0.016898,0.141168,false
12,921.3,1251.2,230.75406,18.51376,3.781241,0.039962,0.142158,false
13,1183.2,1008.3,271.465214,55.721096,2.879825,0.046324,0.121292,false
14,335.0,400.5,212.002358,179.729739,3.20573,0.0,0.0,false
15,1126.8,1105.6,199.539172,68.035044,3.571015,0.157425,0.157425,false
16,879.3,1288.1,131.572049,175.200164,4.667813,0.035804,0.035804,false
17,980.2,594.3,293.554206,55.491477,2.83808,0.087071,0.087071,false
18,1111.2,1220.7,133.647449,95.624628,3.918963,-0.139504,0.139504,false
19,1218.2,952.8,154.189721,50.52754,3.520407,-0.015708,0.015708,false
20,782.5,1290.2,141.057375,0.0,3.215016,0.023303,0.023303,false
21,697.1,1279.0,132.816775,11.733084,3.575504,0.040577,0.040577,false
22,943.2,1259.9,128.59888,4.467159,3.661892,0.062824,0.062824,false
23,997.4,1183.2,150.648969,24.349355,2.903999,-0.008184,0.110476,false
24,1015.1,1165.2,114.592383,28.131342,2.96734,-0.042122,0.042122,false
25,972.7,554.3,121.310374,48.012788,3.602809,-0.0551,0.189138,false
26,1014.5,1271.0,84.21995,150.086354,4.973776,0.0,0.0,false
27,509.4,848.6,87.452468,21.557079,4.175888,0.129645,0.129645,false
28,790.1,1275.4,80.719174,11.449338,3.314867,-0.078443,0.078443,false
29,1069.8,1252.8,84.718789,134.518534,4.28503,0.167088,0.167088,false
30,1046.7,1218.4,105.699854,54.651833,3.895189,0.081537,0.081537,false
31,1086.0,1210.0,70.114193,86.729512,4.088964,0.0,0.0,false
32,727.3,1263.8,98.284918,14.743563,3.009628,-0.050281,0.050281,false
33,770.0,1247.2,76.067919,0.753848,4.136381,-0.077999,0.077999,false
34,1046.6,1219.6,105.506132,70.016893,3.178227,-0.06124,0.06124,false
35,1054.8,1249.2,93.921829,125.892666,3.985119,-0.058674,0.058674,false
36,303.3,959.6,102.137257,32.124998,3.127655,-0.154676,0.154676,false
37,951.8,1181.8,120.261057,27.423351,2.500283,0.137676,0.137676,false
38,736.4,1275.6,101.060948,22.750976,3.071808,-0.043525,0.150891,false
39,955.6,1252.9,101.33105,134.599337,4.178021,0.006317,0.158217,false
40,996.3,975.3,87.990615,118.61046,3.052481,-0.123694,0.123694,false
41,979.0,1245.5,50.089919,3.43363,4.212485,0.0,0.0,false
42,1050.0,1246.0,44.72136,79.695154,5.715798,0.0,0.0,false
43,1041.1,479.0,78.62193,36.724107,3.518115,0.036514,0.036514,false
44,954.1,1070.6,121.473292,133.325162,2.36039,-0.09656,0.09656,false
45,1103.5,1253.0,69.892775,109.212672,2.921592,0.0,0.0,false
46,1031.0,1266.0,60.959003,138.990913,4.484582,0.0,0.0,false
47,1005.5,1197.0,57.558666,7.989327,3.539212,0.0,0.0,false
