#FilamentSensor-0.2.2j
#cell_properties
%cell_identifier
-1
%center_x
626
%center_y
325
%area
460383.0
%aspect_ratio
1.705822
%long_half_axis
499.978763
%orientation
162.236572
%order_parameter
0.312381
%new_orientation
164.369091
%new_order_parameter
0.313249
%area_interior
477453
%mean_brightness_interior
218.938649
%area_boundary
-17070.0
%mean_brightness_boundary
0.0
%excursion_ratio
0.080469
%number_filaments
351
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
1,749.5,518.7,1303.001778,0.0,3.597044,1.56E-4,1.56E-4,false
2,442.0,1171.4,686.004802,0.0,3.601067,8.02E-4,8.02E-4,false
3,1105.9,1171.5,590.167043,179.61156,3.637779,-0.010571,0.010571,false
4,100.8,845.0,648.003247,90.0,3.367935,5.74E-4,5.74E-4,false
5,1399.0,845.0,648.0,90.0,2.935858,0.0,0.0,false
6,594.9,1137.1,114.732297,155.47228,4.212564,0.196044,0.196044,false
7,631.3,1117.4,151.127967,155.144763,3.653661,-0.0897,0.145912,false
8,684.5,1135.0,116.297033,152.333243,3.801008,0.0,0.0,false
9,580.1,1106.5,125.155635,150.767183,3.735978,-0.014098,0.126504,false
10,758.1,1128.3,140.598986,153.251896,2.824065,0.079525,0.079525,false
11,680.3,1121.2,102.547636,151.927513,3.282717,0.16743,0.16743,false
12,602.7,1109.3,110.900429,147.171458,2.930287,-0.025287,0.121333,false
13,467.0,1121.0,79.699435,162.474432,3.519266,0.0,0.0,false
14,577.9,883.1,111.34524,149.743563,3.011395,0.006106,0.129971,false
15,758.7,1140.0,89.254573,156.885792,3.56267,-0.06193,0.06193,false
16,703.0,1155.4,66.585726,154.983107,3.555874,0.189986,0.189986,false
17,450.7,830.7,99.371319,158.091295,2.909129,0.085324,0.085324,false
18,536.5,1117.0,62.880279,22.479434,4.087381,0.12186,0.12186,false
19,325.6,719.6,82.230206,170.193907,3.221356,0.056734,0.056734,false
20,691.6,620.2,94.498533,152.891877,2.784481,0.004478,0.155505,false
21,581.0,1122.5,59.135438,161.25866,3.010919,0.0,0.0,false
22,919.3,1110.5,58.519731,157.833654,3.6527,-0.178942,0.178942,false
23,1298.7,987.8,70.10427,170.134193,3.190229,0.074739,0.074739,false
24,361.9,596.2,55.955116,162.216112,3.539564,0.260463,0.260463,false
25,208.7,758.5,65.19399,10.619655,3.052456,-0.086601,0.086601,false
26,867.5,1068.5,92.529713,135.881404,2.677136,0.150955,0.150955,false
27,744.5,647.9,78.013828,152.447188,2.466927,-0.104793,0.104793,false
28,1206.0,895.0,62.513998,7.352379,3.025931,0.0,0.0,false
29,707.0,988.8,90.968248,137.683775,2.925118,0.120494,0.120494,false
30,418.0,615.5,49.244289,12.907409,3.84581,0.0,0.0,false
31,1215.9,1069.3,69.891486,150.865708,2.897388,0.077179,0.077179,false
32,509.9,1114.1,45.389479,14.036243,4.049432,0.122494,0.122494,false
33,1245.0,929.0,44.407207,172.234834,3.711436,0.0,0.0,false
34,836.2,710.2,73.859648,155.170653,2.742575,-0.051509,0.051509,false
35,450.0,727.5,66.068147,2.602562,2.906115,0.0,0.0,false
36,197.0,730.5,45.398238,82.405357,3.716679,0.0,0.0,false
37,156.4,736.6,49.724566,117.597296,3.256668,-0.127506,0.127506,false
38,1275.0,876.7,53.512949,30.411081,2.900362,0.173127,0.173127,false
39,559.5,1104.5,45.099889,3.814075,3.168145,0.0,0.0,false
40,1288.0,1063.4,65.781915,153.82471,3.086703,-0.061065,0.061065,false
41,691.5,1108.0,37.48333,9.211027,4.162955,0.0,0.0,false
42,1274.3,1061.4,53.314425,66.801409,3.050768,0.03284,0.03284,false
43,992.7,795.4,63.283966,145.304846,2.71102,-0.078531,0.078531,false
44,724.5,1133.8,47.768442,146.976132,3.228883,0.124632,0.124632,false
45,217.0,738.0,53.141321,19.798876,2.913003,0.0,0.0,false
46,1292.0,982.0,41.231056,75.963757,4.021023,0.0,0.0,false
47,156.7,1124.7,47.759538,99.659893,3.556564,0.142601,0.142601,false
48,536.5,1088.5,36.138622,75.579227,4.004841,0.0,0.0,false
49,731.0,1126.5,40.607881,142.001268,3.653834,0.0,0.0,false
50,261.5,719.8,43.051147,0.0,2.896882,0.136105,0.136105,false
51,1085.5,867.7,49.658099,170.727398,2.914221,0.048599,0.048599,false
52,964.3,1114.4,50.360757,17.354025,3.06546,0.129988,0.129988,false
53,1216.3,1075.3,67.144031,156.124719,1.971672,0.199755,0.199755,false
54,1275.0,1009.0,52.801515,37.303948,3.091208,0.0,0.0,false
55,799.0,1169.5,32.756679,167.660913,3.36766,0.0,0.0,false
56,980.0,899.5,32.388269,171.119341,3.705548,0.0,0.0,false
57,1290.5,1070.0,31.575307,10.954063,4.292025,0.0,0.0,false
58,1321.5,882.7,31.289261,7.352379,3.911967,0.245965,0.245965,false
59,150.5,740.5,36.249138,114.443955,3.42669,0.0,0.0,false
60,1311.0,922.9,36.385699,97.907163,3.120848,0.170084,0.170084,false
61,608.5,1153.5,51.478151,150.945396,2.349633,0.0,0.0,false
62,743.5,1125.1,39.136259,140.194429,3.767556,-0.215849,0.215849,false
63,687.0,958.1,56.782648,144.344672,2.638417,0.16035,0.16035,false
64,464.3,618.0,45.689703,164.744881,2.623284,0.157568,0.157568,false
65,1018.1,1009.1,64.092921,141.340192,2.672939,0.078445,0.078445,false
66,406.6,725.4,62.608614,167.074001,1.936493,0.051941,0.051941,false
67,625.3,588.3,51.925682,154.916406,2.711458,-0.106251,0.106251,false
68,633.5,918.0,52.009614,142.028396,2.875136,0.0,0.0,false
69,921.5,739.0,59.033889,153.868999,1.797719,0.0,0.0,false
70,1188.8,598.4,51.288153,128.659808,2.931694,0.112921,0.112921,false
71,325.1,776.0,32.132746,176.423666,3.170871,0.236352,0.236352,false
72,873.0,723.0,34.058773,176.633539,3.404607,0.0,0.0,false
73,586.2,907.4,52.645373,156.370622,2.938288,0.21805,0.21805,false
74,1278.0,705.0,55.569776,59.743563,2.796234,0.0,0.0,false
75,185.5,551.9,44.780596,23.702646,2.7546,-0.048259,0.048259,false
76,450.5,1130.0,32.015621,14.470294,3.39732,0.0,0.0,false
77,462.0,554.5,37.802116,142.52382,3.18772,0.0,0.0,false
78,1006.5,819.5,35.355339,171.869898,3.222515,0.0,0.0,false
79,1172.9,602.6,50.526671,56.309932,2.926837,0.100059,0.100059,false
80,432.6,1121.3,32.778421,156.571307,3.41241,-0.255827,0.255827,false
81,1116.0,560.5,68.154237,112.425862,1.958227,0.0,0.0,false
82,1018.5,833.0,40.311289,97.125016,3.04952,0.0,0.0,false
83,1295.5,950.5,42.544095,60.422161,3.025318,0.0,0.0,false
84,546.5,665.1,33.442925,171.384352,3.173266,0.302745,0.302745,false
85,113.3,711.0,36.294688,83.659808,2.751522,0.232182,0.232182,false
86,1298.5,887.5,38.600518,106.557071,2.818274,0.0,0.0,false
87,886.0,1112.5,39.051248,140.194429,2.861698,0.0,0.0,false
88,548.7,575.9,46.662776,144.605204,2.623539,0.14633,0.14633,false
89,1359.8,778.3,65.849996,123.20657,1.905388,-0.108421,0.108421,false
90,128.0,946.7,36.506675,110.924502,3.08136,0.327013,0.327013,false
91,757.7,1052.7,43.919582,114.227745,2.534883,0.139674,0.139674,false
92,117.5,820.0,47.169906,111.124719,2.094929,0.0,0.0,false
93,1339.5,1097.0,33.54102,10.304846,3.369559,0.0,0.0,false
94,1297.0,970.7,46.148744,102.528808,2.087826,0.116781,0.116781,false
95,1283.5,1035.0,40.607881,127.998732,3.112677,0.0,0.0,false
96,1280.0,1028.0,36.055513,160.559965,3.020407,0.0,0.0,false
97,541.4,1083.2,42.45906,124.438989,2.857786,0.088522,0.088522,false
98,966.5,1138.5,31.016125,178.15239,2.96723,0.0,0.0,false
99,1142.0,1044.0,38.470768,27.897271,2.821249,0.0,0.0,false
100,1189.0,1064.0,42.190046,5.440332,1.85104,0.0,0.0,false
101,717.0,642.0,50.119856,151.38954,1.934199,0.0,0.0,false
102,1107.2,875.6,38.868102,145.491477,2.795557,0.1546,0.1546,false
103,417.5,590.5,31.144823,174.47246,3.0287,0.0,0.0,false
104,1296.4,615.0,68.370487,58.172553,1.87085,0.093526,0.093526,false
105,1303.0,756.5,43.600459,126.607075,2.884814,0.0,0.0,false
106,1290.0,1034.0,42.755117,79.215702,2.139198,0.0,0.0,false
107,1213.0,635.0,46.090722,177.510447,2.057633,0.1127,0.1127,false
108,1337.5,1121.0,36.013886,91.59114,2.996775,0.0,0.0,false
109,1234.0,575.0,48.083261,16.927513,2.03236,0.0,0.0,false
110,1010.5,829.0,33.24154,173.088773,2.843848,0.0,0.0,false
111,1091.0,1037.0,32.557641,10.619655,2.763843,0.0,0.0,false
