#FilamentSensor-0.2.2j
#cell_properties
%cell_identifier
-1
%center_x
590
%center_y
608
%area
477542.0
%aspect_ratio
1.323948
%long_half_axis
448.607277
%orientation
130.654556
%order_parameter
-0.315786
%new_orientation
39.842139
%new_order_parameter
0.315913
%area_interior
489372
%mean_brightness_interior
181.89408
%area_boundary
-11830.0
%mean_brightness_boundary
0.0
%excursion_ratio
0.168391
%number_filaments
938
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
1,749.5,292.6,1035.003377,0.0,3.158021,3.74E-4,3.74E-4,false
2,233.7,947.5,905.008825,90.06331,3.422502,6.07E-4,6.07E-4,false
3,696.5,1398.4,673.200075,0.085135,3.648941,-0.01351,0.015961,false
4,1264.5,759.5,693.000722,90.082678,3.368751,0.0,0.0,false
5,918.2,1017.5,423.445737,32.586899,3.456791,0.073123,0.130959,false
6,1015.0,928.7,341.712751,42.825256,3.274254,-0.067555,0.130974,false
7,881.9,1080.5,264.797009,26.274212,4.22674,0.022443,0.103506,false
8,640.1,1102.5,251.920173,169.140497,4.146267,0.111645,0.132306,false
9,1081.5,1153.9,354.491164,44.652757,3.238135,0.050633,0.090273,false
10,919.9,1072.6,261.77993,30.398728,4.076781,-0.056633,0.104434,false
11,1133.7,1285.3,314.973271,43.451842,4.092733,-0.030248,0.123968,false
12,1141.6,917.0,270.004336,37.303948,3.90397,0.159532,0.159532,false
13,1126.5,1279.8,318.437666,41.558741,3.267972,0.021835,0.097123,false
14,1027.8,1252.4,292.897071,48.187514,3.355074,0.029619,0.041143,false
15,1119.2,826.8,278.430808,66.080397,3.213125,0.116575,0.116575,false
16,1048.0,1209.9,253.460444,50.136378,3.235665,0.055018,0.055018,false
17,1124.4,1192.3,272.148157,45.596809,3.277698,0.041115,0.10937,false
18,946.4,1101.9,194.261224,33.854004,4.189915,-0.008513,0.070378,false
19,1137.0,1156.6,248.209573,46.636577,3.644374,-0.021886,0.090035,false
20,980.4,1044.2,234.276824,42.389538,3.703013,0.07424,0.07424,false
21,936.1,1037.9,215.114005,30.506132,3.165796,-0.061091,0.061091,false
22,1178.9,1189.3,217.599393,47.06551,3.601538,0.077039,0.10966,false
23,1176.7,1223.3,215.080727,43.861823,3.454744,-0.085475,0.085475,false
24,233.5,416.5,241.084891,90.475473,3.077979,0.038238,0.038238,false
25,980.6,996.3,236.723486,34.633677,3.196312,0.057394,0.120538,false
26,1264.5,1286.5,229.002183,90.250198,3.157205,0.0,0.0,false
27,1142.2,792.3,172.443914,88.659992,3.849421,-0.011392,0.207863,false
28,972.4,1098.0,155.768531,35.022287,4.7254,-0.058447,0.123348,false
29,1152.0,1398.5,218.117922,179.474365,3.180083,-0.01444,0.038498,false
30,1057.9,1245.0,215.90102,44.432734,3.343454,0.097796,0.097796,false
31,880.4,1296.8,131.591039,5.710593,4.475226,-0.152895,0.152895,false
32,928.0,1104.8,192.293434,36.689723,3.422496,0.084559,0.084559,false
33,1157.8,1332.7,127.933697,93.154843,4.088637,0.10445,0.10445,false
34,749.3,445.8,205.11765,112.792768,3.059844,0.078376,0.111967,false
35,1003.4,1314.1,188.8973,38.3278,3.470267,0.019813,0.059112,false
36,1210.3,1118.3,163.281786,53.481606,3.531153,-0.046512,0.108059,false
37,1027.1,1168.8,150.548392,41.7603,3.427049,0.126245,0.126245,false
38,1030.5,1196.7,198.328164,46.636577,2.925162,0.094603,0.094603,false
39,1113.6,1224.8,191.102896,49.88701,3.093816,0.002251,0.075523,false
40,679.4,1211.4,198.230096,22.017009,2.79224,0.064464,0.106687,false
41,1138.3,929.0,249.496649,39.536157,2.598405,0.147452,0.147452,false
42,959.9,603.1,158.621983,29.654723,3.343346,-0.116219,0.116219,false
43,1066.8,1304.0,171.857852,46.420266,3.113643,-0.059678,0.059678,false
44,1105.1,878.9,170.076013,56.309932,3.54117,-4.36E-4,0.114941,false
45,1248.7,1274.0,98.230361,110.282559,5.0096,-0.052476,0.124808,false
46,1006.2,1136.4,166.324141,36.869898,3.357358,0.117203,0.117203,false
47,1147.1,1084.6,157.492103,38.034582,3.121684,-0.00578,0.083496,false
48,827.5,1137.0,114.179683,17.32409,3.728718,0.0,0.0,false
49,765.6,1134.3,120.021335,45.339024,3.968227,-0.095558,0.095558,false
50,1033.2,1148.7,130.136091,39.072496,3.637451,-0.048161,0.048161,false
51,1147.0,1063.2,113.396797,38.89722,3.607918,0.081102,0.081102,false
52,373.8,794.6,124.878936,175.389351,3.491977,0.119337,0.119337,false
53,995.5,1105.1,111.456261,31.675469,3.659053,0.154227,0.154227,false
54,916.5,479.5,126.494359,89.083346,3.248798,0.177413,0.177413,false
55,731.8,1015.1,86.396976,84.685454,4.739484,-0.033434,0.033434,false
56,1099.1,1073.5,87.391714,25.09625,4.1806,-0.108275,0.108275,false
57,989.4,1100.7,101.235342,33.690068,3.651822,-0.087819,0.087819,false
58,844.0,1053.4,115.345657,30.793234,3.012655,-0.058455,0.058455,false
59,1060.4,1052.8,93.622577,173.862744,3.937484,0.076104,0.076104,false
60,811.2,1157.8,99.528794,14.596576,4.083376,0.09898,0.09898,false
61,689.4,1120.1,132.164984,165.857653,3.039238,0.156829,0.156829,false
62,893.0,981.5,77.84706,98.130102,4.449438,-0.113129,0.113129,false
63,582.6,1087.1,111.640661,175.322582,3.38752,0.180218,0.180218,false
64,990.6,1157.4,136.91711,43.806511,3.20872,0.124913,0.124913,false
65,306.5,1399.0,109.099751,178.948819,3.150856,0.052343,0.052343,false
66,871.0,979.1,87.062683,110.942651,3.932976,-0.115193,0.115193,false
67,840.9,979.6,74.182551,79.902496,4.523002,0.068395,0.068395,false
68,713.2,1190.8,138.398175,15.145706,2.893816,0.088862,0.088862,false
69,807.9,959.4,106.833626,29.211292,3.584102,0.082295,0.082295,false
70,938.0,1181.0,74.726247,107.949403,4.952336,0.078352,0.078352,false
71,851.6,1197.0,86.19123,164.511499,4.001096,0.092982,0.092982,false
72,895.5,1037.2,106.651564,31.148581,3.163044,0.083725,0.083725,false
73,1051.5,1310.5,112.044634,49.34324,3.170554,0.0,0.0,false
74,968.5,1150.5,104.316825,29.267995,3.094864,0.0,0.0,false
75,401.0,931.4,119.012834,26.565051,3.113598,-0.004814,0.179715,false
76,1164.0,1172.5,110.737002,57.171458,2.813615,0.012984,0.085518,false
77,1201.5,857.0,85.813178,0.674037,4.022264,0.1969,0.1969,false
78,871.9,1306.1,104.744942,21.903178,3.853677,-0.088982,0.227666,false
79,1139.5,1222.9,128.444737,48.477787,3.101417,-0.052239,0.157595,false
80,1084.5,940.5,88.309492,45.0,3.53821,0.164479,0.164479,false
81,400.4,944.3,114.105515,26.565051,2.972629,0.037073,0.037073,false
82,610.7,538.8,113.683274,78.293563,3.022555,0.07679,0.07679,false
83,858.4,1177.5,96.735569,13.172553,3.253916,0.076506,0.076506,false
84,696.2,1074.2,82.141866,45.0,4.183443,0.077235,0.077235,false
85,889.5,1272.4,67.27547,0.0,3.957611,0.156286,0.156286,false
86,933.5,1250.4,93.162171,153.711738,4.015557,0.139592,0.139592,false
87,921.0,1263.5,62.936476,162.428741,4.595798,0.0,0.0,false
88,943.1,964.1,67.151849,24.655899,4.180028,-0.053257,0.053257,false
89,1158.3,1065.6,100.291215,39.732303,3.071079,-0.073131,0.073131,false
90,750.5,473.9,124.95859,117.181111,2.992687,0.048289,0.083486,false
91,1113.8,1052.3,77.912429,21.93848,3.568177,0.146419,0.146419,false
92,773.3,1052.2,75.872416,36.416379,4.326432,-0.137933,0.137933,false
93,1007.9,1120.3,96.214295,33.524473,3.03672,0.086029,0.086029,false
94,731.1,1176.5,83.409533,18.217095,3.370672,0.127319,0.127319,false
95,843.7,1219.5,75.556841,147.994617,4.363252,-0.056842,0.161787,false
96,1169.8,1077.7,110.855631,40.601295,3.015485,0.04008,0.188251,false
97,443.6,833.6,87.831976,172.146687,3.024226,-0.019787,0.019787,false
98,1209.5,1241.7,73.716724,11.768289,4.052078,0.106673,0.106673,false
99,804.6,976.2,68.297274,10.98065,3.581435,0.074851,0.074851,false
100,973.5,1356.6,75.770789,29.275254,3.059151,-0.10034,0.10034,false
101,757.7,986.7,93.436751,44.131949,3.662386,0.05412,0.05412,false
102,1097.9,941.1,111.471666,41.719119,2.524456,-0.072045,0.072045,false
103,797.2,1200.2,76.498547,176.235965,3.499916,-0.184016,0.184016,false
104,890.1,1159.0,70.748028,8.130102,3.751426,0.053466,0.053466,false
105,922.1,954.4,58.750378,8.82038,3.856849,0.091979,0.091979,false
106,1180.2,874.4,66.797026,12.994617,3.481781,-0.096642,0.096642,false
107,979.7,1242.8,78.026489,49.159642,3.246963,0.04739,0.04739,false
108,1200.0,1234.0,73.430239,29.357754,3.871506,0.0,0.0,false
109,1161.9,1105.0,88.979006,39.970926,2.993411,-0.096438,0.096438,false
110,772.6,1149.6,61.221541,169.611142,4.020785,0.162035,0.162035,false
111,995.6,1051.0,80.300497,44.492971,2.86898,0.148707,0.148707,false
112,741.6,1094.9,50.526671,33.690068,4.383098,0.100059,0.100059,false
113,904.5,1189.5,60.876925,14.264512,3.369928,0.0,0.0,false
114,895.1,1179.4,56.773993,9.130176,3.66532,-0.093228,0.093228,false
115,1032.5,1375.0,71.421285,44.432734,3.173327,0.0,0.0,false
116,1123.6,877.8,63.486226,58.570434,3.545091,0.144435,0.144435,false
117,862.0,1197.0,47.413078,62.354025,4.521785,0.0,0.0,false
118,1211.5,1165.5,82.61961,51.881724,2.623966,0.0,0.0,false
119,756.0,1064.5,52.392748,156.370622,4.521051,0.0,0.0,false
120,746.8,1226.5,68.019604,32.988522,3.245425,-0.074443,0.074443,false
121,981.7,558.3,73.45232,3.918249,3.316966,0.137716,0.137716,false
122,1264.3,336.0,82.028152,90.0,3.097396,0.039323,0.039323,false
