#FilamentSensor-0.2.2j
#cell_properties
%cell_identifier
-1
%center_x
473
%center_y
592
%area
330644.0
%aspect_ratio
1.866563
%long_half_axis
443.227515
%orientation
129.252245
%order_parameter
0.032668
%new_orientation
86.493438
%new_order_parameter
0.417999
%area_interior
330644
%mean_brightness_interior
189.288781
%area_boundary
0.0
%mean_brightness_boundary
0.0
%excursion_ratio
0.135372
%number_filaments
454
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
1,341.7,908.0,872.07023,90.0,3.68652,-2.82E-4,0.009225,false
2,673.0,1341.4,656.005201,0.0,3.742607,9.09E-4,9.09E-4,false
3,1156.5,710.0,726.02244,90.0,3.504933,0.003541,0.003541,false
4,704.5,348.4,729.011729,0.0,2.922524,9.22E-4,9.22E-4,false
5,1076.8,1154.3,401.796291,69.845789,4.19799,0.039276,0.108867,false
6,1066.4,1051.6,414.570373,77.441163,3.629627,0.02583,0.054361,false
7,981.6,1123.4,413.675149,94.462818,3.514733,0.020234,0.081307,false
8,1047.1,1093.2,387.662531,84.022226,3.838058,-0.048626,0.048626,false
9,1093.6,1055.9,329.154204,74.10251,4.081822,0.011191,0.046311,false
10,1082.7,1177.3,351.858504,70.170389,3.318877,-0.026556,0.104184,false
11,1001.3,1164.5,293.471018,97.907163,3.530505,0.08483,0.08483,false
12,1086.6,1185.7,270.11857,70.960546,3.754628,0.003464,0.088775,false
13,867.0,1146.9,250.549981,115.016893,3.751112,0.085513,0.085513,false
14,962.4,1181.0,195.250724,107.599251,4.066586,-0.020376,0.020376,false
15,1092.3,981.9,231.539112,74.940726,3.4716,0.074034,0.074034,false
16,1103.3,1226.1,250.693796,69.684804,3.098826,-3.24E-4,0.032909,false
17,521.1,803.5,269.830364,114.355069,3.401185,0.110538,0.110538,false
18,976.9,1184.3,189.197012,103.153708,3.508601,0.01875,0.068882,false
19,1088.0,1243.2,214.443532,69.788351,3.409702,9.62E-4,0.063581,false
20,1156.1,1235.4,193.306034,89.406283,3.688021,-0.017425,0.174188,false
21,925.4,1137.6,131.892772,94.365258,4.617273,0.102516,0.102516,false
22,944.6,1028.3,132.50268,84.332714,3.527742,0.126312,0.126312,false
23,1136.7,1156.7,146.373246,76.153792,3.38285,0.033648,0.074889,false
24,996.5,1102.3,150.523639,107.831858,3.331073,-0.030045,0.119276,false
25,870.3,1131.6,115.112648,113.657997,3.566562,0.145762,0.145762,false
26,962.6,1097.1,118.468445,103.212747,3.948594,0.08036,0.08036,false
27,919.6,1193.5,128.088895,90.0,3.812766,0.148705,0.148705,false
28,1069.5,1190.1,163.027016,64.536655,2.833619,-0.040373,0.055819,false
29,1010.3,1104.1,114.187465,111.614779,3.334452,0.056502,0.056502,false
30,946.1,1189.5,139.267758,108.043412,3.212491,0.066435,0.066435,false
31,1024.7,1160.6,107.069501,76.483432,3.610304,0.04953,0.04953,false
32,1140.3,1047.1,92.359011,85.648922,3.947344,0.009769,0.10888,false
33,1140.7,1284.1,96.681651,68.749494,3.900426,-0.042877,0.11526,false
