#FilamentSensor-0.2.2j
#cell_properties
%cell_identifier
-1
%center_x
379
%center_y
215
%area
69024.0
%aspect_ratio
2.316802
%long_half_axis
225.615838
%orientation
12.418916
%order_parameter
0.808493
%new_orientation
5.521907
%new_order_parameter
0.832503
%area_interior
69024
%mean_brightness_interior
144.955884
%area_boundary
0.0
%mean_brightness_boundary
0.0
%excursion_ratio
0.207594
%number_filaments
113
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
1,530.3,920.2,261.953372,6.877935,4.36734,-0.070833,0.139137,false
2,931.0,853.0,182.658657,178.734001,4.210285,0.108108,0.108108,false
3,718.1,724.2,220.935372,6.282492,3.569925,0.09274,0.157399,false
4,742.7,880.8,158.39405,15.446316,5.018137,0.06206,0.130563,false
5,557.8,879.3,219.274826,5.24182,3.671173,0.014074,0.064736,false
6,898.1,687.9,174.105209,8.972627,4.153943,0.09148,0.09148,false
7,736.6,898.7,155.59186,22.90577,4.210716,0.074244,0.18573,false
8,636.6,910.7,168.3602,2.057646,3.718555,-0.08862,0.098883,false
9,890.1,830.1,170.136039,3.724058,3.443706,0.071001,0.071001,false
10,931.5,840.6,141.353603,1.218875,3.345643,0.069378,0.069378,false
11,701.4,739.3,172.749703,10.00798,3.345113,0.026557,0.026557,false
12,458.3,911.4,202.334264,13.27327,2.744015,0.107039,0.150787,false
13,630.4,846.2,146.988746,9.398233,2.901574,0.011874,0.011874,false
14,554.4,907.1,111.356863,2.06382,3.918217,0.07362,0.07362,false
15,668.2,809.6,155.070192,10.437475,2.536836,0.089471,0.089471,false
16,685.0,717.9,92.171033,176.889159,3.870926,0.042511,0.042511,false
17,736.3,776.3,134.019802,1.722662,3.175422,0.112955,0.112955,false
18,744.0,816.0,128.558741,4.911788,2.709452,-1.53E-4,0.090488,false
19,874.1,824.5,122.221918,7.06673,3.106789,0.069087,0.069087,false
20,478.9,883.4,86.502598,20.323137,3.726028,-0.106483,0.106483,false
21,784.1,795.4,118.159691,1.456359,2.856889,0.033187,0.078975,false
22,744.3,859.4,111.827576,6.679886,3.780009,-0.041306,0.041306,false
23,768.5,782.4,101.413705,1.134422,3.741881,0.12271,0.12271,false
24,637.1,780.2,104.461764,175.054033,3.210316,-0.009901,0.138164,false
25,805.7,822.8,98.77122,5.826342,3.096307,0.0942,0.0942,false
26,554.5,828.7,85.393063,9.462322,3.593633,0.100646,0.100646,false
27,645.4,766.0,127.266403,179.097779,2.770139,0.056523,0.056523,false
28,742.5,806.0,115.624392,5.957131,2.895814,0.0,0.0,false
29,755.5,843.3,93.65559,6.74558,3.206891,-0.031022,0.031022,false
30,528.0,855.5,94.042476,14.184294,3.51053,0.080144,0.080144,false
31,652.5,802.3,119.644529,8.673174,2.894065,-0.068643,0.068643,false
32,675.7,944.8,68.669872,149.32272,4.347576,-0.075131,0.075131,false
33,597.3,784.1,102.687803,167.047235,3.158446,0.045141,0.045141,false
34,651.2,830.4,118.891356,6.766175,2.679005,0.033183,0.033183,false
35,996.7,687.4,63.158549,165.302681,4.064584,0.152992,0.152992,false
36,892.0,848.8,90.090449,0.0,3.017243,0.057513,0.057513,false
37,764.8,820.6,86.889972,7.943472,3.022784,-0.047822,0.047822,false
38,508.7,894.1,90.805469,6.968257,2.76118,-0.06901,0.06901,false
39,646.0,899.0,81.584312,11.309932,3.207389,0.0,0.0,false
40,677.5,928.4,73.171227,179.215175,4.188804,0.107962,0.107962,false
41,845.0,807.3,72.226805,176.027504,3.382659,0.071918,0.071918,false
42,476.3,891.9,98.275717,21.583969,2.858261,0.027309,0.192764,false
43,738.5,769.4,81.302643,2.121096,2.884995,-0.119013,0.119013,false
44,790.0,728.4,66.980861,27.718502,3.121081,0.17065,0.17065,false
45,1120.8,924.7,59.469229,147.380757,3.831273,0.116484,0.116484,false
46,650.0,772.0,84.380092,5.440332,2.634662,0.0,0.0,false
47,486.1,871.9,44.591775,9.039483,4.309563,0.137449,0.137449,false
48,842.8,861.9,46.833116,70.016893,5.645428,-0.081985,0.081985,false
49,645.1,752.1,76.199468,3.764035,2.664626,0.05594,0.05594,false
50,722.9,930.0,50.221408,63.946505,3.90388,0.180918,0.180918,false
51,1045.0,872.0,48.6621,170.537678,3.721646,0.0,0.0,false
52,731.0,912.7,65.238486,35.639809,3.379018,0.047137,0.047137,false
53,628.3,907.7,66.963178,166.171349,3.568163,-0.045238,0.045238,false
54,826.5,871.0,47.423623,155.056095,4.367192,0.0,0.0,false
55,696.0,709.4,58.215506,0.98776,2.958378,-0.171055,0.171055,false
56,797.6,762.6,53.818083,99.637538,4.080092,-0.104512,0.104512,false
57,649.3,836.2,73.887482,8.569142,2.760048,-0.065351,0.065351,false
58,412.7,920.5,61.10785,25.301379,2.879224,0.177186,0.177186,false
59,799.3,768.4,68.562872,146.309932,3.091431,0.115161,0.115161,false
60,682.6,873.7,46.990282,33.690068,4.327833,0.173017,0.173017,false
61,807.0,787.3,56.083261,1.02303,2.951657,-0.121461,0.121461,false
62,757.5,750.0,47.169906,4.864514,3.440154,0.0,0.0,false
63,549.1,836.0,44.11077,2.602562,3.401644,-0.143733,0.143733,false
64,543.9,821.7,42.525353,171.869898,3.535878,0.235341,0.235341,false
65,832.0,853.5,44.102154,3.900494,3.452589,0.0,0.0,false
66,1086.6,896.1,50.72775,127.775684,3.450739,0.161327,0.161327,false
67,784.5,833.0,68.066144,10.154267,2.390009,0.0,0.0,false
68,773.5,752.2,65.530992,34.418364,2.765525,0.094569,0.094569,false
69,841.4,798.4,48.484937,166.827447,3.538597,0.317135,0.317135,false
70,394.0,947.5,47.507894,40.732107,3.704236,0.0,0.0,false
71,887.0,815.7,44.154759,176.099506,3.582959,0.13376,0.13376,false
72,636.5,760.5,63.007936,0.90938,2.583402,0.0,0.0,false
73,680.5,883.5,37.336309,7.696052,4.208596,0.0,0.0,false
74,641.0,856.0,50.159745,175.426079,2.628959,0.0,0.0,false
75,694.5,756.0,43.185646,5.314546,3.047832,0.0,0.0,false
76,1144.0,937.0,34.0,28.072487,4.862453,0.0,0.0,false
77,660.5,731.6,53.171356,2.161079,2.905721,0.154221,0.154221,false
78,837.0,874.0,37.363083,15.524111,3.937431,0.0,0.0,false
79,661.1,816.2,40.152738,4.289153,2.830646,0.132096,0.132096,false
80,498.0,925.5,36.619667,34.99202,3.892267,0.0,0.0,false
81,785.0,850.5,44.28318,6.483074,2.75998,0.0,0.0,false
82,597.5,835.0,43.324358,18.853159,2.569807,0.0,0.0,false
83,568.0,852.0,59.228372,11.689369,1.811836,0.0,0.0,false
84,593.5,901.5,43.011626,1.33222,2.819251,0.0,0.0,false
85,886.0,812.5,34.539832,157.890552,3.739452,0.0,0.0,false
86,626.2,865.6,31.105032,14.931417,3.975454,0.249213,0.249213,false
87,946.5,683.5,36.138622,165.579227,3.304069,0.0,0.0,false
88,577.0,893.0,42.755117,10.784298,2.837679,0.0,0.0,false
89,820.5,779.6,31.33105,172.647621,3.779854,0.302011,0.302011,false
90,700.6,938.9,43.321045,130.3141,2.803163,0.140173,0.140173,false
91,652.0,793.5,32.388269,8.880659,2.957899,0.0,0.0,false
92,1004.6,845.2,31.515301,9.162347,3.18381,0.373415,0.373415,false
93,737.5,711.0,31.575307,10.954063,3.009728,0.0,0.0,false
94,690.0,886.1,48.33691,39.957549,2.903803,0.141564,0.141564,false
