#Dynamic Filament(grouped by DynamicFilament) CSV version: 1
#dynamicFilament-number 0
%birth,death,length
87,92,6.0
#time 87
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
70,764.0,866.5,34.885527,117.299572,3.060563,0.0,0.0,false

#time 88
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
42,761.4,851.2,39.482594,113.962489,3.226367,-0.248817,0.248817,false

#time 89
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
206,765.0,830.0,31.048349,104.931417,2.92889,0.0,0.0,false

#time 90
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
293,752.5,841.0,31.32092,106.699244,3.663813,0.0,0.0,false

#time 91
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
112,762.6,850.2,30.872991,103.134022,2.082162,-0.247575,0.247575,false

#time 92
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified

#dynamicFilament-number 1
%birth,death,length
143,147,5.0
#time 144
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
174,1224.5,525.5,39.115214,32.471192,2.048604,0.0,0.0,false

#time 145
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
228,1217.0,527.5,37.215588,30.699723,2.020287,0.0,0.0,false

#time 146
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
285,1227.0,531.5,32.695565,23.428693,1.959931,0.0,0.0,false

#time 147
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified

#time 143
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
568,1228.5,516.0,39.204592,37.746805,1.959273,0.0,0.0,false

#dynamicFilament-number 2
%birth,death,length
148,152,5.0
#time 148
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
213,677.5,719.0,37.054015,3.094058,1.810119,0.0,0.0,false

#time 149
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
15,689.0,728.5,36.124784,4.763642,3.43015,0.0,0.0,false

#time 150
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
433,702.3,712.0,34.253924,15.255119,1.712412,0.206117,0.206117,false

#time 151
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
289,708.0,699.5,40.607881,9.926246,2.852835,0.0,0.0,false

#time 152
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified

#dynamicFilament-number 3
%birth,death,length
201,205,5.0
#time 201
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
65,517.5,686.5,41.303753,83.047043,1.942552,0.0,0.0,false

#time 202
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
48,509.0,662.0,36.496575,80.537678,2.994089,0.0,0.0,false

#time 203
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
114,510.0,669.0,53.366656,77.005383,2.028232,0.0,0.0,false

#time 204
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
165,522.0,685.5,32.015621,75.529706,2.195662,0.0,0.0,false

#time 205
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified

#dynamicFilament-number 4
%birth,death,length
235,239,5.0
#time 235
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
126,533.0,580.0,59.39697,45.0,3.225336,0.0,0.0,false

#time 236
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
83,534.9,602.9,53.81659,48.012788,1.765237,-0.019991,0.019991,false

#time 237
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
279,555.0,590.5,44.82187,51.340192,1.624038,0.0,0.0,false

#time 238
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
284,554.0,601.0,39.698485,47.045408,1.789756,0.204796,0.204796,false

#time 239
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified

#dynamicFilament-number 5
%birth,death,length
237,241,5.0
#time 240
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
105,1001.0,671.0,40.0,53.130102,1.810531,0.0,0.0,false

#time 241
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified

#time 237
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
238,998.0,657.0,31.622777,71.565051,3.197625,0.0,0.0,false

#time 238
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
172,988.1,675.7,44.429608,67.479434,1.891464,0.128531,0.128531,false

#time 239
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
60,996.9,670.2,49.67316,62.402704,3.831587,0.079815,0.079815,false

#dynamicFilament-number 6
%birth,death,length
257,261,5.0
#time 257
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
707,542.5,404.5,41.112698,136.974934,1.757752,0.197752,0.197752,false

#time 258
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
566,519.0,408.5,41.868843,139.844,1.75261,0.0,0.0,false

#time 259
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
348,525.4,396.0,36.165758,146.309932,1.808921,-0.251746,0.251746,false

#time 260
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
296,527.5,403.5,36.359318,148.495733,1.712213,0.0,0.0,false

#time 261
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified

#dynamicFilament-number 7
%birth,death,length
8,11,4.0
#time 8
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
68,748.5,726.0,35.057096,3.270488,3.059258,0.0,0.0,false

#time 9
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
47,764.0,720.4,36.088304,3.17983,3.77256,0.170559,0.170559,false

#time 10
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
110,755.0,730.5,30.33105,172.405357,4.621533,0.311968,0.311968,false

#time 11
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified

#dynamicFilament-number 8
%birth,death,length
23,26,4.0
#time 23
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
20,759.3,864.6,56.824831,162.525226,3.45812,0.192413,0.192413,false

#time 24
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
63,750.4,870.1,58.485509,167.152295,3.008308,0.055603,0.055603,false

#time 25
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
52,752.5,869.5,84.202138,164.148072,3.009685,0.0,0.0,false

#time 26
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified

#dynamicFilament-number 9
%birth,death,length
23,26,4.0
#time 23
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
27,794.5,885.5,54.129474,168.274888,3.449887,0.0,0.0,false

#time 24
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
46,790.1,885.1,60.697695,171.469234,3.722054,-0.077656,0.077656,false

#time 25
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
85,777.0,877.5,54.083269,176.82017,3.474296,0.0,0.0,false

#time 26
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified

#dynamicFilament-number 10
%birth,death,length
28,31,4.0
#time 28
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
99,805.5,826.5,58.051701,10.922805,3.327103,0.0,0.0,false

#time 29
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
123,807.5,822.5,45.099889,3.814075,1.989788,0.0,0.0,false

#time 30
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
91,791.0,821.5,34.365681,8.365886,3.717023,0.0,0.0,false

#time 31
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified

#dynamicFilament-number 11
%birth,death,length
38,41,4.0
#time 38
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
58,857.7,829.2,54.065609,79.315088,2.671659,0.15689,0.15689,false

#time 39
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
178,873.0,813.0,34.525353,79.99202,2.577388,0.0,0.0,false

#time 40
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
