#Dynamic Filament(grouped by time) CSV version: 1
#time 256
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
230,865.0,800.0,32.249031,82.874984,1.827295,0.0,0.0,false,126
236,837.0,764.5,35.902646,102.875002,1.712633,0.0,0.0,false,127
27,862.7,530.6,33.277865,96.911227,3.213873,0.24431,0.24431,false,128
#time 257
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
707,542.5,404.5,41.112698,136.974934,1.757752,0.197752,0.197752,false,6
580,828.0,747.0,33.526109,107.354025,1.909676,0.0,0.0,false,127
332,861.5,526.5,31.016125,91.84761,2.875664,0.0,0.0,false,128
230,1091.0,470.5,31.064449,93.691386,4.539976,0.0,0.0,false,129
321,388.4,435.4,44.174563,166.908107,1.907855,-0.106919,0.106919,false,130
499,432.5,492.5,31.400637,170.837653,2.006606,0.0,0.0,false,131
500,386.0,399.0,39.395431,156.037511,1.965264,0.0,0.0,false,132
577,375.5,552.0,32.140317,95.355825,2.034172,0.0,0.0,false,133
713,447.0,532.5,40.360872,138.012788,1.772441,0.0,0.0,false,134
722,464.0,506.0,32.249031,172.874984,1.754421,0.0,0.0,false,135
799,981.0,430.0,44.407207,97.765166,1.903235,0.0,0.0,false,136
#time 258
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
566,519.0,408.5,41.868843,139.844,1.75261,0.0,0.0,false,6
179,874.5,528.0,36.124784,94.763642,3.199278,0.0,0.0,false,128
322,1096.5,491.5,37.013511,88.451842,1.944692,0.0,0.0,false,129
204,389.4,432.4,32.047861,165.529706,3.305925,-0.175696,0.175696,false,130
153,405.5,474.5,31.780497,167.275644,4.489677,0.0,0.0,false,131
175,386.5,402.0,39.661064,146.309932,3.33979,0.0,0.0,false,132
520,385.0,560.5,31.256999,97.352379,2.208324,0.0,0.0,false,133
192,430.0,524.5,38.013156,125.362462,3.255726,0.0,0.0,false,134
251,449.5,515.5,43.011626,1.33222,2.159414,0.0,0.0,false,135
623,988.5,413.0,33.24154,105.708638,1.82842,0.0,0.0,false,136
238,620.0,452.5,34.885527,62.700428,2.92035,0.0,0.0,false,137
462,983.0,480.5,30.016662,178.090848,2.077287,0.0,0.0,false,138
#time 259
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
348,525.4,396.0,36.165758,146.309932,1.808921,-0.251746,0.251746,false,6
315,1098.2,515.0,38.058397,90.0,1.968312,-0.175765,0.175765,false,129
218,373.5,426.0,43.737855,169.460816,1.853767,0.0,0.0,false,130
361,414.0,477.0,36.878178,167.471192,1.961059,0.0,0.0,false,131
414,392.0,400.0,34.0,151.927513,1.730344,0.0,0.0,false,132
231,395.5,576.0,32.140317,95.355825,2.817932,0.0,0.0,false,133
171,437.1,531.1,42.355315,126.326826,3.343315,0.230346,0.230346,false,134
237,450.0,515.5,30.016662,1.909152,3.295055,0.0,0.0,false,135
306,981.5,405.5,33.376639,98.615648,1.97129,0.0,0.0,false,136
155,613.5,439.0,37.64306,73.009177,3.332086,0.0,0.0,false,137
204,970.0,473.5,30.016662,178.090848,3.18994,0.0,0.0,false,138
#time 260
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
296,527.5,403.5,36.359318,148.495733,1.712213,0.0,0.0,false,6
246,589.0,459.5,32.572995,72.121303,1.882322,0.0,0.0,false,137
147,965.5,490.5,35.014283,178.363423,2.034351,0.0,0.0,false,138
90,904.0,317.0,38.052595,176.987212,2.103996,0.0,0.0,false,139
181,611.5,307.0,31.575307,10.954063,2.025891,0.0,0.0,false,140
332,534.0,362.0,34.985711,59.036243,1.679636,0.0,0.0,false,141
#time 261
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
171,916.1,314.6,44.166155,176.099506,3.843229,0.143553,0.143553,false,139
377,629.0,301.0,37.947332,18.434949,2.015275,0.0,0.0,false,140
571,528.5,333.0,37.215588,59.300277,1.911051,0.0,0.0,false,141
541,1077.0,403.5,39.357337,117.216112,1.846583,0.0,0.0,false,142
#time 262
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
875,904.5,319.0,43.737855,169.460816,1.713198,0.0,0.0,false,139
1146,636.7,317.5,33.825219,11.976132,2.187467,0.253419,0.253419,false,140
367,543.0,334.5,44.777226,66.297354,2.880728,0.0,0.0,false,141
1287,1066.0,408.5,35.846897,120.141386,1.771226,0.0,0.0,false,142
#time 263
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
489,1074.0,426.0,32.310989,111.801409,1.885185,0.0,0.0,false,142
#time 8
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
68,748.5,726.0,35.057096,3.270488,3.059258,0.0,0.0,false,7
#time 264
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
#time 9
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
47,764.0,720.4,36.088304,3.17983,3.77256,0.170559,0.170559,false,7
#time 10
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
110,755.0,730.5,30.33105,172.405357,4.621533,0.311968,0.311968,false,7
#time 11
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
#time 271
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
193,1192.6,498.1,37.287661,6.170175,3.134156,0.191634,0.191634,false,143
205,1139.5,438.1,37.413813,172.303948,3.15852,0.25291,0.25291,false,144
#time 272
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
151,1206.0,492.0,43.174066,13.392498,1.877865,0.0,0.0,false,143
172,1142.0,448.5,35.171011,165.17352,2.009986,0.0,0.0,false,144
#time 273
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
530,1197.5,507.0,33.955854,13.626995,1.940697,0.0,0.0,false,143
437,1122.0,454.0,39.849718,162.474432,1.658648,0.0,0.0,false,144
#time 274
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
#time 277
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
87,1082.0,594.0,50.159745,94.573921,1.979576,0.0,0.0,false,145
#time 278
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
227,1068.0,582.5,35.057096,93.270488,2.030706,0.0,0.0,false,145
#time 23
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
20,759.3,864.6,56.824831,162.525226,3.45812,0.192413,0.192413,false,8
27,794.5,885.5,54.129474,168.274888,3.449887,0.0,0.0,false,9
#time 279
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
91,1066.0,595.5,35.22783,96.519802,2.95776,0.0,0.0,false,145
#time 24
%filaments
