#FilamentSensor-0.2.2j
#cell_properties
%cell_identifier
-1
%center_x
387
%center_y
343
%area
24394.0
%aspect_ratio
1.842134
%long_half_axis
119.598899
%orientation
17.008382
%order_parameter
0.146456
%new_orientation
7.325242
%new_order_parameter
0.15524
%area_interior
24394
%mean_brightness_interior
191.26568
%area_boundary
0.0
%mean_brightness_boundary
0.0
%excursion_ratio
0.026604
%number_filaments
33
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
1,749.5,1141.5,841.000595,0.068128,3.029544,0.0,0.0,false
2,750.0,548.5,840.000595,0.068209,3.033518,0.0,0.0,false
3,1168.0,844.0,586.0,90.0,3.110256,0.0,0.0,false
4,331.0,845.5,587.0,90.0,3.070307,0.0,0.0,false
5,712.2,867.3,143.738757,22.097892,1.786735,0.042473,0.143535,false
6,712.0,914.5,45.177428,95.079608,5.676052,0.0,0.0,false
7,704.2,939.8,61.176224,158.895161,3.841666,-0.114292,0.114292,false
8,712.5,908.0,47.88528,61.294047,3.949771,0.0,0.0,false
9,755.5,925.0,55.758407,32.550003,3.027422,0.0,0.0,false
10,781.2,849.3,76.033533,152.417971,1.923763,0.206813,0.206813,false
11,802.0,865.5,47.67599,99.659893,3.037885,0.0,0.0,false
12,947.9,771.3,34.152271,166.373005,4.132707,0.360591,0.360591,false
13,926.0,773.5,43.965896,17.198541,2.930854,0.0,0.0,false
14,659.7,948.4,40.616006,20.224859,3.077666,0.30847,0.30847,false
15,762.4,912.8,43.165632,111.801409,3.132024,0.300343,0.300343,false
16,703.5,947.5,55.226805,5.194429,1.93988,0.0,0.0,false
17,734.0,888.0,34.234486,173.290163,3.117426,0.0,0.0,false
18,763.0,827.4,34.083189,176.633539,3.459062,0.139765,0.139765,false
19,673.0,908.0,30.066593,86.185925,3.779474,0.0,0.0,false
20,1043.5,834.0,35.902646,167.124998,2.918668,0.0,0.0,false
21,648.0,899.5,42.059482,61.606981,2.93546,0.0,0.0,false
22,728.5,935.4,37.079494,3.094058,2.774848,0.138893,0.138893,false
23,778.0,830.0,30.066593,86.185925,3.002059,0.0,0.0,false
24,644.5,933.5,48.600412,126.634114,2.951037,0.0,0.0,false
25,658.0,888.0,44.045431,39.47246,2.973528,0.0,0.0,false
26,790.5,897.0,48.836462,47.489553,2.821068,0.0,0.0,false
27,695.0,939.5,32.695565,23.428693,3.146745,0.0,0.0,false
28,648.0,940.0,36.055513,146.309932,3.123635,0.0,0.0,false
29,767.5,921.0,31.953091,69.863697,2.825068,0.0,0.0,false
30,1118.6,814.0,35.616757,68.498566,2.088837,0.30773,0.30773,false
31,518.9,854.5,51.252377,91.123303,1.517544,0.217665,0.217665,false
32,510.3,796.9,49.498621,104.036243,1.325132,0.101871,0.101871,false
33,801.1,841.2,34.204273,20.556045,1.589897,0.202057,0.202057,false
