#FilamentSensor-0.2.2j
#cell_properties
%cell_identifier
-1
%center_x
0
%center_y
0
%area
0.0
%aspect_ratio
0.0
%long_half_axis
0.0
%orientation
0.0
%order_parameter
0.0
%new_orientation
0.0
%new_order_parameter
0.0
%area_interior
-1
%mean_brightness_interior
-1.0E-6
%area_boundary
0.0
%mean_brightness_boundary
-1.0E-6
%excursion_ratio
0.0
%number_filaments
35
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
1,1234.5,845.0,1046.000478,89.945224,3.190692,0.0,0.0,false
2,263.5,845.0,1046.000478,89.945224,3.164862,0.0,0.0,false
3,748.0,1367.0,964.0,0.0,3.165732,0.0,0.0,false
4,749.5,323.0,965.0,0.0,3.137759,0.0,0.0,false
5,666.8,1138.5,239.631068,90.481466,3.847266,-0.059829,0.102621,false
6,640.4,977.1,231.665587,133.75849,3.307212,0.136294,0.136294,false
7,856.2,1126.4,212.307363,145.784298,3.603878,0.050954,0.050954,false
8,465.4,683.2,150.073973,113.805944,2.866543,0.137831,0.137831,false
9,1049.0,1238.3,81.312068,142.001268,3.655962,-0.069748,0.069748,false
10,495.3,791.2,80.433621,112.0679,2.571562,0.171834,0.171834,false
11,337.9,480.8,94.443479,130.272012,2.678873,-0.049082,0.049082,false
12,422.1,637.8,75.025957,110.376435,3.256583,0.149132,0.149132,false
13,321.7,457.9,59.612864,158.198591,3.328774,0.216037,0.216037,false
14,941.1,1189.0,40.434287,156.614779,4.64224,0.234017,0.234017,false
15,1048.5,1235.0,52.201533,159.829347,3.060943,0.0,0.0,false
16,992.0,1191.5,35.057096,93.270488,4.295347,0.0,0.0,false
17,988.5,1203.0,47.423623,155.056095,2.917962,0.0,0.0,false
18,1147.6,1279.2,54.519614,122.228757,3.203455,0.1614,0.1614,false
19,967.0,396.5,30.016662,1.909152,4.759933,0.0,0.0,false
20,461.1,739.2,38.980554,115.906508,2.995083,0.206331,0.206331,false
21,982.5,1187.0,38.013156,35.362462,3.400371,0.0,0.0,false
22,515.5,787.5,53.209373,121.890792,2.368668,0.198975,0.198975,false
23,667.1,1283.1,32.892651,77.660913,3.026878,0.441875,0.441875,false
24,1021.0,1211.0,33.105891,115.016893,3.004203,0.0,0.0,false
25,436.0,715.5,31.953091,159.863697,2.715591,0.0,0.0,false
26,435.8,689.5,31.070345,90.0,2.040382,0.259309,0.259309,false
27,520.5,887.1,54.550752,126.027373,1.432409,0.153236,0.153236,false
28,382.9,547.8,49.683205,117.597296,1.253213,0.1095,0.1095,false
29,1199.0,650.5,30.805844,166.865978,1.882075,0.0,0.0,false
30,678.5,1263.2,34.929079,117.299572,1.646957,0.184529,0.184529,false
31,569.5,862.4,41.372991,96.952957,1.557962,0.161602,0.161602,false
32,1083.5,416.0,37.589892,28.61046,1.793516,0.0,0.0,false
33,298.0,450.0,38.832976,145.491477,1.704408,0.0,0.0,false
34,934.0,1174.0,42.801869,142.594643,1.616747,0.0,0.0,false
35,983.0,1005.5,32.015621,178.210089,0.7,0.0,0.0,false
