#FilamentSensor-0.2.2j
#cell_properties
%cell_identifier
-1
%center_x
286
%center_y
442
%area
86943.0
%aspect_ratio
1.76409
%long_half_axis
220.954445
%orientation
140.110598
%order_parameter
-0.125164
%new_orientation
86.899335
%new_order_parameter
0.442715
%area_interior
86943
%mean_brightness_interior
213.049929
%area_boundary
0.0
%mean_brightness_boundary
0.0
%excursion_ratio
0.116789
%number_filaments
82
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
1,958.0,686.1,227.158491,96.59161,3.465467,-0.041744,0.108566,false
2,760.7,560.5,155.156042,67.579573,4.041847,0.056612,0.084823,false
3,857.6,569.8,142.153782,11.14899,3.695881,0.197657,0.197657,false
4,512.8,384.4,99.418891,111.908705,3.742758,-0.061583,0.152052,false
5,779.6,1037.1,103.105042,91.123303,4.082787,0.192226,0.192226,false
6,679.1,466.1,80.245354,86.423666,4.124238,0.068097,0.068097,false
7,680.4,619.0,76.127746,90.0,4.851933,0.096095,0.096095,false
8,859.3,640.2,111.033047,53.440365,3.402166,0.042903,0.104958,false
9,835.0,1220.0,88.408144,52.352379,3.0586,0.0,0.0,false
10,586.4,723.6,75.207804,90.763898,3.557473,0.116027,0.116027,false
11,941.0,1030.0,59.363029,68.198591,3.784563,-0.145662,0.145662,false
12,658.9,728.2,64.45956,87.316225,3.889614,0.210321,0.210321,false
13,962.0,841.5,94.155122,75.22545,2.777093,-0.008137,0.074598,false
14,566.5,730.7,73.755322,82.199812,3.133225,0.069596,0.069596,false
15,526.7,442.5,55.795382,111.037511,3.72657,0.11144,0.11144,false
16,527.2,460.1,54.501651,82.613957,4.032106,-0.100069,0.100069,false
17,854.0,721.0,85.008333,111.425294,2.629718,0.086045,0.086045,false
18,575.7,493.7,43.277015,68.198591,4.453433,0.253478,0.253478,false
19,543.4,747.0,36.088304,93.17983,4.541874,0.170559,0.170559,false
20,1001.0,679.5,40.261644,75.618605,4.612619,0.0,0.0,false
21,587.5,753.5,61.400326,120.323607,3.592355,0.0,0.0,false
22,555.0,448.3,51.901119,146.003541,3.52339,0.082231,0.082231,false
23,921.6,569.0,57.359587,42.878904,3.088961,-0.09468,0.09468,false
24,498.5,395.5,51.088159,130.236358,3.163884,0.0,0.0,false
25,572.3,676.3,48.314162,103.172553,3.996365,0.105137,0.105137,false
26,992.5,622.5,41.10961,108.434949,3.839253,0.0,0.0,false
27,900.5,802.0,37.802116,127.47618,5.188249,0.0,0.0,false
28,945.9,811.3,44.727109,49.537773,3.877733,0.13629,0.13629,false
29,788.3,1308.8,54.363083,70.559965,2.939573,0.230825,0.230825,false
30,578.0,776.5,52.35456,151.476881,2.997445,0.0,0.0,false
31,528.0,575.5,63.600314,73.55962,2.667433,0.0,0.0,false
32,785.0,511.0,34.058773,86.633539,4.200296,0.0,0.0,false
33,826.7,995.0,49.579179,14.036243,2.943988,0.161765,0.161765,false
34,692.5,662.5,31.400637,99.162347,4.226574,0.0,0.0,false
35,676.0,555.5,45.793013,121.607502,2.971739,0.0,0.0,false
36,649.3,762.1,43.978941,59.931417,3.042232,0.284882,0.284882,false
37,723.7,1238.7,68.548989,101.802434,1.732047,-0.096352,0.096352,false
38,733.9,707.3,43.241293,103.392498,3.036299,0.147877,0.147877,false
39,877.8,969.2,55.970867,42.825256,2.49145,-0.105522,0.105522,false
40,656.5,839.5,37.44329,55.885527,3.91667,0.0,0.0,false
41,685.1,573.8,34.603193,100.00798,3.226086,0.222409,0.222409,false
42,656.5,584.5,41.10961,18.434949,3.109343,0.0,0.0,false
43,721.4,1315.1,39.400549,75.256437,2.638944,0.4047,0.4047,false
44,571.1,708.2,49.835738,67.557247,2.812599,0.145744,0.145744,false
45,575.5,803.0,38.118237,85.486012,2.874197,0.0,0.0,false
46,520.0,628.5,37.215588,96.170175,2.663536,0.0,0.0,false
