#FilamentSensor-0.2.2j
#cell_properties
%cell_identifier
-1
%center_x
424
%center_y
262
%area
72168.0
%aspect_ratio
2.347072
%long_half_axis
232.199138
%orientation
31.413655
%order_parameter
0.515874
%new_orientation
13.929572
%new_order_parameter
0.629521
%area_interior
72168
%mean_brightness_interior
155.361032
%area_boundary
0.0
%mean_brightness_boundary
0.0
%excursion_ratio
0.212033
%number_filaments
94
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
1,759.8,821.8,304.422066,19.472139,3.637103,0.150228,0.150228,false
2,519.6,906.4,259.993231,18.715122,3.61702,-0.047343,0.047343,false
3,569.8,868.0,222.915633,29.357754,3.343962,0.111317,0.179634,false
4,727.8,732.0,145.532403,163.565837,4.076439,0.08694,0.08694,false
5,916.2,699.1,159.486917,14.908258,3.550507,-0.09073,0.114127,false
6,724.1,811.9,161.067355,20.013567,3.007251,0.069524,0.069524,false
7,819.9,607.1,162.396935,32.887377,3.636351,0.232479,0.232479,false
8,781.0,799.0,202.116406,17.887554,2.770563,0.16386,0.16386,false
9,794.7,689.3,169.40195,63.283373,3.097483,-0.030624,0.131239,false
10,959.1,788.8,113.291338,164.611532,3.555916,0.013665,0.139447,false
11,706.5,776.2,119.209742,1.444126,3.5415,0.061633,0.061633,false
12,938.7,670.5,97.051601,4.170437,3.748815,0.19371,0.19371,false
13,795.0,748.7,125.532662,44.676298,3.338941,-0.059199,0.110428,false
14,855.5,723.0,121.987476,10.939091,2.818141,-0.155511,0.155511,false
15,611.3,856.5,170.433489,23.996777,2.504025,0.063992,0.063992,false
16,686.9,757.4,126.414488,6.390495,3.617709,0.102157,0.102157,false
17,700.7,721.4,121.971164,173.867778,3.282897,0.04294,0.118428,false
18,768.0,680.0,103.027991,164.207596,3.770011,-0.060799,0.060799,false
19,731.7,717.6,113.69249,178.986021,3.242736,-0.110801,0.110801,false
20,627.2,708.3,110.927014,4.677418,3.087248,0.151603,0.151603,false
21,773.5,660.5,129.689855,20.815066,2.892873,0.057887,0.057887,false
22,643.4,854.1,117.085684,22.619865,2.83927,-0.040368,0.040368,false
23,701.8,804.1,104.747304,17.912509,2.650747,-0.144905,0.144905,false
24,878.7,736.2,71.67233,7.224316,4.167252,0.086991,0.086991,false
25,776.0,758.0,96.829747,51.709837,3.742917,0.0,0.0,false
26,746.5,706.2,63.134714,178.181697,4.368296,0.141765,0.141765,false
27,618.4,927.7,66.585758,68.83874,3.467558,-0.146605,0.146605,false
28,859.0,789.7,112.362214,179.488444,2.791519,0.081522,0.081522,false
29,880.1,619.7,78.470234,69.015102,3.580365,-0.124406,0.124406,false
30,777.3,735.6,99.068884,49.524768,3.329938,0.124308,0.124308,false
31,806.9,706.4,79.185277,55.304846,2.913123,0.086334,0.086334,false
32,965.5,639.5,61.152565,0.0,3.677225,-0.142845,0.142845,false
33,952.4,755.2,56.713337,163.495639,4.479435,0.422519,0.422519,false
34,729.6,666.6,77.659819,7.399595,3.156889,0.02746,0.02746,false
35,669.5,774.7,65.146275,65.409883,4.076112,0.164904,0.164904,false
36,884.3,740.3,75.514793,165.411081,2.943167,0.093664,0.093664,false
37,839.5,619.5,52.325902,63.924644,3.805393,0.0,0.0,false
38,713.0,695.0,72.443081,6.340192,2.996087,0.0,0.0,false
39,591.0,927.5,49.244289,113.962489,3.725055,0.0,0.0,false
40,900.7,592.0,56.224535,88.97697,3.807765,0.186293,0.186293,false
41,877.8,550.8,48.911075,79.380345,3.91145,-0.157973,0.157973,false
42,804.0,771.5,52.773099,9.819301,3.407472,0.0,0.0,false
43,716.8,687.0,64.081018,9.904183,2.973915,0.116975,0.116975,false
44,762.8,650.9,59.924868,14.500167,3.200543,0.04529,0.04529,false
45,843.9,777.8,70.373108,10.669783,2.817697,0.109572,0.109572,false
46,733.4,783.1,71.748893,8.017093,2.852427,-0.062615,0.062615,false
47,714.4,742.0,53.523137,7.52382,3.483101,0.143789,0.143789,false
48,826.4,753.2,61.224928,0.939191,3.105868,0.158541,0.158541,false
49,627.5,767.0,41.436699,160.253163,3.898439,0.0,0.0,false
50,884.1,683.4,51.203048,23.051301,3.819371,0.158286,0.158286,false
51,975.0,799.8,51.201406,156.948699,3.243908,0.165366,0.165366,false
52,825.7,618.5,66.665969,35.837653,2.780263,-0.070162,0.070162,false
53,932.5,795.5,47.501824,166.551385,3.124328,0.224618,0.224618,false
54,912.4,763.6,49.580473,136.636577,3.226936,-0.123875,0.123875,false
55,842.0,677.5,44.102154,176.099506,3.418182,0.0,0.0,false
56,841.5,756.5,39.623226,10.175511,3.808214,0.0,0.0,false
57,943.5,725.0,42.579338,80.537678,3.830499,0.0,0.0,false
58,886.5,584.5,55.946403,65.725559,2.607139,0.0,0.0,false
59,994.0,756.0,32.557641,10.619655,3.971695,0.0,0.0,false
60,882.2,592.3,66.612867,42.563352,2.92945,0.095912,0.095912,false
61,924.2,651.7,45.587708,146.659293,3.205784,-0.168038,0.168038,false
62,621.4,888.3,75.71917,29.275254,2.727061,0.06543,0.06543,false
63,813.5,665.0,33.060551,3.468229,4.388109,0.0,0.0,false
64,810.4,676.3,50.041228,57.264774,3.554061,0.157003,0.157003,false
65,851.0,610.2,36.062419,0.0,4.422844,0.198256,0.198256,false
66,586.1,896.1,36.434869,159.075498,4.024743,0.170742,0.170742,false
67,876.0,552.5,38.327536,105.124007,3.914925,0.0,0.0,false
68,920.5,628.0,34.885527,152.700428,3.77244,0.0,0.0,false
69,924.8,740.6,65.263657,144.360191,3.009621,0.103034,0.103034,false
70,686.2,754.4,47.400257,32.005383,3.570717,0.238605,0.238605,false
71,911.1,641.7,38.427878,172.504142,3.547797,0.254565,0.254565,false
72,962.5,653.5,33.734256,11.976132,3.825901,0.0,0.0,false
73,881.1,670.3,32.33105,172.874984,3.520053,0.29267,0.29267,false
74,684.5,750.0,39.051248,50.194429,3.725254,0.0,0.0,false
75,848.9,755.1,36.780497,168.996459,3.101804,0.345954,0.345954,false
76,944.0,733.0,31.622777,108.434949,3.46426,0.0,0.0,false
77,812.0,782.0,34.928498,23.629378,2.732494,0.0,0.0,false
78,549.0,772.0,30.066593,176.185925,3.111953,0.0,0.0,false
79,858.0,764.0,32.062439,3.576334,2.996495,0.0,0.0,false
80,764.5,824.0,35.1141,19.983107,2.589774,0.0,0.0,false
81,743.0,808.5,32.015621,1.789911,3.031558,0.0,0.0,false
82,759.8,694.5,42.118513,167.619243,2.624871,0.24979,0.24979,false
83,928.0,688.5,39.051248,13.324531,2.434388,0.0,0.0,false
84,827.5,702.5,44.654227,34.045937,2.77989,0.0,0.0,false
85,889.5,663.0,32.015621,165.529706,2.657552,0.0,0.0,false
86,720.5,759.5,51.244512,162.979474,1.864786,0.0,0.0,false
87,713.0,821.5,40.162171,18.886087,2.329398,0.0,0.0,false
88,683.1,802.1,32.302661,178.210089,2.830684,0.940453,0.940453,false
89,843.5,659.5,33.376639,171.384352,2.7234,0.0,0.0,false
90,701.0,702.5,32.015621,1.789911,2.213531,0.0,0.0,false
91,798.5,804.0,59.20304,15.679524,1.579406,0.0,0.0,false
92,754.5,712.0,31.575307,169.045937,2.60942,0.0,0.0,false
