,x,y,z,average3,average4,average5,complete3,complete4,complete5,single3,single4,single5,ward3,ward4,ward5
106,-265.29381778392434,178.01670755237492,161.437268887845,0,3,1,1,1,0,0,1,1,0,3,1
112,-233.77142854458268,162.7607084471303,-16.134042099179858,0,3,1,0,3,3,0,1,1,0,3,1
72,-228.38665316404663,-25.440986834040693,-144.11082285354232,0,3,1,0,3,3,0,1,1,0,3,1
66,-79.59168037422491,167.0569917214071,34.53713886314346,0,3,1,0,0,1,0,1,1,0,2,2
99,6.084512179586375,-92.70658033200463,-123.54804125349479,0,0,3,0,0,1,0,1,1,0,2,2
98,-7.183993291898464,-133.88628628750106,-46.59796844979743,0,0,3,0,0,1,0,1,1,0,2,2
67,16.19551848127159,24.786894715989714,21.987151447874137,0,0,3,0,0,1,0,1,1,0,2,2
73,-106.51406213261436,40.70981279649769,219.36125545400137,0,3,1,0,3,3,0,1,1,0,3,1
113,-201.18331612067334,98.32668096627607,65.11588411379608,0,3,1,0,3,3,0,1,1,0,3,1
107,12.59145337591797,82.30629946617263,-39.38009480340257,0,0,3,0,0,1,0,1,1,0,2,2
111,256.09184317622874,-44.02833926977551,-74.91506539004276,0,0,4,0,0,4,0,1,1,2,0,4
105,-3.884413400729113,-36.41061020917367,-120.40756987220252,0,0,3,0,0,1,0,1,1,0,2,2
65,-191.67305064764344,-57.47938643898957,-62.90063969363844,0,3,1,0,0,1,0,1,1,0,2,2
71,-87.89517468115355,106.92185761437982,-162.23490504879467,0,3,1,0,0,1,0,1,1,0,3,1
59,-181.56541087323146,-79.64229564030477,-68.76109257042769,0,3,1,0,0,1,0,1,1,0,2,2
58,-192.42703468703766,-159.24339304932576,203.62565632876684,0,3,1,1,1,0,0,1,1,0,3,1
70,189.1206621052293,-78.81766575556247,39.489553990352896,0,0,3,0,0,4,0,1,1,2,0,3
64,-98.92658580773193,-44.60440932916302,296.8848509659936,0,3,1,1,1,0,0,1,1,0,3,1
138,184.45970157951425,-11.092589084001075,-121.94490541301074,0,0,3,0,0,4,0,1,1,2,0,3
104,18.10829780050858,-62.87911585082284,-137.0309744386886,0,0,3,0,0,1,0,1,1,0,2,2
110,93.19124191389716,-103.72430790907391,25.372473936908225,0,0,3,0,0,1,0,1,1,2,0,3
128,-206.13098217980044,21.928088913412203,22.805396380994242,0,3,1,0,3,3,0,1,1,0,3,1
114,231.20802556414094,-52.143866095520146,-30.291482826309398,0,0,3,0,0,4,0,1,1,2,0,3
100,297.3603471884947,55.15335175386444,-43.375952428408276,0,0,4,0,0,4,0,1,1,2,0,4
48,111.33377897335593,-103.1705214139874,-63.85788735435262,0,0,3,0,0,1,0,1,1,2,0,3
60,-99.74201177841084,-44.63729519629865,296.4886321098428,0,3,1,1,1,0,0,1,1,0,3,1
74,281.54875994737245,46.120264964338716,-97.47325093673035,0,0,4,0,0,4,0,1,1,2,0,4
75,136.0057365139931,-146.5444925268234,-65.66471003705647,0,0,3,0,0,1,0,1,1,2,0,3
61,-157.05609999168752,137.24496636722847,81.35302579561248,0,3,1,0,3,3,0,1,1,0,3,1
49,257.0533068771407,2.9138787332296627,-85.4371747024723,0,0,4,0,0,4,0,1,1,2,0,4
101,77.24103496009012,-185.22133398557318,-126.59583550379956,0,0,3,0,0,1,0,1,1,2,0,3
115,-246.22586991148577,180.98734105058597,297.70525332821995,2,2,2,1,1,0,0,0,4,1,1,0
129,109.69344028284713,-94.21256766561312,-144.12162893094805,0,0,3,0,0,1,0,1,1,2,0,3
103,-105.01695803024514,24.048103274347856,-33.63206323738773,0,3,1,0,0,1,0,1,1,0,2,2
117,-6.425936003469623,-45.189738953232016,-95.02401849869396,0,0,3,0,0,1,0,1,1,0,2,2
77,73.35265079624284,-44.505587662228784,33.434155060711134,0,0,3,0,0,1,0,1,1,2,0,3
63,-234.08751744702064,111.52508253804584,342.48708739497056,2,2,2,1,1,0,0,0,4,1,1,0
88,82.72447435591995,86.29495528709093,-32.26183627846391,0,0,3,0,0,1,0,1,1,2,0,3
89,58.67605478576186,-112.20740301944718,-13.646382739588324,0,0,3,0,0,1,0,1,1,2,0,3
62,-164.92807414379737,-19.43617416853557,240.81620344824438,0,3,1,1,1,0,0,1,1,0,3,1
76,-107.90802062214101,82.3145736835928,-190.63338627681742,0,3,1,0,0,1,0,1,1,0,3,1
116,284.29856544592275,-34.13412066532707,-11.297391265217966,0,0,4,0,0,4,0,1,1,2,0,4
102,174.6113999857024,-88.60353424560094,-63.05600501722943,0,0,3,0,0,4,0,1,1,2,0,3
11,137.5974433638229,-37.06693253258598,41.54664711021765,0,0,3,0,0,1,0,1,1,2,0,3
5,60.260819100608764,-27.61143061374675,-14.95875790862476,0,0,3,0,0,1,0,1,1,2,0,3
39,303.7297470618893,57.21983379163665,-32.839039084545554,0,0,4,0,0,4,0,1,1,2,0,4
38,24.389971216222694,18.958041001218835,29.858758760368836,0,0,3,0,0,1,0,1,1,0,2,2
4,-40.05636424242673,73.58648199462355,-13.948592886271978,0,0,3,0,0,1,0,1,1,0,2,2
10,-75.7025603936553,245.89468769738153,-90.80482563070157,0,3,1,0,3,3,0,1,1,0,3,1
6,-180.56136645953097,129.30933206534039,151.72249789118737,0,3,1,0,3,3,0,1,1,0,3,1
12,82.7304645165957,-54.596937765368985,96.14702591482514,0,0,3,0,0,1,0,1,1,2,0,3
13,79.60100529932555,7.0580759065706715,-59.51894625747905,0,0,3,0,0,1,0,1,1,2,0,3
7,22.3466082959427,76.7568110684239,70.33753794421219,0,0,3,0,0,1,0,1,1,0,2,2
3,86.30531368716841,-100.77696669273136,-107.27189555603817,0,0,3,0,0,1,0,1,1,2,0,3
17,207.22685386462928,-4.489467941491004,72.29675824383015,0,0,3,0,0,4,0,1,1,2,0,3
