#FocalAdhesion's CSV 
#number,center_x,center_y,length_x,length_y,area,aspect_ratio,orientation,main_axis_start_x,main_axis_start_y,main_axis_end_x,main_axis_end_y,side_axis_start_x,side_axis_start_y,side_axis_end_x,side_axis_end_y,keep
0,310.0,324.0,30.23243291566195,16.340067680893913,179,1.8502024291497934,0.5971766580926776,298.0,316.0,323.0,333.0,314.0,317.0,304.8118161925602,330.51203501094096,1
1,298.0,415.0,15.620499351813308,12.54761423342382,90,1.244897959183672,0.6947382761967033,292.0,410.0,304.0,420.0,293.0,419.0,301.03278688524586,409.36065573770486,1
2,455.0,549.0,12.083045973594572,14.06930010624035,71,0.858823529411759,0.4266274931268761,450.0,547.0,461.0,552.0,456.0,542.0,450.17808219178073,554.8082191780823,1
3,346.0,328.0,18.35755975068582,5.883134875590695,59,3.120370370370377,0.5123894603107377,338.0,324.0,354.0,333.0,348.0,333.0,350.88427299703267,327.8724035608309,1
4,286.0,329.0,15.0,12.400000000000022,50,1.2096774193548365,0.9272952180016122,282.0,323.0,291.0,335.0,281.0,332.0,290.9200000000001,324.56000000000006,1
5,397.0,234.0,10.0,7.199999999999955,39,1.3888888888888975,5.355890089177974,394.0,238.0,400.0,230.0,394.0,232.0,399.76,236.31999999999994,1
6,477.0,279.0,8.06225774829855,5.209458852746727,34,1.5476190476190559,1.0516502125483738,475.0,276.0,479.0,283.0,478.0,276.0,473.4769230769232,278.5846153846155,1
7,333.0,331.0,9.433981132056603,5.723988552034392,34,1.6481481481481342,1.0121970114513341,331.0,327.0,336.0,335.0,332.0,334.0,336.8539325842696,330.9662921348313,1
8,261.0,390.0,9.899494936611665,7.0710678118654755,34,1.4,0.7853981633974483,258.0,387.0,265.0,394.0,264.0,388.0,259.0,393.0,1
9,512.0,564.0,13.341664064126334,9.294192943548733,32,1.435483870967734,6.0563864591257,506.0,566.0,519.0,563.0,518.0,568.0,515.9101123595506,558.943820224719,1
