#FilamentSensor-0.2.2j
#cell_properties
%cell_identifier
-1
%center_x
493
%center_y
492
%area
99588.0
%aspect_ratio
1.598008
%long_half_axis
225.070224
%orientation
21.651525
%order_parameter
-2.26E-4
%new_orientation
156.386379
%new_order_parameter
0.024457
%area_interior
99588
%mean_brightness_interior
153.55103
%area_boundary
0.0
%mean_brightness_boundary
0.0
%excursion_ratio
0.166204
%number_filaments
171
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
1,737.9,715.7,330.722643,69.04062,3.830934,0.148357,0.194653,false
2,972.3,618.1,212.831026,164.505151,3.745482,-0.143032,0.143032,false
3,690.2,849.1,183.569531,17.335165,3.807177,-0.144714,0.144714,false
4,859.0,598.8,210.562551,101.256435,3.818253,0.072449,0.072449,false
5,921.4,832.2,218.382452,25.851863,3.77251,0.122682,0.122682,false
6,1055.4,804.6,220.485002,152.143664,3.783964,-0.096031,0.129043,false
7,809.3,895.0,187.43163,36.931374,3.594592,0.07244,0.07244,false
8,792.1,757.1,119.872242,33.424811,4.817564,-0.014683,0.059445,false
9,941.3,666.2,157.712457,135.770749,3.594932,0.017819,0.017819,false
10,673.2,362.4,151.264224,124.74318,3.767567,0.058011,0.107643,false
11,1087.0,644.6,154.02341,0.0,2.760389,0.145456,0.145456,false
12,829.8,549.1,126.838473,83.102572,3.496582,0.19941,0.19941,false
13,944.2,622.9,148.906317,148.7716,3.484487,0.064218,0.064218,false
14,677.2,837.7,123.031435,16.073574,3.491733,0.07411,0.156037,false
15,988.0,800.6,98.099904,0.0,3.619199,-0.05833,0.05833,false
16,1099.5,707.8,123.724054,62.592425,3.595791,0.259197,0.259197,false
17,762.5,675.5,109.067208,88.948819,3.327461,-0.060126,0.060126,false
18,966.7,728.7,128.779787,146.433681,3.463786,-0.093918,0.175134,false
19,933.0,728.5,162.892623,138.012788,2.792098,-0.130644,0.130644,false
20,996.3,730.0,99.92248,172.519114,3.722109,0.044684,0.044684,false
21,782.2,701.3,123.574267,60.718573,3.072683,0.128915,0.128915,false
22,1249.9,651.0,92.60621,175.030259,3.479123,0.107131,0.107131,false
23,1179.4,650.2,75.467681,1.527525,3.694754,0.164564,0.164564,false
24,853.1,661.2,73.845789,96.254033,4.151375,0.184757,0.184757,false
25,818.1,753.0,86.929791,110.323137,3.527598,0.17364,0.17364,false
26,937.9,642.8,92.411457,139.398705,3.49543,0.085122,0.085122,false
27,729.8,495.6,90.435532,110.854458,3.374929,0.1401,0.1401,false
28,1071.7,785.6,94.697699,130.272012,3.837707,0.114186,0.114186,false
29,786.8,871.4,69.360712,94.969741,3.699255,0.088976,0.088976,false
30,816.6,873.2,98.389624,47.060111,3.831174,-0.032909,0.032909,false
31,992.6,692.0,132.097565,139.635463,2.23014,0.135412,0.135412,false
32,1021.8,699.1,93.578616,140.667286,3.274121,0.155318,0.155318,false
33,1176.0,885.7,102.891819,131.448267,3.582173,-0.063167,0.063167,false
34,838.0,590.5,75.42546,96.088528,3.024098,0.0,0.0,false
35,1014.1,676.9,109.2185,165.579227,2.943828,0.153034,0.153034,false
36,952.5,775.3,91.11725,148.928342,2.858422,-0.048583,0.048583,false
37,1075.0,726.0,78.498357,79.695154,3.257638,0.11322,0.11322,false
38,801.0,760.0,72.249567,85.236358,2.952351,0.0,0.0,false
39,1349.1,673.3,72.979785,153.083445,4.040489,0.089993,0.089993,false
40,1065.5,654.0,67.119297,176.583412,3.247584,0.0,0.0,false
41,800.0,867.0,66.272166,84.805571,3.639186,0.0,0.0,false
42,855.3,756.6,60.666068,76.651273,3.685276,-0.093585,0.093585,false
43,1002.7,688.8,94.072418,134.569213,2.973285,0.027853,0.027853,false
44,766.9,620.3,79.439573,95.063617,2.604834,0.091794,0.091794,false
45,965.2,790.7,60.544577,173.345575,3.444391,0.12892,0.12892,false
46,1000.9,649.4,73.832225,167.471192,3.101849,-0.135428,0.135428,false
47,717.0,439.0,80.498447,116.565051,2.917476,0.0,0.0,false
48,850.0,595.5,55.145263,94.159642,3.50611,0.0,0.0,false
49,1270.0,939.2,58.190046,176.054814,4.172835,0.093492,0.093492,false
50,880.7,772.0,63.975539,26.965714,3.521207,0.052433,0.052433,false
51,1125.0,668.3,78.132556,30.837832,3.050403,0.105418,0.105418,false
52,893.0,745.5,65.122961,86.478547,3.171603,0.0,0.0,false
53,790.3,795.9,85.960617,53.530766,2.882037,0.092909,0.092909,false
54,1016.6,666.0,55.814647,158.962489,3.244283,-0.13758,0.13758,false
55,851.7,696.4,54.812258,68.587031,4.4238,-0.107086,0.107086,false
56,770.0,835.5,55.542776,166.464144,4.340212,0.0,0.0,false
57,572.4,913.4,45.384613,67.963773,4.489121,0.152281,0.152281,false
58,931.0,792.0,50.0,16.260205,3.903029,0.0,0.0,false
59,1012.7,640.5,63.931805,163.55962,2.597133,-0.350063,0.350063,false
60,836.2,501.0,68.233142,90.842524,2.3815,-0.19098,0.19098,false
61,662.5,853.0,86.37708,20.323137,2.435409,0.0,0.0,false
62,826.5,653.5,51.42738,110.556045,3.91983,-0.18282,0.18282,false
63,1075.6,669.3,72.792655,31.504267,2.703908,-0.086419,0.086419,false
64,531.4,959.1,64.966124,33.690068,3.358442,0.084184,0.084184,false
65,743.5,537.0,64.938432,99.752425,2.935226,0.0,0.0,false
66,913.5,742.5,51.244512,95.599339,3.580226,0.0,0.0,false
67,705.0,988.5,61.717096,63.019769,3.20312,0.0,0.0,false
68,1063.3,742.0,62.41394,96.4416,3.132516,0.084932,0.084932,false
69,830.0,620.1,44.124515,92.602562,3.83345,-0.161475,0.161475,false
70,944.6,693.5,82.852444,142.853313,2.469314,0.066959,0.066959,false
71,810.0,774.5,43.639358,80.753887,3.575479,0.239176,0.239176,false
72,1312.0,657.5,34.014703,178.315316,4.425943,0.0,0.0,false
73,645.4,1042.2,35.588527,32.347443,4.779398,0.228447,0.228447,false
74,958.0,645.0,60.033324,150.018361,2.652994,0.0,0.0,false
75,819.5,624.0,52.239832,84.507675,2.755694,0.0,0.0,false
76,581.6,1115.3,53.87875,31.328693,3.152324,0.067475,0.067475,false
77,692.5,1002.5,47.095647,176.347777,3.662185,0.0,0.0,false
78,791.5,655.5,54.203321,60.124007,2.864385,0.0,0.0,false
79,772.7,788.1,64.583453,49.398705,2.563971,0.069351,0.069351,false
80,1387.0,677.5,40.607881,37.998732,4.240378,0.0,0.0,false
81,953.3,697.6,55.808866,80.706691,3.245718,0.124628,0.124628,false
82,907.0,701.5,37.161808,23.805944,4.434958,0.0,0.0,false
83,892.0,745.0,58.240879,105.945396,2.938313,0.0,0.0,false
84,947.0,686.6,78.894375,140.659482,2.225627,0.034463,0.034463,false
