#FilamentSensor-0.2.2j
#cell_properties
%cell_identifier
-1
%center_x
362
%center_y
469
%area
153620.0
%aspect_ratio
1.170568
%long_half_axis
239.247422
%orientation
118.324462
%order_parameter
-0.303737
%new_orientation
58.248437
%new_order_parameter
0.604697
%area_interior
153620
%mean_brightness_interior
159.433927
%area_boundary
0.0
%mean_brightness_boundary
0.0
%excursion_ratio
0.177541
%number_filaments
164
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
1,949.1,925.5,446.875963,54.596924,3.281028,0.009225,0.070815,false
2,798.4,910.6,252.450457,53.220976,4.517672,-0.040579,0.061594,false
3,726.5,630.4,277.862042,107.44148,3.184876,0.096775,0.138925,false
4,691.7,580.5,229.969317,109.148137,3.530366,-0.064928,0.064928,false
5,745.6,652.8,275.061209,97.539445,3.059442,0.01418,0.064867,false
6,746.0,572.4,227.057635,107.705622,3.474238,-0.129683,0.129683,false
7,1077.7,615.3,268.497161,36.091,3.273513,0.072828,0.124881,false
8,1036.3,831.4,245.755779,62.285005,3.25884,-0.051618,0.12417,false
9,930.9,926.9,277.83612,54.414175,2.948071,0.012483,0.122419,false
10,756.6,955.3,248.0027,48.116178,3.707188,0.012822,0.135397,false
11,1066.8,721.6,223.786552,43.898294,3.875817,0.116929,0.116929,false
12,1056.9,974.1,177.346474,42.672185,3.760398,0.182834,0.182834,false
13,831.3,908.7,168.740841,51.499346,3.478221,0.012715,0.039111,false
14,767.6,776.3,144.662746,87.614056,3.594773,0.079937,0.079937,false
15,1041.8,872.0,154.584083,68.267705,3.347394,-0.084227,0.084227,false
16,805.9,898.4,117.389602,61.467547,4.563988,-0.050805,0.050805,false
17,1037.9,630.4,170.517248,44.76226,3.819028,-0.038041,0.038041,false
18,798.8,598.4,136.670937,122.275644,3.452789,0.176596,0.176596,false
19,992.7,627.5,142.758642,54.415626,3.235702,-0.049043,0.102584,false
20,917.8,600.7,153.456582,52.157813,2.890645,0.051552,0.051552,false
21,793.0,837.5,158.208656,54.799849,2.973872,0.015036,0.10225,false
22,1150.5,924.9,148.178451,171.759288,3.172711,0.155596,0.155596,false
23,872.5,870.2,205.37095,49.944074,2.627009,0.018953,0.106727,false
24,967.5,539.3,146.094859,56.745633,2.902067,-0.003665,0.086018,false
25,942.3,976.7,139.426407,42.964966,3.273077,-0.020979,0.020979,false
26,908.7,903.9,123.048946,49.955449,3.582502,0.074244,0.074244,false
27,800.5,877.7,166.749735,49.137594,3.678482,0.049078,0.049078,false
28,951.5,876.1,119.565785,53.901716,4.089432,0.156633,0.156633,false
29,816.6,839.1,141.393574,55.407711,3.029679,0.006962,0.131633,false
30,1199.6,538.6,118.121752,30.046435,3.716876,0.042096,0.136581,false
31,964.3,592.0,149.387468,64.123153,2.706089,-0.083868,0.083868,false
32,1098.7,869.6,124.766002,124.724642,3.508609,0.225514,0.225514,false
33,887.0,625.9,135.579627,48.330917,3.288834,0.174321,0.174321,false
34,891.0,725.5,126.400158,53.039445,3.244509,0.0,0.0,false
35,992.4,576.9,110.237518,69.749366,3.157088,0.098211,0.098211,false
36,970.6,554.2,112.37864,53.334365,3.198255,-0.067759,0.086075,false
37,1125.7,664.5,116.952321,27.666757,3.229521,-0.018015,0.216468,false
38,771.2,833.6,93.06628,64.536655,3.095258,-0.031559,0.031559,false
39,750.8,632.3,96.061675,104.470294,3.379153,0.020951,0.020951,false
40,1018.6,478.1,125.403989,57.072137,2.57263,0.044245,0.098514,false
41,1104.6,901.2,118.949854,154.953799,3.000431,0.124758,0.124758,false
42,793.3,849.2,120.790773,55.516046,2.610332,-0.119911,0.119911,false
43,768.2,925.5,139.873145,49.932087,2.569245,0.023857,0.023857,false
44,932.3,724.4,126.044255,47.573359,2.954762,-0.026334,0.026334,false
45,1002.8,627.2,97.361975,55.491477,3.412742,-0.089927,0.089927,false
46,967.3,803.1,110.000775,146.888658,3.6288,0.058812,0.058812,false
47,791.4,643.9,93.465603,114.087452,3.779943,0.107798,0.107798,false
48,1004.0,781.5,126.81116,47.878369,3.027155,0.001406,0.114654,false
49,1000.8,932.3,117.226008,77.630938,2.941308,0.136907,0.136907,false
50,967.9,637.2,154.645362,56.103833,2.674327,0.072917,0.072917,false
51,1051.5,665.6,96.042153,49.658254,3.436321,0.089223,0.089223,false
52,860.8,908.1,95.286226,39.882685,3.537396,0.071357,0.071357,false
53,1005.2,977.0,88.52992,68.078221,2.811951,0.071856,0.158021,false
54,1194.2,950.2,72.287373,146.309932,3.647898,0.111943,0.111943,false
55,1076.2,794.5,71.417012,79.479216,4.006634,0.128211,0.128211,false
56,974.4,897.6,112.769622,56.592175,2.592272,0.054896,0.054896,false
57,1016.8,995.9,103.089945,60.945396,2.801738,0.058809,0.058809,false
