#FilamentSensor-0.2.2j
#cell_properties
%cell_identifier
-1
%center_x
437
%center_y
389
%area
201092.0
%aspect_ratio
1.415752
%long_half_axis
301.034348
%orientation
162.828909
%order_parameter
-0.138716
%new_orientation
85.827457
%new_order_parameter
0.154332
%area_interior
215206
%mean_brightness_interior
162.584035
%area_boundary
-14114.0
%mean_brightness_boundary
0.0
%excursion_ratio
0.23529
%number_filaments
289
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
1,1035.2,922.5,325.244564,23.389735,5.329064,0.090481,0.150686,false
2,646.6,521.3,183.564614,84.289407,5.333202,0.120795,0.120795,false
3,775.6,824.0,242.572652,84.849918,3.401209,0.203645,0.203645,false
4,761.5,609.9,240.196312,122.360938,3.618815,0.021877,0.09065,false
5,1021.8,600.7,198.912171,55.908708,4.589367,0.010283,0.135856,false
6,775.9,692.5,231.86394,164.70141,3.395512,-0.001636,0.101756,false
7,953.5,622.1,216.374014,108.939004,3.442901,0.058069,0.094842,false
8,1233.6,647.2,161.621446,112.536788,3.976975,0.168702,0.168702,false
9,912.3,558.0,168.059184,91.363928,3.536642,0.013259,0.013259,false
10,1024.1,440.6,162.086281,119.435416,4.116972,0.114753,0.114753,false
11,784.3,827.0,153.856181,71.683676,3.569524,0.11045,0.11045,false
12,1228.4,813.3,116.899304,58.781597,4.780595,0.178524,0.178524,false
13,930.9,418.2,137.222445,116.003346,3.669921,0.067759,0.067759,false
14,1007.6,787.6,127.356058,0.451139,3.846255,-0.067375,0.186069,false
15,929.2,946.5,129.714553,61.849311,3.995397,0.033736,0.194407,false
16,710.1,572.8,163.70679,105.655782,3.14541,0.04774,0.129281,false
17,796.1,594.1,168.481986,144.422781,3.610505,0.016659,0.016659,false
18,1056.2,906.5,98.553976,1.753405,5.189542,-0.128795,0.128795,false
19,800.4,633.9,94.919491,118.99596,4.99684,0.02992,0.02992,false
20,605.6,704.7,121.043058,129.255842,3.700824,0.177006,0.177006,false
21,1168.5,832.2,112.406403,17.140349,4.367935,-0.121624,0.121624,false
22,945.3,790.5,128.404202,23.139462,4.188028,0.138435,0.138435,false
23,1052.8,796.9,104.456271,92.752485,4.898533,0.109016,0.109016,false
24,912.9,1054.2,127.130169,65.065705,3.38502,0.188057,0.188057,false
25,784.6,700.3,128.993534,108.575724,3.328652,0.048756,0.2032,false
26,966.8,967.9,129.604819,32.708651,3.286814,-0.03034,0.03034,false
27,788.5,828.1,124.979017,84.015048,3.605689,0.083357,0.083357,false
28,890.5,652.9,153.578811,142.157813,2.856366,-0.050962,0.050962,false
29,858.8,795.0,66.081713,92.602562,5.389215,0.047091,0.047091,false
30,893.8,530.1,94.549638,87.563352,3.67478,0.123075,0.123075,false
31,1003.3,829.7,98.276635,24.734303,3.653956,0.090986,0.090986,false
32,758.1,642.1,87.183692,105.312818,3.494235,0.013361,0.137349,false
33,780.2,654.6,79.946269,112.0679,3.547454,-0.077678,0.077678,false
34,1224.2,645.5,130.853112,109.683328,2.787181,-0.052423,0.052423,false
35,1041.3,598.0,142.242783,49.619923,2.80128,0.154065,0.154065,false
36,744.2,566.2,108.753432,124.128547,3.074647,0.005321,0.063799,false
37,991.5,812.5,117.779937,18.898247,2.847837,-0.104649,0.104649,false
38,642.4,651.1,77.466381,4.455603,3.908525,0.127226,0.127226,false
39,636.5,611.4,94.658504,29.291362,3.269445,0.1705,0.1705,false
40,732.0,614.5,93.343452,94.916566,3.356513,0.0,0.0,false
41,919.6,883.5,69.25156,99.188836,4.408276,0.264733,0.264733,false
42,1094.4,821.1,73.54102,147.828783,4.611464,0.140124,0.140124,false
43,705.3,669.8,61.579008,7.471559,4.366373,-0.080064,0.080064,false
44,1151.0,514.5,83.528438,121.787253,3.839417,0.0,0.0,false
45,1087.9,555.3,103.82691,74.890425,2.990584,0.079185,0.079185,false
46,860.0,426.0,68.0,118.072487,4.622156,0.0,0.0,false
47,881.5,797.6,80.813909,66.614779,3.718742,0.111499,0.111499,false
48,1155.5,746.5,65.192024,4.398705,4.607814,0.0,0.0,false
49,1171.0,686.5,68.88396,117.681062,4.875663,0.0,0.0,false
50,762.0,500.6,77.998313,105.642246,3.534687,0.024752,0.171423,false
51,639.0,734.8,73.318519,106.699244,3.513437,0.191442,0.191442,false
52,1152.5,881.0,83.216585,175.865329,3.528826,0.0,0.0,false
53,1037.2,668.3,109.423843,32.672229,2.987848,-0.041649,0.131299,false
54,804.5,563.0,77.844812,147.131321,3.603799,0.212651,0.212651,false
55,1205.9,613.8,113.548684,104.281096,2.836047,-0.030876,0.030876,false
56,1119.6,552.4,75.125863,90.763898,3.456238,0.102463,0.102463,false
57,985.4,767.4,84.493927,13.706961,3.242369,0.065287,0.065287,false
58,910.4,785.6,87.430049,49.184916,3.611762,-0.023868,0.168903,false
59,1055.3,676.6,75.356588,30.311213,4.223414,-0.121587,0.121587,false
60,853.6,731.2,91.059911,14.647375,3.011,-0.067916,0.067916,false
61,836.0,436.5,52.886671,105.350136,4.583695,0.0,0.0,false
62,639.2,441.5,105.97131,125.348167,3.02605,0.115899,0.115899,false
63,1001.0,577.5,75.690158,74.67849,3.55875,0.0,0.0,false
64,1219.9,700.6,72.638977,110.185803,3.241933,-0.026283,0.247021,false
65,956.7,800.2,82.446665,24.386371,3.32233,0.06841,0.06841,false
66,856.5,799.5,48.764741,61.858399,5.907234,0.0,0.0,false
67,1003.7,891.1,94.158192,42.847037,3.19781,-0.039204,0.039204,false
68,647.5,578.0,95.900991,50.500411,3.088109,0.0,0.0,false
69,642.6,652.1,71.003792,21.501434,4.136167,0.076912,0.076912,false
70,731.5,675.5,80.808419,136.005086,3.88212,0.099237,0.099237,false
71,1235.3,781.5,73.94921,59.96672,3.792669,0.039132,0.039132,false
72,984.0,932.7,71.007908,8.93059,3.157449,-0.021229,0.21327,false
73,595.1,671.5,63.271174,134.356254,3.819934,0.187758,0.187758,false
74,711.7,617.1,79.980364,106.837473,2.670675,0.211418,0.211418,false
75,712.8,962.2,81.531696,45.498212,3.785055,0.112779,0.112779,false
76,661.6,543.8,82.540442,59.393593,2.591457,0.060411,0.060411,false
77,949.0,502.0,66.463843,69.646771,3.519519,0.177565,0.177565,false
78,1116.5,677.3,68.484373,34.854456,3.993121,0.140992,0.140992,false
79,1188.1,530.1,62.035477,155.095231,3.615476,0.186141,0.186141,false
80,690.1,550.1,56.202394,85.914383,3.646964,0.094927,0.094927,false
81,942.4,816.5,78.175611,18.666914,3.177371,-0.06583,0.06583,false
82,961.5,515.5,59.008474,90.971022,3.656192,0.0,0.0,false
