,x,y,z,average3,average4,average5,complete3,complete4,complete5,single3,single4,single5,ward3,ward4,ward5
Y1_304,-1.0626662554729522,-0.36295050196174033,-1.1862320399466866,0,3,3,0,2,0,0,0,0,1,1,0
Y1_310,-1.4255790155380568,0.7448068543772716,-1.0154465467140323,0,3,3,0,2,0,0,0,0,1,1,0
Y1_338,1.2231474119781391,-0.038020586275174496,-1.6535330055801583,0,3,3,0,2,0,0,0,0,1,1,0
Y1_106,-0.3019474279449012,0.19616214847766433,1.6562158149758062,0,3,3,0,2,0,0,0,0,1,1,0
Y1_112,-3.4544868283992214,-0.2759047595128829,-2.078534443145645,0,1,1,0,2,0,0,0,0,2,2,2
Y1_113,3.5642779571020693,-0.6660621435771291,1.7069170251537429,2,2,0,2,0,2,0,0,1,0,0,4
Y1_107,-1.858060431109769,-2.635548013046108,-1.2636249136341586,0,3,3,0,2,0,0,0,0,1,1,0
Y1_339,0.30728271594353346,0.7004209749514277,-2.2605581260049914,0,3,3,0,2,0,0,0,0,1,1,0
Y1_311,1.578957999000999,-0.648165569767259,0.9895494265046004,0,3,3,0,2,0,0,0,0,1,1,0
Y1_305,-2.974188744447246,0.6401843181918057,2.16360838391084,0,1,1,0,2,0,0,0,0,2,2,2
Y1_313,-1.5967167865158107,0.2314208299985859,1.0703437824037632,0,3,3,0,2,0,0,0,0,1,1,0
Y1_307,-1.5681075489015033,-2.5154930112206295,-1.0728637266009968,0,3,3,0,2,0,0,0,0,1,1,0
Y1_111,1.1282706775438471,-0.247618294207448,-2.0317941440562293,0,3,3,0,2,0,0,0,0,1,1,0
Y1_105,-0.5379487498298818,-0.6098796552085731,-0.6459778581310692,0,3,3,0,2,0,0,0,0,1,1,0
Y1_104,-4.557553610276095,-1.4813882394556859,-0.9214457435627433,0,1,1,0,1,1,0,0,0,2,2,2
Y1_110,-5.077962350723983,1.415920926934505,-1.5438937199732068,0,1,1,0,1,1,0,0,0,2,2,2
Y1_306,5.16900049605498,-1.3746956413538465,-0.20205930944740919,2,2,0,2,0,4,0,0,1,0,0,3
Y1_312,-1.1600821169329474,1.9143881606097644,1.0804416386876508,0,3,3,0,2,0,0,0,0,1,1,0
Y1_316,-3.8008084659461394,1.184700228307954,-4.737379564068052,0,1,1,0,1,1,0,0,0,2,2,2
Y1_302,-3.7602652722563876,0.7258154803044512,0.3806677780376737,0,1,1,0,2,0,0,0,0,2,2,2
Y1_114,3.2396466465258587,-2.812227923133707,-0.9050636325640641,2,2,0,2,0,2,0,0,1,0,0,4
Y1_101,-2.906889005342924,-0.6328022894762356,1.9418490925412695,0,1,1,0,2,0,0,0,0,2,2,2
Y1_115,-3.8163026831135576,-2.225759221532682,-0.21711558891593036,0,1,1,0,1,1,0,0,0,2,2,2
Y1_303,-4.054344770984434,2.5994697976769645,2.3939359941263185,0,1,1,0,1,1,0,0,0,2,2,2
Y1_317,-3.093312007240563,-0.417311659181942,0.5117571024117732,0,1,1,0,2,0,0,0,0,2,2,2
Y1_329,0.6818448285020613,0.2984045680845794,-0.16136358941354476,0,3,3,0,2,0,0,0,0,1,1,0
Y1_301,2.006524444870683,-3.3539338825569627,3.3966170551004233,2,2,0,2,0,2,0,0,1,0,0,3
Y1_315,-0.612520251177805,0.5711951366164506,-3.373654198067214,0,3,3,0,2,0,0,0,0,1,1,0
Y1_103,-3.6404862355580976,2.282437227941165,-3.6953351149711198,0,1,1,0,1,1,0,0,0,2,2,2
Y1_117,-4.209774855048626,-0.7620801379192839,-3.17569209653243,0,1,1,0,1,1,0,0,0,2,2,2
Y1_116,-3.101140145077366,-1.0587356398078471,-1.6779945820323088,0,1,1,0,2,0,0,0,0,2,2,2
Y1_102,4.966537533934365,-2.7047576383607987,1.6599828219006452,2,2,0,2,0,4,0,0,1,0,0,3
Y1_314,1.2699833054491534,0.1957251925968598,1.1252529063758328,0,3,3,0,2,0,0,0,0,1,1,0
Y1_328,1.1315480155543343,0.18620784702881493,0.6047800309658776,0,3,3,0,2,0,0,0,0,1,1,0
Y1_213,0.6984207420206667,-0.8884064388290525,-0.06664721238492813,0,3,3,0,2,0,0,0,0,1,1,0
Y1_207,3.71254863217743,-1.9411232062208208,2.6512343083603476,2,2,0,2,0,4,0,0,1,0,0,3
Y1_206,-4.0483928475809465,2.26094213882934,0.06920475162370833,0,1,1,0,1,1,0,0,0,2,2,2
Y1_212,-3.6291559376179827,3.590124403889612,-0.4995508596939924,0,1,1,0,1,1,0,0,0,2,2,2
Y1_204,-6.043036850703187,2.21569574623671,0.2096795711878173,0,1,1,0,1,1,0,0,0,2,2,2
Y1_210,-2.4246149297999064,2.210696689252726,0.35029043341148147,0,1,1,0,2,0,0,0,0,2,2,2
Y1_211,4.7886840408463485,-1.0244624115537437,2.083932150505776,2,2,0,2,0,4,0,0,1,0,0,3
Y1_205,1.8846617070521194,-0.4492513702634382,0.5772639446333195,0,3,3,0,2,0,0,0,0,1,1,0
Y1_349,-0.48085443992828086,1.4022889309900266,1.6541036649982448,0,3,3,0,2,0,0,0,0,1,1,0
Y1_201,3.334318272132774,-0.7357799370402358,0.5966069047177767,2,2,0,2,0,2,0,0,1,0,0,4
Y1_215,2.331978474972462,-0.4342038368137191,2.791553291688652,2,2,0,2,0,2,0,0,1,0,0,4
Y1_214,3.7346989986434336,0.5820727515704717,0.3723942830071912,2,2,0,2,0,2,0,0,1,0,0,4
Y1_348,5.069346808249232,-1.0164394454856862,0.5206981393196608,2,2,0,2,0,4,0,0,1,0,0,3
Y1_216,-2.102130374268503,0.8174259036511294,-3.357194851385978,0,1,1,0,1,1,0,0,0,2,2,2
Y1_202,1.150606441671942,1.0222102879531472,1.4205587665281147,0,3,3,0,2,0,0,0,0,1,1,0
Y1_203,2.082015220468947,0.456711407838113,-2.206414527933169,0,3,3,0,2,0,0,0,0,1,1,0
Y1_217,0.6680338134428315,1.3754490487554956,-2.0383414602631813,0,3,3,0,2,0,0,0,0,1,1,0
Y1_346,-3.228994313357314,-0.7086833003399501,-0.21477813998337322,0,1,1,0,2,0,0,0,0,2,2,2
Y1_347,0.6726270952408963,0.04262314508246348,-0.6210512468546528,0,3,3,0,2,0,0,0,0,1,1,0
Y1_345,5.826324265482543,-0.5202698143334159,1.449698206439567,2,2,0,2,0,4,0,0,1,0,0,3
Y1_219,1.011224814333524,1.5985882141964574,-1.0738504337390962,0,3,3,0,2,0,0,0,0,1,1,0
Y1_218,2.08777426907774,-0.26056055462905536,-2.375663993244696,0,3,3,0,2,0,0,0,0,1,1,0
Y1_224,10.469641955212378,-2.3338805506460543,2.636099315334099,1,0,2,1,3,3,1,1,4,0,3,1
Y1_344,-1.0259256492823705,1.4681495280365298,-1.0231014631449116,0,3,3,0,2,0,0,0,0,1,1,0
Y1_340,-5.320541423537171,1.5928719591500993,-2.8195059308788353,0,1,1,0,1,1,0,0,0,2,2,2
Y1_208,-6.163615512475854,2.353167263118971,0.7453036544914104,0,1,1,0,1,1,0,0,0,2,2,2
Y1_220,-1.9224811433791555,-1.3954797621346011,1.428972548409349,0,3,3,0,2,0,0,0,0,1,1,0
Y1_221,-4.2161492128768625,0.8391555290144551,0.850961418152576,0,1,1,0,1,1,0,0,0,2,2,2
