,x,y,z,average3,average4,average5,complete3,complete4,complete5,single3,single4,single5,ward3,ward4,ward5
Y1_304,-0.2508785434556029,-0.07866666160822809,0.02249913541363078,0,1,0,0,0,2,0,0,4,0,1,0
Y1_310,-0.22256994028222998,-0.15550518032780214,0.0971547398755438,0,1,0,0,0,2,0,0,4,0,1,0
Y1_338,0.016320882281988074,-0.053892978341351414,-0.3205742852162879,0,1,0,0,0,2,0,0,4,0,1,0
Y1_106,-0.09874613671645163,-0.3065475172351363,0.12496033452866417,0,1,0,0,0,2,0,0,4,0,1,0
Y1_112,-0.059776925520309394,0.207918506862697,0.2478597396174035,0,1,0,0,0,2,0,0,4,0,1,0
Y1_113,0.26690942377438476,0.2050016854259245,-0.23292545480999083,0,0,4,2,2,0,0,0,4,2,2,2
Y1_107,-0.3362626576204898,0.44502574404714446,-0.06952974400291718,0,0,4,2,2,0,0,0,4,2,2,2
Y1_339,-0.22833855589651278,-0.03824139376465594,-0.2193770352326703,0,1,0,0,0,2,0,0,4,0,1,0
Y1_311,0.09233611916736183,0.061402537658260495,-0.06952271246701659,0,1,0,0,0,2,0,0,4,0,1,0
Y1_305,0.07083856057950129,-0.013199539625886483,0.5062515328754621,0,1,0,0,0,4,0,0,4,0,0,1
Y1_313,0.07546573118232763,-0.04910564087339058,0.2587322037428459,0,1,0,0,0,2,0,0,4,0,1,0
Y1_307,-0.19845359066609522,0.5571491856714303,-0.11750516969950664,0,0,4,2,2,0,0,0,4,2,2,2
Y1_111,0.15977469082250165,0.13636455237050915,-0.3922784339955099,0,0,4,2,2,0,0,0,4,2,2,2
Y1_105,-0.13769693005567718,-0.06339849027147004,0.02465411170222396,0,1,0,0,0,2,0,0,4,0,1,0
Y1_104,-0.2977068105442441,0.26386806795584045,0.4387913960457568,0,1,0,0,0,4,0,0,4,0,0,1
Y1_110,-0.2817423700298581,-0.3750282168008768,0.34561626600110273,0,1,0,0,0,4,0,0,4,0,0,1
Y1_306,0.19199349248386152,0.24633201599044988,-0.5333593724313069,0,0,4,2,2,0,0,0,4,2,2,2
Y1_312,-0.2709895552347774,-0.4233126762101366,0.2513739813005916,0,1,0,0,0,4,0,0,4,0,0,1
Y1_316,-0.18619419685429847,-0.2547502090889586,-0.27832438272595467,0,1,0,0,0,2,0,0,4,0,1,0
Y1_302,-0.13787904009035437,-0.24010369581446475,0.45147196482725643,0,1,0,0,0,4,0,0,4,0,0,1
Y1_114,0.5244784162298626,0.8968319301511909,-0.5199188038602409,1,3,3,1,1,1,1,3,1,1,3,3
Y1_101,-0.13225950468436173,-0.04703159301352022,0.48635190450958854,0,1,0,0,0,4,0,0,4,0,0,1
Y1_115,-0.4077604892062226,0.29514221376944166,0.32668467427782133,0,1,0,0,0,4,0,0,4,0,0,1
Y1_303,0.4318591953895484,-0.5502809482885813,0.7657024786296965,2,2,2,0,3,3,0,1,0,0,0,4
Y1_317,-0.21695071854281175,0.017476408460476683,0.38183936418232955,0,1,0,0,0,4,0,0,4,0,0,1
Y1_329,-0.06456957946546134,-0.15172468645864942,-0.06572422948905918,0,1,0,0,0,2,0,0,4,0,1,0
Y1_301,0.26350212596977096,0.4833510531464228,0.08446493918335317,0,0,4,2,2,0,0,0,4,2,2,2
Y1_315,-0.29263503311409134,-0.16731945915412638,-0.27711202620889075,0,1,0,0,0,2,0,0,4,0,1,0
Y1_103,0.125404897928465,0.3861322920044179,0.12819255252801992,0,0,4,2,2,0,0,0,4,2,2,2
Y1_117,-0.4595966925247956,0.15448879630307402,-0.06075329090992565,0,1,0,0,0,2,0,0,4,0,1,0
Y1_116,-0.1641432914165453,0.18527686464940382,0.23325918422234668,0,1,0,0,0,2,0,0,4,0,1,0
Y1_102,0.6085232427749516,0.33513749699442386,-0.36163874631123527,0,0,1,2,2,0,0,0,3,2,2,2
Y1_314,0.06703950247324034,-0.0744354226443795,-0.029138513427218894,0,1,0,0,0,2,0,0,4,0,1,0
Y1_328,-0.03578581257182525,-0.18247370938006888,-0.04683576444994756,0,1,0,0,0,2,0,0,4,0,1,0
Y1_213,0.18284654992951319,0.1997778289734427,-0.12006459183623074,0,0,4,0,0,2,0,0,4,2,2,2
Y1_207,0.3701485684905353,0.2483221372255768,-0.162872037763324,0,0,4,2,2,0,0,0,4,2,2,2
Y1_206,-0.31393082377425346,-0.35217477574574674,0.4845121222391006,0,1,0,0,0,4,0,0,4,0,0,1
Y1_212,-0.5013628278731449,-0.33825202453672876,0.43448194835319565,0,1,0,0,0,4,0,0,4,0,0,1
Y1_204,-0.19378335729186608,-0.5536625246697693,0.6681366032102519,2,2,2,0,3,3,0,1,0,0,0,4
Y1_210,-0.08046497918317706,-0.3663424954147268,0.30017211295735846,0,1,0,0,0,4,0,0,4,0,0,1
Y1_211,0.39667490009851153,0.25210569492425094,-0.34262151974869226,0,0,4,2,2,0,0,0,4,2,2,2
Y1_205,0.09900308096854353,0.043485797188058034,-0.1355501694655868,0,1,0,0,0,2,0,0,4,0,1,0
Y1_349,0.11880508568936035,-0.19796829559410145,0.18139144749629665,0,1,0,0,0,2,0,0,4,0,1,0
