,x,y,z,average3,average4,average5,complete3,complete4,complete5,single3,single4,single5,ward3,ward4,ward5
304,0.18423012442677453,-0.7671044959782242,-0.04751293432306748,0,0,0,0,0,3,2,0,0,1,0,2
310,-0.25769896270808795,1.5364762527955116,1.1266075158996407,0,1,1,0,1,0,2,0,0,2,2,0
338,-0.6887755060530129,1.7456958036068002,0.12401897888525067,0,1,1,0,1,0,2,0,0,2,2,0
106,0.46870310238107793,1.8521051257846,1.6664366052544193,0,1,1,0,1,0,2,0,0,2,2,0
112,-1.0081735782424193,-0.5451136971766436,-1.4547555633798002,0,0,0,0,0,4,2,0,0,1,0,2
113,-0.17039527877479543,-1.3925314849021668,0.30372656885359184,0,0,0,0,0,3,2,0,0,1,0,2
107,-2.133227123586588,-2.6327624305227944,-0.7308416587329285,1,3,3,1,3,1,2,0,0,0,1,4
339,0.9008563994856988,2.092972706851029,-0.7668139147970162,0,1,1,0,1,0,2,0,0,2,2,0
311,0.9739965403643227,0.1023039951061895,-0.7712218757593271,0,0,0,0,0,3,2,0,0,1,0,1
305,-0.954876711100855,0.858201897980537,1.5049533236557269,0,1,1,0,1,0,2,0,0,2,2,0
313,0.0834717469294204,0.21028123182874553,-0.1809702206767814,0,0,0,0,0,3,2,0,0,1,0,1
307,-0.7811305368312244,-3.9926611191800654,-0.21644833672425834,1,3,3,1,3,1,1,3,3,0,1,4
111,0.39422368093339705,-0.27790308149259235,-0.6477817895252368,0,0,0,0,0,3,2,0,0,1,0,1
105,0.7784137587218892,-0.2798365008728992,-0.07572778957096468,0,0,0,0,0,3,2,0,0,1,0,1
104,-1.8080038621982493,-0.49449383882327513,-0.28821294601642555,0,0,0,0,0,4,2,0,0,1,0,2
110,1.5049116084481897,2.1599612838512154,0.4612309634436931,0,1,1,0,1,0,2,0,0,2,2,0
306,-0.3435551499824584,-2.507146928110994,-0.43700110479965665,0,0,4,0,0,4,2,0,0,1,0,2
312,1.2629755301573018,2.6842762981749213,0.7763209335330973,0,1,1,0,1,0,2,0,0,2,2,0
316,1.3274929649623104,1.414048045090276,0.4354645640807213,0,1,1,0,1,0,2,0,0,2,2,0
302,0.7270738281496082,1.4158698255670619,1.1670013880500683,0,1,1,0,1,0,2,0,0,2,2,0
114,-3.664003469741886,-4.2835632654701765,-0.17739622027905025,2,2,2,2,2,2,0,2,2,0,3,3
101,-0.07751415113633538,0.3970092863659421,-0.7000288534086572,0,0,0,0,0,3,2,0,0,1,0,1
115,-0.5231020889639747,-1.8351433108176065,-0.36648001985123174,0,0,4,0,0,4,2,0,0,1,0,2
303,-0.6430502269675487,-2.3319062022735775,-1.7292260546391915,1,3,3,1,3,1,2,0,0,0,1,4
317,-0.8968677050365564,1.6443454274558749,0.7506349306936029,0,1,1,0,1,0,2,0,0,2,2,0
329,0.557597103960846,2.2045181314709583,1.1461415755508229,0,1,1,0,1,0,2,0,0,2,2,0
301,-0.40079713717138654,-2.9357300214260187,-1.230631919671872,1,3,3,1,3,1,2,0,0,0,1,4
315,-0.22005654522666984,0.4539164097735794,-1.5675129835396235,0,0,0,0,0,3,2,0,0,1,0,1
103,-1.2144051231805941,-1.599673368344356,-0.4786927191846496,0,0,4,0,0,4,2,0,0,1,0,2
117,0.07360687107186173,-0.36328971182550446,1.108936039363506,0,0,0,0,0,3,2,0,0,1,0,1
116,-1.8620543916551793,0.7872405097184246,0.027509007833666135,0,0,0,0,0,3,2,0,4,1,0,1
102,-1.8574482214140642,-1.9247388732004955,-2.6783002551019797,1,3,3,1,3,1,2,0,0,0,1,4
314,0.9647558726281534,0.8619403290680784,-0.5873235339853801,0,0,0,0,0,3,2,0,0,1,0,1
328,1.0207854540658954,1.479222410285019,1.6192119262698585,0,1,1,0,1,0,2,0,0,2,2,0
213,-0.9691561341319914,-0.8537622230846426,0.4896018682524514,0,0,0,0,0,3,2,0,0,1,0,2
207,0.1267740052758136,-1.6408458009179574,-1.1073060639417363,0,0,4,0,0,4,2,0,0,1,0,2
206,0.16407902753348919,2.4523302230464386,1.6494110347439541,0,1,1,0,1,0,2,0,0,2,2,0
212,0.10535889644132414,1.8337799396801382,2.640810785588709,0,1,1,0,1,0,2,0,0,2,2,0
204,1.9773960328602997,2.364575175071143,1.7389222425834614,0,1,1,0,1,0,2,0,0,2,2,0
210,-0.494868954727437,2.212503912234482,0.6715544068752108,0,1,1,0,1,0,2,0,0,2,2,0
211,-0.2844381915755279,-1.8128305995720069,-0.6341682227013963,0,0,4,0,0,4,2,0,0,1,0,2
205,0.27113445627729105,-0.9880874783627109,-0.5760031731091207,0,0,0,0,0,3,2,0,0,1,0,2
349,1.3418147538464553,0.8617306213098272,0.6504711885020045,0,1,1,0,1,0,2,0,0,2,2,0
201,0.8304631890788957,0.20399442267475962,0.2816548951631296,0,0,0,0,0,3,2,0,0,1,0,1
215,0.5764293784164634,-0.3359900296633461,0.11100361501076746,0,0,0,0,0,3,2,0,0,1,0,1
214,0.47138409259650915,-0.5191389727508898,-1.3984876515083309,0,0,0,0,0,3,2,0,0,1,0,2
348,0.37600268986403784,-1.0006414274104558,0.28636764422571875,0,0,0,0,0,3,2,0,0,1,0,2
216,0.4108767669018514,-0.7565989988113131,-0.36252327615644525,0,0,0,0,0,3,2,0,0,1,0,2
202,0.1040254847344586,1.7500165484780663,0.05484757134959452,0,1,1,0,1,0,2,0,0,2,2,0
203,0.23292463821514775,-1.1927185215017686,-0.14601793183070488,0,0,0,0,0,3,2,0,0,1,0,2
217,0.6710540587699245,-0.258681749576052,-0.09014634011934543,0,0,0,0,0,3,2,0,0,1,0,1
346,0.6163143450007089,0.33438449477028015,-1.4162203005231775,0,0,0,0,0,3,2,0,0,1,0,1
347,0.7764658826246987,0.41908373614294714,-0.4979477907578258,0,0,0,0,0,3,2,0,0,1,0,1
345,-1.6621322225029378,-4.53942913148089,-1.881390773033528,2,2,2,2,2,2,0,1,1,0,3,3
219,-0.11658400637097828,0.25471221453809195,-1.0285752237903933,0,0,0,0,0,3,2,0,0,1,0,1
218,-0.9561789626909896,0.38658753419487624,-0.9145387756236546,0,0,0,0,0,3,2,0,0,1,0,1
224,-1.7678646749203726,-5.923980091207388,-1.7169109350637026,2,2,2,2,2,2,0,1,1,0,3,3
344,-0.3292610418171068,0.9178300199654528,-0.2041346664821603,0,0,0,0,0,3,2,0,0,1,0,1
340,-0.501672712642555,1.34957386194111,1.1896315262422714,0,1,1,0,1,0,2,0,0,2,2,0
208,-0.0196337158292754,-0.0904135887245162,0.6022145111228018,0,0,0,0,0,3,2,0,0,1,0,1
220,0.5005180011196426,0.6367663039058711,-0.6054383641025176,0,0,0,0,0,3,2,0,0,1,0,1
221,0.2797655414489765,1.581984276540378,1.244026100041611,0,1,1,0,1,0,2,0,0,2,2,0
209,-0.3919652859992443,-0.2719095045624264,0.3709598162094899,0,0,0,0,0,3,2,0,0,1,0,1
341,0.3060392391195398,0.7580385407571281,1.2963901227203962,0,1,1,0,1,0,2,0,0,2,2,0
343,0.8584304047806757,0.6519513840825997,-0.2348707011266821,0,0,0,0,0,3,2,0,0,1,0,1
223,1.194784742539608,0.9443340992129042,0.49636996778718556,0,1,1,0,1,0,2,0,0,2,2,0
222,1.2051821932205944,1.1774016092430848,0.532357343446004,0,1,1,0,1,0,2,0,0,2,2,0
342,-0.36061806863547957,1.0990493186465329,-1.5016972415679357,0,0,0,0,0,3,2,0,0,1,0,1
325,1.4512764888917196,2.1150886699777027,0.8356124822664789,0,1,1,0,1,0,2,0,0,2,2,0
331,1.1210395666454673,1.429588212502043,0.12143513029595505,0,1,1,0,1,0,2,0,0,2,2,0
319,-1.0304135894038382,0.16867611475610403,-0.3264908247464427,0,0,0,0,0,3,2,0,0,1,0,1
127,-0.17465801204833084,-0.9774943405874073,-1.3909593705825496,0,0,0,0,0,4,2,0,0,1,0,2
126,-0.0032403875150667978,-2.4722256330166053,-0.578001537025102,0,0,4,0,0,4,2,0,0,1,0,2
318,1.0454251995963686,1.8476573005844787,0.8833836188320138,0,1,1,0,1,0,2,0,0,2,2,0
330,0.21690861356406013,1.733954124343829,-0.2493790560611256,0,1,1,0,1,0,2,0,0,2,2,0
324,1.6162917529500942,2.298556780047036,1.2004796569899332,0,1,1,0,1,0,2,0,0,2,2,0
332,0.48165198174601725,-1.1494472498493558,-0.1594792504198867,0,0,0,0,0,3,2,0,0,1,0,2
326,-1.73245283097079,-0.9746427894063641,1.0101465184792824,0,0,0,0,0,4,2,0,0,1,0,2
124,0.7704509970579503,1.2816844229680038,0.6114347276679384,0,1,1,0,1,0,2,0,0,2,2,0
118,-0.8144983543325482,-4.115765917262642,-0.8646001787460148,1,3,3,1,3,1,1,3,3,0,1,4
119,-0.3963242756508879,-1.026526577522685,0.31413492422725287,0,0,0,0,0,3,2,0,0,1,0,2
125,0.3565128551023534,-0.7672208211619094,-0.6795687301331769,0,0,0,0,0,3,2,0,0,1,0,2
327,1.1668901712467918,-1.0369093256263782,-0.10710737065128417,0,0,0,0,0,3,2,0,0,1,0,2
333,1.067134075425432,1.0810013318149945,1.2431974533080477,0,1,1,0,1,0,2,0,0,2,2,0
337,0.6710479805465488,-0.10589373582711613,-0.19331563454187972,0,0,0,0,0,3,2,0,0,1,0,1
323,0.6586151062096539,2.5924697590592065,1.0244820781786668,0,1,1,0,1,0,2,0,0,2,2,0
109,-0.7017316370125931,-2.0471655883076902,0.7216630969906407,0,0,4,0,0,4,2,0,0,1,0,2
121,0.7437894429460049,1.7361249251893713,1.6287804084839048,0,1,1,0,1,0,2,0,0,2,2,0
120,0.6533141053351794,2.3467505515949028,0.2429345458410557,0,1,1,0,1,0,2,0,0,2,2,0
108,-1.6307667431867154,-5.272426342184291,-2.534895511319974,2,2,2,2,2,2,0,1,1,0,3,3
322,-0.3257288548666141,2.360830032264372,-1.0265839506796335,0,1,1,0,1,0,2,0,0,2,2,0
336,0.9802193441934808,0.07757236907222938,-0.19608115463274964,0,0,0,0,0,3,2,0,0,1,0,1
308,1.1202018361040913,1.8660692833733925,0.5753397141656477,0,1,1,0,1,0,2,0,0,2,2,0
320,0.14549213525627175,1.2281599327374024,0.33519514735553524,0,1,1,0,1,0,2,0,0,2,2,0
334,-0.5892513661940543,-0.07458210844090428,-0.015047072429852287,0,0,0,0,0,3,2,0,0,1,0,1
122,0.5108363920847517,1.7223563317746555,0.06512394177130718,0,1,1,0,1,0,2,0,0,2,2,0
123,-1.8207062607343474,-0.33318383513895505,-0.2485596002811735,0,0,0,0,0,4,2,0,0,1,0,2
335,0.8817088251118717,1.950984477544129,1.893724972514718,0,1,1,0,1,0,2,0,0,2,2,0
321,-1.0990109665226047,-5.413456367020672,-1.0191052275695571,2,2,2,2,2,2,0,1,1,0,3,3
309,-2.600826257113092,0.18702925258200986,-0.19342478337464958,0,0,0,0,0,4,2,0,0,1,0,2
