,x,y,z,average3,average4,average5,complete3,complete4,complete5,single3,single4,single5,ward3,ward4,ward5
304,-47.93866934885783,-14.52308825597798,-27.77384556197629,0,1,0,0,1,1,0,0,0,1,0,3
310,-52.51153604515506,37.38242022641768,-32.11885511383155,0,1,0,0,1,1,0,0,0,1,0,3
338,29.606515808123817,-32.172437527814616,-51.60853421942873,0,3,1,0,1,1,0,0,0,1,0,4
106,-3.1350328664503104,33.87473458585638,64.60729473663675,0,1,0,0,1,1,0,0,0,1,0,3
112,-141.83130226048866,-3.011271686736565,-48.846556750389404,0,1,0,0,2,0,0,0,0,2,2,2
113,131.12267703477002,-28.7752993655618,63.74765937794021,0,3,1,2,0,4,0,0,0,0,1,0
107,-88.39305949812113,-89.63712332907498,-5.987370590572734,0,1,0,0,1,1,0,0,0,1,0,3
339,2.589154585558893,3.8856094694642866,-82.56519547926847,0,3,1,0,1,1,0,0,0,1,0,4
311,55.559905584900605,-21.210183193794773,43.42217063373717,0,3,1,0,1,1,0,0,0,1,0,4
305,-95.7349770210923,71.55603759667397,84.50451252964871,0,1,0,0,2,0,0,0,0,2,2,2
313,-53.458958501893164,37.573046684767235,50.27701428905229,0,1,0,0,1,1,0,0,0,1,0,3
307,-77.3767928602342,-83.99792571711336,2.167791506279673,0,1,0,0,1,1,0,0,0,1,0,3
111,25.803405586280398,-37.50381413428877,-64.20376517354285,0,3,1,0,1,1,0,0,0,1,0,4
105,-28.035509286236916,-20.886086307847826,-7.639437216530158,0,1,0,0,1,1,0,0,0,1,0,3
104,-180.8804387835955,-23.098511691999,10.88275251980693,0,1,0,0,2,0,0,0,0,2,2,2
110,-187.4554060717625,70.30028114799585,-49.63058748284177,0,1,0,0,2,0,0,0,0,2,2,2
306,178.46532629501147,-80.42499012017605,-5.172563554658232,2,2,2,2,0,2,0,0,0,0,1,0
312,-28.581897395141,91.82279846112966,27.25178982581825,0,1,0,0,1,1,0,0,0,1,0,3
316,-157.3930021310598,14.348856635069634,-164.47287533695518,0,1,0,0,2,0,0,0,0,2,2,2
302,-131.55795437887176,62.44196262577347,26.01178430244052,0,1,0,0,2,0,0,0,0,2,2,2
114,96.40201523784424,-125.83920281581842,-10.471222698018972,0,3,1,2,0,4,0,0,0,0,1,0
101,-81.72145537794484,-32.515290017965555,18.196926630494517,0,1,0,0,1,1,0,0,0,1,0,3
115,-153.45746007932368,-50.54507089773631,35.813813545612646,0,1,0,0,2,0,0,0,0,2,2,2
303,-120.30849251088978,155.1473704924849,65.7252849510049,0,1,0,0,2,0,0,0,0,2,2,2
317,-110.67196470884747,28.286921386525748,48.19301159576485,0,1,0,0,2,0,0,0,0,2,2,2
329,22.4026313023134,5.984973516113189,-3.616212558959032,0,3,1,0,1,1,0,0,0,1,0,4
301,69.08818416832463,-92.78895333204207,155.89704165340197,2,2,2,2,0,2,0,0,0,0,1,0
315,-37.5472690351457,-7.2607560092941625,-117.61022108082518,0,1,0,0,1,1,0,0,0,1,0,3
103,-139.9021292475666,70.77156621260549,-139.2221994279073,0,1,0,0,2,0,0,0,0,2,2,2
117,-175.8067399687977,-29.482130724011718,-82.14723452782565,0,1,0,0,2,0,0,0,0,2,2,2
116,-131.08127903088686,-28.164319901979443,-25.962655834332875,0,1,0,0,2,0,0,0,0,2,2,2
102,173.2658064032384,-110.403926070676,74.82868936530356,2,2,2,2,0,2,0,0,0,0,1,0
314,47.998363732614635,8.746697100698869,42.80616118305161,0,3,1,0,1,1,0,0,0,1,0,4
328,48.781385949894805,23.24529707523233,17.63369806203005,0,3,1,0,1,1,0,0,0,1,0,4
213,18.092616002992763,-31.953229723341607,12.195988909882367,0,3,1,0,1,1,0,0,0,1,0,4
207,134.55533251318676,-63.84349702697867,109.21894284056269,2,2,2,2,0,2,0,0,0,0,1,0
206,-142.19393631218668,105.13078980522502,5.0833517076305625,0,1,0,0,2,0,0,0,0,2,2,2
212,-123.97676537543593,145.6560785659944,-31.9818269648231,0,1,0,0,2,0,0,0,0,2,2,2
204,-212.37507029292595,120.69622284089785,9.090907471111905,0,1,0,0,2,0,0,0,4,2,2,2
210,-79.39307919724254,100.16747983373564,3.660122433451452,0,1,0,0,2,0,0,0,0,2,2,2
211,175.84191483700175,-45.88229402258367,76.80019266467608,2,2,2,2,0,2,0,0,0,0,1,0
205,65.20995725056713,-21.821812927323307,26.143005531232237,0,3,1,0,1,1,0,0,0,1,0,4
349,-3.3857895111501235,74.59392777176296,52.03355808212874,0,1,0,0,1,1,0,0,0,1,0,3
201,117.20344784590439,-39.67538858964724,25.629952210717224,0,3,1,2,0,4,0,0,0,0,1,0
215,95.08465798903296,6.020794088872229,102.72359504819802,0,3,1,2,0,4,0,0,0,0,1,0
214,138.6090129170262,0.9812717495680153,2.9809470379359824,0,3,1,2,0,4,0,0,0,0,1,0
348,178.91510996075218,-62.12788230589331,19.349407987697273,2,2,2,2,0,2,0,0,0,0,1,0
216,-91.97835627758457,10.47948135500512,-114.11400481449839,0,1,0,0,2,0,0,0,0,2,2,2
202,51.24051154963806,45.241345096895806,46.009823004135576,0,3,1,0,1,1,0,0,0,1,0,4
203,63.80718723712989,-19.84706033076587,-83.48322126872316,0,3,1,0,1,1,0,0,0,1,0,4
217,20.73154621383929,30.43164383067299,-83.02045071464501,0,3,1,0,1,1,0,0,0,1,0,4
346,-124.03880543479453,0.9358448842467477,19.560544100290382,0,1,0,0,2,0,0,0,0,2,2,2
347,17.58634593495711,-9.97436155867257,-16.884560969395338,0,3,1,0,1,1,0,0,0,1,0,4
345,214.0497575853144,-40.833404947767306,45.37561434880518,2,2,2,2,0,2,0,0,0,0,1,0
219,38.3317108202724,43.13395878189282,-53.25774902246611,0,3,1,0,1,1,0,0,0,1,0,4
218,61.170528078366935,-42.22153163068807,-82.12760523356091,0,3,1,0,1,1,0,0,0,1,0,4
224,385.28581629498785,-107.50623987125425,89.37745897251969,1,0,3,1,3,3,1,1,1,0,3,1
344,-37.30060678251931,52.04983290040863,-42.23059175359539,0,1,0,0,1,1,0,0,0,1,0,3
340,-200.83402582258196,67.31857171735203,-97.26772805881512,0,1,0,0,2,0,0,0,0,2,2,2
208,-169.3697051918834,24.699188253049698,-131.15718057528002,0,1,0,0,2,0,0,0,0,2,2,2
220,-72.29511071844114,-16.83376003911888,78.4210178070467,0,1,0,0,1,1,0,0,0,1,0,3
221,-145.45520681101146,62.725808545881264,33.475071878657126,0,1,0,0,2,0,0,0,0,2,2,2
209,-83.19688002688324,-45.66126449162488,-18.917253962162487,0,1,0,0,1,1,0,0,0,1,0,3
341,125.4501814066959,-37.696221539422446,-37.105627940985705,0,3,1,2,0,4,0,0,0,0,1,0
343,-85.27028498301824,19.1629682942228,13.258812077316643,0,1,0,0,1,1,0,0,0,1,0,3
223,122.11716963206337,-23.6572481777906,-1.0971818269133686,0,3,1,2,0,4,0,0,0,0,1,0
222,-51.52060661728996,55.58931285897006,-25.30351041306401,0,1,0,0,1,1,0,0,0,1,0,3
342,-15.51295176113123,-42.60756361544819,-94.04169141076869,0,1,0,0,1,1,0,0,0,1,0,3
325,-41.10474838820814,33.503642766839505,-43.651132526049686,0,1,0,0,1,1,0,0,0,1,0,3
331,-102.65693157917444,51.782313838783466,-3.681069034187582,0,1,0,0,2,0,0,0,0,2,2,2
319,34.59285797640271,78.08900451891041,-46.67038350759559,0,3,1,0,1,1,0,0,0,1,0,4
127,-46.3868871203286,-43.0551466705131,-73.67249130568086,0,1,0,0,1,1,0,0,0,1,0,3
126,215.0959312382404,-88.57213128774698,126.85682279702431,2,2,2,2,0,2,0,0,0,0,1,0
318,-143.68059774882016,60.08163788259694,-73.16214049598165,0,1,0,0,2,0,0,0,0,2,2,2
330,-77.91113565022101,20.660157266682795,-81.41586424543232,0,1,0,0,2,0,0,0,0,2,2,2
324,-98.0809548308948,105.13306333538715,57.86846892636693,0,1,0,0,2,0,0,0,0,2,2,2
332,309.522915939987,-82.91773874878615,58.79517891510724,1,0,4,1,3,3,2,2,2,0,3,1
326,-123.48630374321803,3.7647164767801313,-92.17722107904882,0,1,0,0,2,0,0,0,0,2,2,2
124,-123.23002056621158,58.57913636028166,33.734726250141776,0,1,0,0,2,0,0,0,0,2,2,2
118,359.628162546704,-135.46078042929022,137.39877694322465,1,0,3,1,3,3,1,1,1,0,3,1
119,314.13594751585,-57.881048185775256,54.73147515661265,1,0,4,1,3,3,2,2,2,0,3,1
125,202.9476176212655,-18.88591616305733,121.42227392228024,2,2,2,2,0,2,0,0,0,0,1,0
327,-34.253619598164335,37.133744019252944,25.682417086246268,0,1,0,0,1,1,0,0,0,1,0,3
333,-6.322973491608201,41.92355612066307,6.951678787958983,0,1,0,0,1,1,0,0,0,1,0,3
337,-67.31586401786157,5.277208190072343,104.51697145670889,0,1,0,0,1,1,0,0,0,1,0,3
