#FilamentSensor-0.2.2j
#cell_properties
%cell_identifier
-1
%center_x
337
%center_y
303
%area
214946.0
%aspect_ratio
1.278507
%long_half_axis
295.76127
%orientation
60.628117
%order_parameter
0.222872
%new_orientation
61.458268
%new_order_parameter
0.222966
%area_interior
213144
%mean_brightness_interior
193.390313
%area_boundary
1802.0
%mean_brightness_boundary
119.85849
%excursion_ratio
0.0843
%number_filaments
789
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
1,461.5,519.0,37.536649,48.2397,3.610633,0.0,0.0,false
2,459.0,521.5,37.48333,46.080924,3.527805,0.0,0.0,false
3,685.0,266.0,28.425341,39.289407,3.959027,0.0,0.0,false
4,564.5,392.0,20.518285,43.025066,3.092873,0.0,0.0,false
5,827.0,367.5,47.042534,87.563352,3.203128,0.0,0.0,false
6,827.0,333.5,41.048752,92.792702,3.425812,0.0,0.0,false
7,712.5,238.0,37.0,0.0,3.394444,0.0,0.0,false
8,654.5,743.0,35.171011,75.17352,3.789376,0.0,0.0,false
9,553.0,761.5,34.014703,1.684684,3.799557,0.0,0.0,false
10,354.0,635.0,34.928498,113.629378,3.666627,0.0,0.0,false
11,650.5,758.5,31.780497,77.275644,3.89492,0.0,0.0,false
12,387.5,674.0,29.068884,176.054814,3.781842,0.0,0.0,false
13,732.0,796.5,30.083218,21.447736,3.872305,0.0,0.0,false
14,702.5,253.0,30.413813,27.407575,4.017845,0.0,0.0,false
15,487.0,480.5,31.38471,59.349332,3.385276,0.0,0.0,false
16,432.5,692.5,29.966648,154.290046,3.877653,0.0,0.0,false
17,417.5,552.0,31.38471,30.650668,3.344519,0.0,0.0,false
18,653.0,784.0,28.635642,114.775141,3.964588,0.0,0.0,false
19,560.0,396.0,34.058773,40.236358,2.950094,0.0,0.0,false
20,682.5,268.0,32.015621,38.659808,3.927971,0.0,0.0,false
21,478.0,496.5,28.653098,60.751174,3.449618,0.0,0.0,false
22,805.0,465.0,24.083189,85.236358,3.653141,0.0,0.0,false
23,759.0,793.0,32.557641,42.510447,3.270575,0.0,0.0,false
24,672.0,814.5,28.301943,147.994617,3.553954,0.0,0.0,false
25,616.0,333.0,28.84441,56.309932,3.21765,0.0,0.0,false
26,487.5,704.0,24.020824,87.614056,3.605748,0.0,0.0,false
27,358.5,657.0,24.020824,87.614056,4.322139,0.0,0.0,false
28,792.0,700.5,24.351591,109.179008,3.607481,0.0,0.0,false
29,657.5,730.5,23.194827,82.568592,3.98383,0.0,0.0,false
30,489.5,476.5,26.41969,60.524111,3.445241,0.0,0.0,false
31,382.5,574.5,31.144823,42.397438,3.203148,0.0,0.0,false
32,741.0,803.5,22.561028,12.804266,3.998204,0.0,0.0,false
33,589.0,757.0,22.090722,5.194429,3.708579,0.0,0.0,false
34,813.5,306.0,24.186773,150.255119,3.871743,0.0,0.0,false
35,804.5,709.5,22.847319,66.801409,3.948866,0.0,0.0,false
36,803.5,299.5,25.806976,144.462322,3.971156,0.0,0.0,false
37,796.5,500.5,21.023796,87.273689,3.611067,0.0,0.0,false
38,658.5,797.5,21.587033,103.392498,4.15717,0.0,0.0,false
39,360.5,597.5,23.706539,62.354025,3.78156,0.0,0.0,false
40,802.0,531.0,20.396078,101.309932,3.686185,0.0,0.0,false
41,670.5,723.0,20.024984,87.137595,2.92834,0.0,0.0,false
42,609.0,344.0,23.323808,59.036243,3.233523,0.0,0.0,false
43,535.0,761.0,20.396078,168.690068,3.485334,0.0,0.0,false
44,373.0,583.0,25.612497,38.659808,3.50003,0.0,0.0,false
45,408.5,557.0,20.615528,22.833654,3.394444,0.0,0.0,false
46,449.0,532.0,22.803509,37.874984,3.655765,0.0,0.0,false
47,443.0,536.0,21.633308,33.690068,3.491629,0.0,0.0,false
48,765.0,271.5,20.808652,125.217593,3.465581,0.0,0.0,false
49,602.0,354.5,20.808652,54.782407,3.363515,0.0,0.0,false
50,507.0,446.5,20.808652,54.782407,3.254476,0.0,0.0,false
51,780.5,771.0,21.931712,46.84761,3.390278,0.0,0.0,false
52,576.0,379.0,20.0,53.130102,3.071949,0.0,0.0,false
53,515.0,750.0,21.260292,131.185925,3.62285,0.0,0.0,false
54,489.0,477.0,87.817994,59.931417,3.317332,0.0,0.0,false
55,551.5,403.5,70.724819,43.854237,3.094372,0.0,0.0,false
56,628.5,311.0,56.824291,61.630954,3.208801,0.0,0.0,false
