#FilamentSensor-0.2.2j
#cell_properties
%cell_identifier
-1
%center_x
284
%center_y
251
%area
283207.0
%aspect_ratio
1.475597
%long_half_axis
364.72114
%orientation
33.641841
%order_parameter
-0.055385
%new_orientation
123.900922
%new_order_parameter
0.055388
%area_interior
304715
%mean_brightness_interior
205.908012
%area_boundary
-21508.0
%mean_brightness_boundary
201.981346
%excursion_ratio
0.249601
%number_filaments
860
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
1,554.5,841.0,43.0,0.0,5.545238,0.0,0.0,false
2,273.0,436.0,40.0,90.0,5.084615,0.0,0.0,false
3,480.5,841.0,33.0,0.0,5.41875,0.0,0.0,false
4,671.0,245.0,30.0,0.0,5.268966,0.0,0.0,false
5,411.0,245.0,26.0,0.0,5.42,0.0,0.0,false
6,273.0,553.0,26.0,90.0,5.34,0.0,0.0,false
7,509.5,245.0,21.0,0.0,5.25,0.0,0.0,false
8,384.0,245.0,20.0,0.0,5.015789,0.0,0.0,false
9,717.0,369.5,30.413813,136.33222,3.336413,0.0,0.0,false
10,511.5,841.0,21.0,0.0,4.7,0.0,0.0,false
11,772.0,427.5,26.172505,133.451842,3.796725,0.0,0.0,false
12,612.5,244.0,681.0,0.0,3.686029,0.0,0.0,false
13,273.0,543.0,598.0,90.0,4.174874,0.0,0.0,false
14,453.0,842.0,362.0,0.0,3.690305,0.0,0.0,false
15,953.0,422.0,356.0,90.0,3.695775,0.0,0.0,false
16,599.0,245.5,40.112342,4.289153,3.98067,0.0,0.0,false
17,694.5,354.5,38.910153,154.093492,3.64284,0.0,0.0,false
18,654.0,245.5,34.132096,5.042451,4.313462,0.0,0.0,false
19,494.0,245.5,28.160256,6.115504,4.206505,0.0,0.0,false
20,538.0,277.5,26.019224,177.797402,3.508023,0.0,0.0,false
21,502.0,279.0,27.202941,162.897271,3.968485,0.0,0.0,false
22,494.0,785.0,26.07681,85.601295,3.41814,0.0,0.0,false
23,742.5,388.0,23.086793,175.030259,3.682625,0.0,0.0,false
24,595.0,840.5,22.203603,172.234834,3.992992,0.0,0.0,false
25,575.0,786.5,22.022716,177.397438,3.805367,0.0,0.0,false
