#FilamentSensor-0.2.2j
#cell_properties
%cell_identifier
-1
%center_x
377
%center_y
350
%area
300582.0
%aspect_ratio
1.125046
%long_half_axis
328.089014
%orientation
59.451956
%order_parameter
0.246299
%new_orientation
58.089319
%new_order_parameter
0.246578
%area_interior
316975
%mean_brightness_interior
190.590125
%area_boundary
-16393.0
%mean_brightness_boundary
213.796372
%excursion_ratio
0.08204
%number_filaments
2322
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
1,502.0,432.0,53.740115,45.0,5.112498,0.0,0.0,false
2,341.5,365.0,32.388269,81.119341,6.004856,0.0,0.0,false
3,339.5,369.0,29.410882,72.181111,6.013873,0.0,0.0,false
4,896.0,659.0,26.07681,4.398705,5.55379,0.0,0.0,false
5,477.5,844.5,27.313001,23.749494,6.058566,0.0,0.0,false
6,754.5,644.5,28.600699,53.530766,5.481095,0.0,0.0,false
7,440.5,466.5,23.021729,92.489553,5.281061,0.0,0.0,false
8,723.0,201.5,22.203603,172.234834,5.959117,0.0,0.0,false
9,485.0,451.0,28.425341,50.710593,5.031512,0.0,0.0,false
10,439.5,673.0,23.086793,107.650124,5.535511,0.0,0.0,false
11,750.5,648.0,29.0,43.602819,5.545222,0.0,0.0,false
12,745.0,653.0,26.907248,41.987212,5.666831,0.0,0.0,false
13,679.0,654.5,27.586228,43.531199,5.538369,0.0,0.0,false
14,734.5,662.5,21.400935,52.594643,5.742513,0.0,0.0,false
15,460.0,345.5,23.345235,46.735705,5.032207,0.0,0.0,false
16,413.0,826.0,21.260292,138.814075,5.564937,0.0,0.0,false
17,316.0,660.0,21.260292,48.814075,5.944664,0.0,0.0,false
18,533.5,400.0,20.518285,43.025066,5.00707,0.0,0.0,false
19,509.5,424.5,89.140339,46.818303,4.154722,0.0,0.0,false
20,490.0,445.5,73.0,48.88791,4.201016,0.0,0.0,false
21,527.0,406.5,54.488531,42.768825,4.091333,0.0,0.0,false
22,342.0,363.0,38.470768,81.027373,4.679312,0.0,0.0,false
23,634.5,706.5,41.400483,37.146687,3.98909,0.0,0.0,false
24,407.0,821.5,40.607881,142.001268,4.341454,0.0,0.0,false
25,804.5,516.5,32.280025,106.189206,4.58456,0.0,0.0,false
26,756.0,642.5,38.013156,54.637538,4.453791,0.0,0.0,false
27,395.5,813.5,34.669872,146.768289,4.140922,0.0,0.0,false
28,618.0,718.5,33.837849,34.159695,3.907598,0.0,0.0,false
29,561.0,326.5,30.083218,21.447736,4.32963,0.0,0.0,false
30,759.0,517.5,28.79236,69.676863,4.2,0.0,0.0,false
31,532.0,766.0,34.058773,139.763642,3.912794,0.0,0.0,false
32,520.0,744.5,26.172505,173.418055,4.625562,0.0,0.0,false
33,406.0,590.0,26.683328,77.005383,4.609309,0.0,0.0,false
34,908.0,435.5,33.301652,131.347777,4.246507,0.0,0.0,false
35,717.5,689.0,29.410882,54.688787,3.906653,0.0,0.0,false
36,589.0,874.5,29.206164,128.047043,4.054163,0.0,0.0,false
37,505.5,741.5,24.698178,158.629378,4.313636,0.0,0.0,false
38,459.5,346.5,31.144823,47.602562,4.254834,0.0,0.0,false
39,808.0,319.5,27.802878,37.69424,3.992524,0.0,0.0,false
40,625.0,395.0,29.732137,137.726311,3.85736,0.0,0.0,false
41,928.0,575.5,23.259407,115.463345,4.525,0.0,0.0,false
42,781.5,562.5,21.023796,87.273689,4.419701,0.0,0.0,false
43,730.5,781.0,26.400758,37.303948,3.910458,0.0,0.0,false
44,617.0,870.5,25.238859,56.309932,4.272842,0.0,0.0,false
45,500.0,503.5,26.400758,52.696052,3.755159,0.0,0.0,false
46,913.0,649.0,22.36068,63.434949,4.345862,0.0,0.0,false
47,754.0,530.0,23.323808,59.036243,4.247554,0.0,0.0,false
48,680.0,405.5,20.615528,165.963757,4.533932,0.0,0.0,false
49,610.0,724.0,24.413111,34.99202,3.87824,0.0,0.0,false
