#FilamentSensor-0.2.2j
#cell_properties
%cell_identifier
-1
%center_x
343
%center_y
349
%area
160275.0
%aspect_ratio
1.257794
%long_half_axis
253.316054
%orientation
47.668898
%order_parameter
0.123926
%new_orientation
18.40615
%new_order_parameter
0.237352
%area_interior
160275
%mean_brightness_interior
209.816752
%area_boundary
0.0
%mean_brightness_boundary
0.0
%excursion_ratio
0.05921
%number_filaments
803
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
1,554.0,774.0,30.463092,156.801409,5.956961,0.0,0.0,false
2,472.0,719.5,36.069378,136.123303,4.937485,0.0,0.0,false
3,466.0,713.5,27.802878,142.30576,5.408033,0.0,0.0,false
4,652.0,319.0,23.323808,30.963757,5.456329,0.0,0.0,false
5,605.0,334.5,20.223748,171.469234,6.388942,0.0,0.0,false
6,585.0,340.5,20.124612,26.565051,5.680587,0.0,0.0,false
7,743.5,331.5,22.671568,138.576334,5.466263,0.0,0.0,false
8,539.0,361.5,20.518285,46.974934,5.481882,0.0,0.0,false
9,506.5,745.5,44.204072,142.352379,4.075312,0.0,0.0,false
10,823.0,639.5,35.846897,67.011283,4.528125,0.0,0.0,false
11,531.5,399.5,37.121422,152.744672,4.277801,0.0,0.0,false
12,558.5,776.0,34.885527,152.700428,4.299655,0.0,0.0,false
13,780.0,571.5,35.22783,55.407711,3.861342,0.0,0.0,false
14,567.0,780.0,32.249031,150.255119,4.345987,0.0,0.0,false
15,650.0,320.0,29.529646,28.300756,4.323431,0.0,0.0,false
16,813.5,656.5,31.400637,52.765166,4.018976,0.0,0.0,false
17,796.5,553.5,33.970576,42.614056,3.657406,0.0,0.0,false
18,753.5,608.5,33.970576,47.385944,3.441945,0.0,0.0,false
19,728.0,322.0,24.738634,165.963757,4.551564,0.0,0.0,false
20,689.5,410.0,24.351591,160.820992,4.265186,0.0,0.0,false
21,517.5,754.5,31.144823,137.602562,4.289766,0.0,0.0,false
22,716.0,319.0,22.36068,169.695154,4.537234,0.0,0.0,false
23,634.0,327.5,23.086793,17.650124,4.260569,0.0,0.0,false
24,461.0,709.5,25.553865,149.420773,4.228742,0.0,0.0,false
25,808.5,543.0,26.400758,37.303948,3.484027,0.0,0.0,false
26,682.0,315.5,21.18962,160.709954,4.407462,0.0,0.0,false
27,821.5,556.0,23.600847,36.384352,3.820271,0.0,0.0,false
28,545.5,356.5,24.207437,38.290163,4.007787,0.0,0.0,false
29,695.0,699.0,24.083189,131.633539,3.820874,0.0,0.0,false
30,777.0,345.5,20.808652,125.217593,4.204037,0.0,0.0,false
31,728.5,639.5,20.248457,57.094757,4.219779,0.0,0.0,false
32,436.5,695.5,22.671568,138.576334,3.559241,0.0,0.0,false
33,796.5,681.0,20.615528,50.906141,3.956442,0.0,0.0,false
34,752.0,618.0,21.260292,48.814075,3.135902,0.0,0.0,false
35,571.0,782.5,21.931712,136.84761,4.288359,0.0,0.0,false
36,703.5,445.0,68.88396,166.568971,4.148062,0.0,0.0,false
37,774.5,580.5,59.076222,56.04094,3.853304,0.0,0.0,false
38,564.0,779.0,53.665631,153.434949,4.298238,0.0,0.0,false
39,629.5,329.0,49.648766,18.799885,4.247635,0.0,0.0,false
40,685.5,441.0,43.737855,169.460816,3.974568,0.0,0.0,false
41,434.5,591.5,44.922155,163.17859,3.974394,0.0,0.0,false
42,706.0,688.0,42.755117,79.215702,3.879679,0.0,0.0,false
43,701.5,318.0,41.048752,177.207298,4.254037,0.0,0.0,false
44,534.0,401.0,45.650849,151.189206,4.078483,0.0,0.0,false
45,613.0,766.5,38.013156,178.492564,3.966831,0.0,0.0,false
46,823.5,637.5,39.217343,70.641006,4.350656,0.0,0.0,false
47,649.0,320.5,39.812058,25.277722,4.023115,0.0,0.0,false
48,430.0,536.0,37.947332,161.565051,3.869785,0.0,0.0,false
49,756.5,705.0,38.483763,155.432829,4.09503,0.0,0.0,false
50,685.5,409.0,33.955854,166.373005,3.934714,0.0,0.0,false
51,726.5,705.0,34.014703,24.304549,3.550256,0.0,0.0,false
52,813.5,460.0,29.068884,176.054814,4.303056,0.0,0.0,false
53,829.0,622.0,28.635642,77.905243,4.161757,0.0,0.0,false
54,699.0,318.5,28.160256,6.115504,4.108582,0.0,0.0,false
55,822.5,428.5,27.892651,14.534455,3.605312,0.0,0.0,false
56,813.5,459.0,28.160256,163.495639,4.301996,0.0,0.0,false
57,809.5,459.5,27.018512,177.878904,4.310294,0.0,0.0,false
58,742.5,331.0,33.600595,143.471145,4.266938,0.0,0.0,false
59,384.0,614.5,27.073973,85.763605,3.62682,0.0,0.0,false
60,794.0,353.5,26.172505,173.418055,3.930506,0.0,0.0,false
61,765.0,459.0,26.0,0.0,3.76,0.0,0.0,false
62,760.0,338.0,26.07681,175.601295,4.086248,0.0,0.0,false
63,617.0,436.0,26.07681,4.398705,3.511219,0.0,0.0,false
64,790.5,695.5,25.495098,78.690068,4.248529,0.0,0.0,false
65,765.5,595.5,27.313001,66.250506,4.056991,0.0,0.0,false
66,669.5,313.0,25.079872,175.426079,4.493222,0.0,0.0,false
67,814.5,391.5,23.194827,82.568592,3.732489,0.0,0.0,false
68,796.5,354.0,23.086793,4.969741,3.828185,0.0,0.0,false
69,768.5,443.0,23.086793,175.030259,3.796397,0.0,0.0,false
70,771.0,625.5,31.827661,46.27303,3.455905,0.0,0.0,false
71,732.5,450.5,23.021729,177.510447,3.669123,0.0,0.0,false
72,688.5,440.5,23.021729,177.510447,4.072556,0.0,0.0,false
73,663.5,740.5,23.537205,167.735226,3.823907,0.0,0.0,false
74,636.0,758.5,25.942244,62.447188,3.777681,0.0,0.0,false
75,786.0,352.0,23.4094,160.016893,3.967712,0.0,0.0,false
76,603.0,766.5,23.086793,17.650124,4.186304,0.0,0.0,false
77,584.0,339.5,22.561028,12.804266,4.129665,0.0,0.0,false
78,449.0,704.0,22.803509,164.744881,4.36632,0.0,0.0,false
79,744.0,316.5,25.238859,56.309932,3.73129,0.0,0.0,false
80,730.5,637.5,24.698178,58.24052,3.84282,0.0,0.0,false
81,681.5,631.0,21.095023,5.440332,3.941273,0.0,0.0,false
82,626.5,766.5,21.023796,2.726311,3.992033,0.0,0.0,false
83,557.5,777.0,21.095023,174.559668,4.324001,0.0,0.0,false
84,418.5,588.5,21.023796,177.273689,3.614405,0.0,0.0,false
85,825.0,595.0,20.099751,5.710593,3.673225,0.0,0.0,false
86,828.0,584.0,21.540659,111.801409,3.655826,0.0,0.0,false
87,824.5,635.0,20.024984,87.137595,3.897515,0.0,0.0,false
88,827.0,594.0,20.099751,174.289407,3.959314,0.0,0.0,false
89,806.0,459.0,20.396078,11.309932,4.661058,0.0,0.0,false
90,780.0,707.5,21.931712,24.227745,3.913917,0.0,0.0,false
91,749.0,335.5,23.853721,146.976132,4.058878,0.0,0.0,false
