#FilamentSensor-0.2.2j
#cell_properties
%cell_identifier
-1
%center_x
442
%center_y
290
%area
373442.0
%aspect_ratio
1.320768
%long_half_axis
396.232334
%orientation
177.577387
%order_parameter
0.380587
%new_orientation
169.067871
%new_order_parameter
0.398017
%area_interior
411261
%mean_brightness_interior
195.423052
%area_boundary
-37819.0
%mean_brightness_boundary
252.820512
%excursion_ratio
0.280986
%number_filaments
2127
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
1,850.5,695.5,55.00909,1.041627,4.856514,0.0,0.0,false
2,889.0,738.0,52.038447,177.797402,5.484147,0.0,0.0,false
3,733.0,742.0,50.039984,177.70939,5.40129,0.0,0.0,false
4,708.5,772.5,49.254441,174.173658,6.341674,0.0,0.0,false
5,763.5,801.0,33.955854,166.373005,5.405354,0.0,0.0,false
6,846.5,564.0,40.311289,136.005086,4.735263,0.0,0.0,false
7,835.0,752.5,28.017851,177.954592,5.244621,0.0,0.0,false
8,724.0,561.0,30.463092,156.801409,5.321967,0.0,0.0,false
9,771.0,802.5,26.476405,169.114473,5.662407,0.0,0.0,false
10,453.5,735.0,25.0,0.0,5.7,0.0,0.0,false
11,566.0,765.0,24.083189,175.236358,5.364004,0.0,0.0,false
12,569.5,561.0,26.400758,114.623565,5.311449,0.0,0.0,false
13,879.5,792.5,23.194827,172.568592,5.453149,0.0,0.0,false
14,636.5,803.0,26.925824,148.671307,5.220351,0.0,0.0,false
15,555.5,693.0,25.079872,156.501434,5.334873,0.0,0.0,false
16,648.0,687.0,22.090722,174.805571,4.891303,0.0,0.0,false
17,714.5,557.0,22.472205,159.145542,5.356107,0.0,0.0,false
18,832.0,817.5,20.223748,171.469234,6.275015,0.0,0.0,false
19,820.0,575.5,21.931712,155.772255,5.46656,0.0,0.0,false
20,873.5,619.5,21.400935,142.594643,5.743225,0.0,0.0,false
21,632.5,551.5,22.671568,131.423666,5.561767,0.0,0.0,false
22,853.5,571.5,62.241465,136.301953,3.684792,0.0,0.0,false
23,764.0,801.5,45.354162,165.963757,4.445178,0.0,0.0,false
24,546.0,688.5,45.310043,157.963773,4.22439,0.0,0.0,false
25,887.0,793.5,40.607881,170.073754,4.669877,0.0,0.0,false
26,562.5,789.0,40.311289,150.255119,4.191462,0.0,0.0,false
27,632.0,800.5,38.948684,150.802514,4.431535,0.0,0.0,false
28,805.5,865.0,34.014703,155.695451,4.166667,0.0,0.0,false
29,742.5,472.0,40.360872,131.987212,4.078737,0.0,0.0,false
30,863.5,610.0,40.311289,136.005086,3.726979,0.0,0.0,false
31,873.0,619.0,36.878178,139.398705,4.157243,0.0,0.0,false
32,1042.0,706.0,35.383612,137.29061,3.749658,0.0,0.0,false
33,834.0,818.0,26.305893,171.253838,4.682103,0.0,0.0,false
34,600.5,684.5,25.019992,177.70939,4.508533,0.0,0.0,false
35,567.5,792.5,31.400637,142.765166,4.218699,0.0,0.0,false
36,981.5,851.0,24.020824,87.614056,4.521736,0.0,0.0,false
37,861.0,665.0,25.298221,161.565051,4.255302,0.0,0.0,false
38,562.0,764.5,24.186773,172.874984,4.613139,0.0,0.0,false
39,553.0,783.5,27.294688,151.557071,4.238725,0.0,0.0,false
40,922.5,742.5,24.041631,163.072487,4.109091,0.0,0.0,false
41,747.5,615.5,23.194827,172.568592,4.51783,0.0,0.0,false
42,1029.0,606.0,28.425341,129.289407,3.787107,0.0,0.0,false
