#FilamentSensor-0.2.2j
#cell_properties
%cell_identifier
-1
%center_x
438
%center_y
269
%area
196529.0
%aspect_ratio
1.475701
%long_half_axis
303.834839
%orientation
170.010325
%order_parameter
-0.038548
%new_orientation
42.284536
%new_order_parameter
0.153456
%area_interior
196441
%mean_brightness_interior
202.550282
%area_boundary
88.0
%mean_brightness_boundary
144.886363
%excursion_ratio
0.065791
%number_filaments
1206
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
1,918.0,509.0,40.049969,87.137595,7.854136,0.0,0.0,false
2,765.5,742.5,21.023796,2.726311,7.716124,0.0,0.0,false
3,917.0,506.0,50.039984,87.70939,6.113408,0.0,0.0,false
4,777.0,741.5,46.010868,1.245364,5.858836,0.0,0.0,false
5,890.0,716.5,46.097722,24.34109,5.867346,0.0,0.0,false
6,557.0,367.0,34.928498,13.24052,6.242572,0.0,0.0,false
7,882.0,720.0,35.777088,26.565051,6.040047,0.0,0.0,false
8,844.0,729.0,31.048349,14.931417,5.848143,0.0,0.0,false
9,758.5,740.5,31.016125,159.227745,6.278286,0.0,0.0,false
10,857.0,727.0,28.071338,4.085617,5.973741,0.0,0.0,false
11,513.0,394.5,30.083218,21.447736,6.151899,0.0,0.0,false
12,753.0,738.0,29.529646,151.699244,6.201192,0.0,0.0,false
13,532.5,501.0,36.069378,133.876697,5.701466,0.0,0.0,false
14,767.0,744.0,24.738634,14.036243,6.352174,0.0,0.0,false
15,644.0,692.0,24.083189,4.763642,6.068809,0.0,0.0,false
16,543.0,511.5,33.24154,136.218875,5.470169,0.0,0.0,false
17,488.0,706.0,24.0,0.0,6.286957,0.0,0.0,false
18,554.5,700.5,23.194827,172.568592,6.17061,0.0,0.0,false
19,513.5,702.5,23.537205,12.264774,5.979464,0.0,0.0,false
20,418.5,644.0,22.561028,77.195734,5.95233,0.0,0.0,false
21,625.5,704.0,21.0,0.0,5.725,0.0,0.0,false
22,812.0,396.5,20.223748,171.469234,6.037933,0.0,0.0,false
23,556.0,698.5,21.18962,160.709954,6.488142,0.0,0.0,false
24,808.5,396.0,20.615528,157.166346,5.98273,0.0,0.0,false
25,781.0,692.5,20.518285,46.974934,5.34793,0.0,0.0,false
26,434.5,662.5,48.270074,140.042451,3.965384,0.0,0.0,false
27,842.0,729.0,37.947332,18.434949,4.485714,0.0,0.0,false
28,457.0,613.5,48.836462,137.489553,3.844002,0.0,0.0,false
29,648.5,691.5,35.128336,4.899092,4.62102,0.0,0.0,false
30,744.5,733.5,40.224371,145.124672,4.406478,0.0,0.0,false
31,793.5,621.0,39.408121,54.293309,3.669025,0.0,0.0,false
32,513.0,394.5,38.275318,33.274888,4.528158,0.0,0.0,false
33,719.5,718.0,35.846897,149.858614,4.220816,0.0,0.0,false
34,465.5,693.0,41.725292,134.028978,3.911025,0.0,0.0,false
35,458.0,638.5,39.051248,140.194429,3.680963,0.0,0.0,false
36,789.5,384.0,38.948684,138.12213,4.014628,0.0,0.0,false
37,870.0,444.0,30.463092,156.801409,4.509447,0.0,0.0,false
38,375.0,564.0,36.878178,130.601295,3.613197,0.0,0.0,false
39,823.0,737.0,31.622777,34.695154,4.115624,0.0,0.0,false
40,499.0,398.5,26.476405,10.885527,4.595425,0.0,0.0,false
41,892.5,460.5,30.232433,34.215702,4.059092,0.0,0.0,false
42,829.5,441.0,34.655447,43.830861,3.593661,0.0,0.0,false
43,804.0,605.5,29.681644,57.380757,3.935861,0.0,0.0,false
44,784.5,689.0,33.24154,46.218875,4.260903,0.0,0.0,false
45,940.5,692.5,26.41969,29.475889,4.232448,0.0,0.0,false
46,918.5,488.5,23.194827,97.431408,4.69422,0.0,0.0,false
47,452.5,633.0,31.827661,136.27303,3.687413,0.0,0.0,false
48,819.5,407.5,22.135944,108.434949,4.575,0.0,0.0,false
49,778.0,618.5,25.238859,56.309932,3.737713,0.0,0.0,false
50,414.5,471.5,21.213203,8.130102,4.58909,0.0,0.0,false
51,419.0,641.5,21.095023,95.440332,4.614848,0.0,0.0,false
52,906.5,605.0,21.931712,65.772255,4.252632,0.0,0.0,false
53,712.0,713.5,25.0,143.130102,3.983745,0.0,0.0,false
54,414.0,423.5,26.248809,40.364537,3.824315,0.0,0.0,false
55,404.5,599.0,20.223748,81.469234,4.693573,0.0,0.0,false
56,860.5,439.0,24.839485,139.899092,3.969018,0.0,0.0,false
57,611.5,540.5,23.021729,145.619655,4.111044,0.0,0.0,false
58,597.5,565.5,24.207437,128.290163,4.103356,0.0,0.0,false
59,433.5,518.0,22.203603,125.837653,3.548704,0.0,0.0,false
60,688.5,693.5,21.400935,142.594643,4.029576,0.0,0.0,false
61,450.0,435.5,23.345235,46.735705,3.111136,0.0,0.0,false
62,363.0,501.5,20.808652,54.782407,4.476954,0.0,0.0,false
63,917.0,582.0,20.0,53.130102,4.083955,0.0,0.0,false
64,566.5,702.0,97.18539,176.460441,3.900144,0.0,0.0,false
65,640.5,692.0,93.085982,2.462817,4.042645,0.0,0.0,false
66,672.5,393.0,75.026662,1.527525,3.654627,0.0,0.0,false
67,617.5,693.5,69.007246,0.830315,3.756946,0.0,0.0,false
68,712.0,318.5,68.183576,4.205357,3.691105,0.0,0.0,false
69,916.0,505.0,66.030296,88.264295,4.118716,0.0,0.0,false
70,916.5,511.0,60.207973,85.236358,4.351107,0.0,0.0,false
71,627.0,705.0,60.0,0.0,3.877966,0.0,0.0,false
72,643.5,414.5,59.008474,0.971022,3.931179,0.0,0.0,false
73,660.5,691.0,57.31492,6.009006,4.416977,0.0,0.0,false
74,666.0,436.0,54.332311,6.340192,3.565543,0.0,0.0,false
75,917.0,518.5,53.600373,81.416379,4.235922,0.0,0.0,false
76,660.0,437.0,52.345009,6.581945,3.591248,0.0,0.0,false
77,887.5,528.5,52.630789,75.699723,3.65846,0.0,0.0,false
78,915.5,530.0,50.803543,79.796026,4.224085,0.0,0.0,false
79,899.5,620.5,55.00909,62.96914,3.719214,0.0,0.0,false
80,508.5,704.5,50.219518,12.652557,4.189738,0.0,0.0,false
81,680.5,320.0,47.042534,177.563352,3.833798,0.0,0.0,false
82,637.5,705.0,47.169906,175.135486,4.12987,0.0,0.0,false
83,498.0,705.0,46.0,0.0,4.266667,0.0,0.0,false
84,507.0,398.5,54.378304,32.228757,4.171627,0.0,0.0,false
85,839.0,731.0,45.122057,12.804266,4.265013,0.0,0.0,false
86,866.0,678.0,45.694639,66.801409,3.527625,0.0,0.0,false
87,502.0,397.0,43.174066,13.392498,4.231251,0.0,0.0,false
88,832.5,695.0,43.462628,66.974508,3.67782,0.0,0.0,false
89,742.0,316.5,40.012498,1.432096,3.876707,0.0,0.0,false
90,920.5,574.5,39.115214,85.601295,3.671107,0.0,0.0,false
91,411.5,621.0,42.485292,116.565051,3.963512,0.0,0.0,false
92,873.0,445.0,38.626416,158.749494,4.15867,0.0,0.0,false
93,460.0,640.0,46.861498,140.194429,3.574161,0.0,0.0,false
94,558.5,365.0,35.22783,6.519802,4.345928,0.0,0.0,false
95,920.0,586.0,34.525353,79.99202,3.943036,0.0,0.0,false
96,783.0,610.0,39.446166,59.534455,3.447297,0.0,0.0,false
97,917.5,486.5,31.400637,99.162347,4.16619,0.0,0.0,false
98,392.0,455.0,33.105891,64.983107,3.641526,0.0,0.0,false
99,371.0,507.0,32.310989,111.801409,4.092751,0.0,0.0,false
100,905.5,711.0,29.068884,3.945186,3.988032,0.0,0.0,false
101,848.5,727.0,31.38471,22.479434,4.244651,0.0,0.0,false
102,709.5,711.5,34.669872,146.768289,4.215255,0.0,0.0,false
103,547.5,697.5,29.832868,13.570434,4.280881,0.0,0.0,false
104,452.5,414.0,29.614186,11.689369,4.399651,0.0,0.0,false
105,402.5,600.5,31.016125,110.772255,4.045726,0.0,0.0,false
106,959.5,573.0,29.410882,107.818889,3.828495,0.0,0.0,false
107,819.5,411.0,28.017851,92.045408,4.137807,0.0,0.0,false
108,677.0,689.5,28.861739,14.036243,4.381419,0.0,0.0,false
109,455.0,412.5,30.083218,21.447736,4.362794,0.0,0.0,false
110,957.5,631.5,27.166155,83.659808,3.954764,0.0,0.0,false
111,894.0,704.5,27.658633,77.471192,4.009664,0.0,0.0,false
112,857.5,723.0,30.413813,27.407575,4.040556,0.0,0.0,false
113,826.0,710.5,28.79236,69.676863,3.767004,0.0,0.0,false
114,791.5,681.5,36.796739,42.797402,3.686615,0.0,0.0,false
115,745.5,725.5,27.45906,79.508523,4.037295,0.0,0.0,false
116,672.5,348.0,27.294688,8.426969,3.688697,0.0,0.0,false
117,597.5,335.5,27.892651,14.534455,3.836637,0.0,0.0,false
118,369.0,500.5,27.658633,102.528808,4.206637,0.0,0.0,false
119,641.0,320.0,26.305893,8.746162,3.853224,0.0,0.0,false
120,963.0,590.5,25.079872,94.573921,3.742945,0.0,0.0,false
121,914.5,710.0,25.079872,175.426079,3.989906,0.0,0.0,false
122,867.5,615.5,26.570661,70.201124,3.554295,0.0,0.0,false
123,651.5,706.0,25.317978,170.909723,3.794532,0.0,0.0,false
124,643.5,320.5,27.313001,23.749494,3.768166,0.0,0.0,false
125,592.5,694.0,25.079872,175.426079,3.411974,0.0,0.0,false
126,861.0,485.5,31.890437,41.185925,3.188557,0.0,0.0,false
127,772.0,360.0,25.298221,108.434949,3.589345,0.0,0.0,false
128,824.5,418.5,23.194827,172.568592,4.071717,0.0,0.0,false
129,821.5,449.0,29.206164,38.047043,3.371021,0.0,0.0,false
130,769.5,345.5,23.021729,92.489553,3.830903,0.0,0.0,false
131,627.5,357.0,23.086793,4.969741,3.284037,0.0,0.0,false
132,617.5,359.0,23.345235,9.865807,3.355649,0.0,0.0,false
133,961.0,617.0,24.166092,65.556045,3.878164,0.0,0.0,false
134,957.5,566.0,22.561028,102.804266,4.008954,0.0,0.0,false
135,936.5,662.0,22.561028,102.804266,4.049708,0.0,0.0,false
136,883.0,546.0,22.36068,79.695154,4.162299,0.0,0.0,false
137,871.0,606.0,24.166092,65.556045,3.354355,0.0,0.0,false
138,802.0,743.0,23.4094,160.016893,4.006704,0.0,0.0,false
139,675.0,709.5,22.022716,177.397438,3.167744,0.0,0.0,false
140,682.0,690.5,24.596748,153.434949,3.915642,0.0,0.0,false
141,616.0,669.5,22.203603,7.765166,3.860323,0.0,0.0,false
142,545.0,636.0,27.202941,126.027373,4.050844,0.0,0.0,false
143,521.0,391.5,22.561028,12.804266,4.247589,0.0,0.0,false
144,472.0,650.0,28.425341,140.710593,3.069983,0.0,0.0,false
145,400.5,595.0,23.769729,112.249024,4.037022,0.0,0.0,false
146,389.5,501.0,22.203603,82.234834,3.618513,0.0,0.0,false
147,389.5,506.0,22.022716,87.397438,3.690414,0.0,0.0,false
148,936.5,668.5,21.023796,92.726311,3.665857,0.0,0.0,false
149,893.5,461.5,22.847319,23.198591,4.282733,0.0,0.0,false
150,899.5,462.5,21.023796,177.273689,4.364185,0.0,0.0,false
151,819.5,735.5,21.213203,8.130102,3.664516,0.0,0.0,false
152,582.0,345.5,22.472205,69.145542,4.091379,0.0,0.0,false
153,500.5,401.0,21.377558,169.215702,4.170064,0.0,0.0,false
154,385.5,467.5,24.698178,58.24052,3.67655,0.0,0.0,false
155,887.0,567.0,22.36068,63.434949,3.588306,0.0,0.0,false
156,862.0,721.5,25.0,36.869898,4.124618,0.0,0.0,false
157,837.0,723.0,20.880613,73.300756,4.352584,0.0,0.0,false
158,761.5,323.0,20.024984,87.137595,4.61552,0.0,0.0,false
