#FilamentSensor-0.2.2j
#cell_properties
%cell_identifier
-1
%center_x
402
%center_y
424
%area
20210.0
%aspect_ratio
1.565186
%long_half_axis
100.343951
%orientation
57.113549
%order_parameter
0.307739
%new_orientation
52.794062
%new_order_parameter
0.311271
%area_interior
20210
%mean_brightness_interior
199.508164
%area_boundary
0.0
%mean_brightness_boundary
0.0
%excursion_ratio
0.032261
%number_filaments
147
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
1,576.0,589.5,27.073973,94.236395,5.795213,0.0,0.0,false
2,683.5,470.5,25.019992,177.70939,5.734009,0.0,0.0,false
3,712.0,522.0,24.738634,75.963757,5.599425,0.0,0.0,false
4,575.5,582.0,24.020824,87.614056,5.68607,0.0,0.0,false
5,652.5,625.0,26.925824,31.328693,5.506451,0.0,0.0,false
6,577.0,594.5,23.345235,99.865807,5.895354,0.0,0.0,false
7,578.0,598.0,22.803509,105.255119,6.041798,0.0,0.0,false
8,681.0,592.0,21.540659,68.198591,5.876794,0.0,0.0,false
9,675.5,602.0,23.853721,56.976132,5.881323,0.0,0.0,false
10,588.5,540.0,20.615528,75.963757,6.305629,0.0,0.0,false
11,606.5,510.0,22.203603,54.162347,6.445176,0.0,0.0,false
12,683.5,584.5,44.384682,67.479434,4.55,0.0,0.0,false
13,607.0,508.0,39.698866,49.085617,4.269094,0.0,0.0,false
14,653.5,624.0,34.132096,31.827447,4.259025,0.0,0.0,false
15,610.0,631.5,23.086793,162.349876,4.390476,0.0,0.0,false
16,617.5,633.5,21.213203,171.869898,4.547284,0.0,0.0,false
17,603.0,517.5,21.84033,74.054604,4.527195,0.0,0.0,false
18,713.0,491.0,20.880613,106.699244,4.556418,0.0,0.0,false
19,702.5,543.0,23.853721,56.976132,3.970258,0.0,0.0,false
20,687.0,574.0,20.396078,78.690068,4.681662,0.0,0.0,false
21,657.0,476.0,20.396078,11.309932,4.681211,0.0,0.0,false
22,657.0,474.5,21.18962,19.290046,4.489474,0.0,0.0,false
23,646.0,628.5,21.931712,24.227745,4.647368,0.0,0.0,false
24,579.0,602.0,21.540659,111.801409,4.594737,0.0,0.0,false
25,586.5,539.0,22.825424,61.189206,4.447828,0.0,0.0,false
26,693.5,471.5,20.248457,159.775141,4.561111,0.0,0.0,false
27,678.0,590.0,24.083189,48.366461,4.131621,0.0,0.0,false
28,583.5,610.0,22.203603,125.837653,4.141613,0.0,0.0,false
29,674.5,602.0,20.518285,43.025066,4.460869,0.0,0.0,false
30,683.5,584.0,52.392748,66.370622,4.449894,0.0,0.0,false
31,576.5,580.5,47.010637,88.781125,4.338039,0.0,0.0,false
32,577.0,572.0,44.407207,82.234834,4.397565,0.0,0.0,false
33,712.5,518.0,39.051248,76.675469,4.411899,0.0,0.0,false
34,650.0,626.0,36.71512,29.357754,4.345324,0.0,0.0,false
35,656.5,474.5,32.893768,19.536655,4.055844,0.0,0.0,false
36,618.5,633.5,31.144823,174.47246,4.28261,0.0,0.0,false
37,611.5,631.5,32.280025,163.810794,4.24879,0.0,0.0,false
38,604.0,511.0,38.418745,51.340192,4.190592,0.0,0.0,false
39,686.5,572.5,25.179357,83.157227,4.482497,0.0,0.0,false
40,586.5,614.5,32.649655,130.030259,4.000415,0.0,0.0,false
41,669.0,605.5,21.377558,79.215702,4.383943,0.0,0.0,false
42,711.0,518.0,22.36068,63.434949,4.149728,0.0,0.0,false
43,681.0,471.0,20.880613,16.699244,4.270893,0.0,0.0,false
44,659.0,476.0,23.323808,30.963757,4.411296,0.0,0.0,false
45,610.0,631.0,20.59126,150.945396,4.400427,0.0,0.0,false
46,603.0,626.0,21.260292,131.185925,3.87478,0.0,0.0,false
47,687.0,576.5,77.87811,65.738709,4.118372,0.0,0.0,false
48,606.0,510.5,53.263496,50.332159,4.125104,0.0,0.0,false
49,653.0,476.5,42.720019,20.556045,4.156914,0.0,0.0,false
50,651.0,477.0,43.081318,21.801409,3.983434,0.0,0.0,false
51,652.5,480.5,43.566042,31.865978,3.827782,0.0,0.0,false
52,644.5,479.5,40.718546,24.676863,3.719012,0.0,0.0,false
53,646.0,484.0,44.407207,35.837653,3.753784,0.0,0.0,false
54,589.5,538.0,37.64306,73.009177,4.071647,0.0,0.0,false
55,681.0,585.5,39.204592,52.253195,3.834512,0.0,0.0,false
56,604.0,515.5,31.38471,67.520566,4.197781,0.0,0.0,false
57,692.5,472.0,28.160256,163.495639,4.235791,0.0,0.0,false
58,700.0,544.0,34.058773,49.763642,3.041925,0.0,0.0,false
59,647.0,627.0,27.202941,17.102729,4.171846,0.0,0.0,false
60,716.0,502.5,25.0,90.0,4.033333,0.0,0.0,false
61,709.5,493.5,25.179357,83.157227,4.139267,0.0,0.0,false
62,604.5,626.0,32.015621,141.340192,3.682936,0.0,0.0,false
63,634.0,629.0,22.803509,164.744881,3.797904,0.0,0.0,false
64,670.5,600.5,23.706539,62.354025,3.768242,0.0,0.0,false
65,673.5,602.5,28.319605,42.137595,4.013098,0.0,0.0,false
66,650.5,479.0,21.095023,5.440332,4.340978,0.0,0.0,false
67,617.5,632.5,21.023796,2.726311,4.066098,0.0,0.0,false
68,710.0,495.0,21.540659,68.198591,4.318232,0.0,0.0,false
69,614.0,506.0,20.396078,11.309932,3.919457,0.0,0.0,false
70,689.0,567.5,22.472205,57.724356,3.963917,0.0,0.0,false
71,683.5,575.5,21.023796,25.346176,3.88304,0.0,0.0,false
72,582.5,556.5,23.021729,55.619655,3.763568,0.0,0.0,false
73,587.0,543.0,24.083189,48.366461,3.942199,0.0,0.0,false
74,709.0,521.5,22.022716,50.52754,3.65733,0.0,0.0,false
75,703.0,501.0,21.260292,131.185925,3.437339,0.0,0.0,false
76,687.5,571.0,21.931712,46.84761,4.028073,0.0,0.0,false
77,593.5,536.5,90.785461,63.152706,2.269671,0.0,0.0,false
78,673.5,596.0,78.771822,56.915147,2.29701,0.0,0.0,false
79,659.5,478.5,68.949257,19.48613,2.364974,0.0,0.0,false
80,578.0,574.5,61.294372,84.382419,2.410101,0.0,0.0,false
81,660.0,478.0,62.769419,22.479434,2.436235,0.0,0.0,false
82,677.0,596.0,65.513357,58.736268,2.394311,0.0,0.0,false
83,642.0,487.5,68.242216,34.854456,2.302419,0.0,0.0,false
84,578.0,567.0,54.918121,79.508523,2.472301,0.0,0.0,false
85,640.5,482.5,59.481089,26.995838,2.303779,0.0,0.0,false
86,587.5,537.5,58.600341,64.746837,2.463207,0.0,0.0,false
87,710.0,511.5,47.042534,92.436648,2.33814,0.0,0.0,false
88,681.0,472.0,46.043458,177.510447,2.330334,0.0,0.0,false
89,640.5,488.0,56.0803,39.936383,2.458122,0.0,0.0,false
90,685.0,472.0,42.190046,174.559668,2.355808,0.0,0.0,false
91,617.0,505.0,49.396356,31.75948,2.232213,0.0,0.0,false
92,714.5,508.5,41.10961,85.815084,2.480757,0.0,0.0,false
93,698.5,545.5,51.400389,52.907163,2.133495,0.0,0.0,false
94,605.5,515.0,45.177428,62.300527,2.491984,0.0,0.0,false
95,611.0,630.5,42.059482,161.995838,2.391214,0.0,0.0,false
96,709.0,521.5,39.204592,84.143986,2.302342,0.0,0.0,false
97,668.5,600.5,39.623226,79.824489,2.032636,0.0,0.0,false
98,689.0,472.0,38.832976,168.111342,2.456683,0.0,0.0,false
99,594.0,618.5,51.662365,137.353297,2.360093,0.0,0.0,false
100,714.5,501.5,37.013511,91.548158,2.434452,0.0,0.0,false
