#FilamentSensor-0.2.2j
#cell_properties
%cell_identifier
-1
%center_x
448
%center_y
334
%area
27960.0
%aspect_ratio
1.054403
%long_half_axis
96.871709
%orientation
173.32287
%order_parameter
-0.027717
%new_orientation
56.315574
%new_order_parameter
0.047172
%area_interior
27960
%mean_brightness_interior
213.120171
%area_boundary
0.0
%mean_brightness_boundary
0.0
%excursion_ratio
0.031366
%number_filaments
124
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified
1,687.5,432.0,21.095023,174.559668,7.792739,0.0,0.0,false
2,685.5,431.0,39.458839,171.253838,5.93292,0.0,0.0,false
3,599.5,432.0,35.1141,19.983107,6.007915,0.0,0.0,false
4,674.0,430.0,29.12044,164.054604,5.947895,0.0,0.0,false
5,725.5,473.0,27.513633,109.093492,5.653872,0.0,0.0,false
6,622.0,426.5,26.019224,2.202598,6.213602,0.0,0.0,false
7,630.5,427.5,25.179357,173.157227,6.09172,0.0,0.0,false
8,563.5,460.0,27.294688,61.557071,5.749508,0.0,0.0,false
9,728.5,517.0,22.561028,77.195734,6.02207,0.0,0.0,false
10,576.0,444.0,25.612497,38.659808,5.771433,0.0,0.0,false
11,692.5,572.0,20.518285,43.025066,5.350704,0.0,0.0,false
12,695.5,568.5,49.578221,41.729512,4.091292,0.0,0.0,false
13,722.5,464.5,33.615473,112.750976,4.483333,0.0,0.0,false
14,701.0,564.0,42.426407,45.0,4.28654,0.0,0.0,false
15,559.5,515.0,31.953091,110.136303,4.148276,0.0,0.0,false
16,706.0,558.5,36.124784,48.366461,4.059155,0.0,0.0,false
17,681.0,581.0,31.622777,34.695154,4.104594,0.0,0.0,false
18,670.5,587.0,27.730849,25.641006,4.382817,0.0,0.0,false
19,710.5,553.5,29.832868,50.440332,4.025232,0.0,0.0,false
20,567.0,532.5,26.925824,121.328693,4.200912,0.0,0.0,false
21,559.0,468.5,24.351591,70.820992,4.495455,0.0,0.0,false
22,555.5,497.5,23.021729,92.489553,4.352885,0.0,0.0,false
23,662.0,591.0,20.880613,16.699244,4.456117,0.0,0.0,false
24,600.0,580.0,24.413111,145.00798,3.97135,0.0,0.0,false
25,633.5,429.5,20.248457,159.775141,4.588889,0.0,0.0,false
26,579.5,556.5,23.021729,124.380345,4.331821,0.0,0.0,false
27,704.0,438.0,21.260292,138.814075,4.411025,0.0,0.0,false
28,673.5,428.5,65.924199,170.394796,4.334627,0.0,0.0,false
29,727.5,498.5,55.00909,91.041627,4.123737,0.0,0.0,false
30,615.0,428.5,48.836462,10.619655,4.418805,0.0,0.0,false
31,722.5,463.5,49.979996,109.885165,4.433253,0.0,0.0,false
32,556.0,495.5,41.048752,92.792702,4.155077,0.0,0.0,false
33,664.0,589.0,41.231056,22.833654,3.968649,0.0,0.0,false
34,727.0,522.0,35.44009,73.61046,4.497097,0.0,0.0,false
